from Draine B., 1985, ApJSS, 57, 87 
122 points - wavelength from 227.9 A to 2e7 A
2   sizes  - a = 0.1 and 0.01 micron
The dielec. function depends on size for l > 10^5 A
###################################################
################# a = 0.1 microns #################
###################################################
#lambda      eps||1    eps||2     eps_|_1   eps_|_2
2.0000E+3    2.38E+0   2.49E+2   -6.11E+3   3.51E+4
1.5000E+3    2.38E+0   1.87E+2   -5.93E+3   2.56E+4
1.0000E+3    2.39E+0   1.24E+2   -5.45E+3   1.58E+4
7.0000E+2    2.39E+0   8.70E+1   -4.71E+3   9.76E+3
5.0000E+2    2.39E+0   6.21E+1   -3.72E+3   5.70E+3
4.0000E+2    2.39E+0   4.97E+1   -2.95E+3   3.77E+3
3.0000E+2    2.39E+0   3.72E+1   -1.94E+3   2.06E+3
2.5000E+2    2.40E+0   3.09E+1   -1.36E+3   1.35E+3
2.0000E+2    2.40E+0   2.47E+1   -7.34E+2   7.91E+2
1.7500E+2    2.41E+0   2.15E+1   -4.16E+2   5.74E+2
1.5000E+2    2.42E+0   1.84E+1   -8.96E+1   4.14E+2
1.3500E+2    2.43E+0   1.65E+1    1.14E+2   3.61E+2
1.2000E+2    2.44E+0   1.46E+1    3.27E+2   3.59E+2
1.1000E+2    2.45E+0   1.33E+1    4.57E+2   4.10E+2
1.0000E+2    2.46E+0   1.20E+1    5.41E+2   5.12E+2
9.0000E+1    2.48E+0   1.07E+1    5.65E+2   6.17E+2
8.0000E+1    2.51E+0   9.44E+0    5.31E+2   7.45E+2
7.0000E+1    2.54E+0   8.13E+0    4.00E+2   8.38E+2
6.0000E+1    2.59E+0   6.81E+0    2.01E+2   8.54E+2
5.5000E+1    2.63E+0   6.14E+0    8.35E+1   8.16E+2
5.0000E+1    2.67E+0   5.46E+0   -3.11E+1   7.35E+2
4.5000E+1    2.73E+0   4.78E+0   -1.10E+2   6.02E+2
4.0000E+1    2.81E+0   4.09E+0   -1.29E+2   4.73E+2
3.7500E+1    2.85E+0   3.74E+0   -1.29E+2   4.15E+2
3.5000E+1    2.90E+0   3.40E+0   -1.24E+2   3.62E+2
3.2500E+1    2.97E+0   3.05E+0   -1.14E+2   3.12E+2
3.0000E+1    3.04E+0   2.70E+0   -1.00E+2   2.66E+2
2.7500E+1    3.13E+0   2.35E+0   -8.37E+1   2.24E+2
2.5000E+1    3.22E+0   2.01E+0   -6.39E+1   1.89E+2
2.4000E+1    3.27E+0   1.87E+0   -5.51E+1   1.78E+2
2.2000E+1    3.37E+0   1.61E+0   -4.17E+1   1.58E+2
2.0000E+1    3.48E+0   1.35E+0   -2.89E+1   1.39E+2
1.8000E+1    3.60E+0   1.10E+0   -1.70E+1   1.24E+2
1.6000E+1    3.74E+0   8.66E-1   -8.27E+0   1.10E+2
1.4000E+1    3.89E+0   6.55E-1   -1.71E+0   9.64E+1
1.2000E+1    4.07E+0   4.70E-1    4.34E+0   8.30E+1
1.1550E+1    4.91E+0   6.18E-1    5.41E+0   8.03E+1
1.1540E+1    5.33E+0   8.81E-1    5.44E+0   8.02E+1
1.1530E+1    6.07E+0   2.32E+0    5.46E+0   8.01E+1
1.1525E+1    4.61E+0   4.22E+0    5.47E+0   8.01E+1
1.1520E+1    2.26E+0   3.18E+0    5.47E+0   8.01E+1
1.1515E+1    2.24E+0   1.63E+0    5.49E+0   8.00E+1
1.1510E+1    2.65E+0   1.02E+0    5.49E+0   8.00E+1
1.1500E+1    3.16E+0   6.49E-1    5.52E+0   8.00E+1
1.1000E+1    4.08E+0   3.90E-1    6.53E+0   7.69E+1
1.0000E+1    4.18E+0   3.19E-1    8.29E+0   7.07E+1
9.0000E+0    4.26E+0   2.58E-1    9.55E+0   6.44E+1
8.0000E+0    4.34E+0   2.08E-1    1.07E+1   5.78E+1
7.0000E+0    4.41E+0   1.69E-1    1.17E+1   5.17E+1
6.5000E+0    4.45E+0   1.54E-1    1.23E+1   4.87E+1
6.3300E+0    4.46E+0   1.491-1    1.49E+1   4.86E+1
6.3200E+0    4.46E+0   1.49E-1    1.60E+1   4.96E+1
6.3100E+0    4.46E+0   1.49E-1    1.70E+1   5.32E+1
6.3000E+0    4.46E+0   1.49E-1    1.05E+1   5.73E+1
6.2900E+0    4.46E+0   1.48E-1    6.80E+0   5.15E+1
6.2800E+0    4.47E+0   1.48E-1    8.06E+0   4.89E+1
6.2700E+0    4.47E+0   1.48E-1    9.04E+0   4.80E+1
6.0000E+0    4.48E+0   1.41E-1    1.15E+1   4.55E+1
5.5000E+0    4.51E+0   1.30E-1    1.19E+1   4.23E+1
5.0000E+0    4.54E+0   1.21E-1    1.19E+1   3.90E+1
4.5000E+0    4.56E+0   1.13E-1    1.19E+1   3.59E+1
4.0000E+0    4.59E+0   1.07E-1    1.17E+1   3.27E+1
3.8000E+0    4.59E+0   1.06E-1    1.16E+1   3.14E+1
3.6000E+0    4.60E+0   1.05E-1    1.14E+1   3.02E+1
3.4000E+0    4.61E+0   1.04E-1    1.12E+1   2.89E+1
