30 = number of temperatures

3.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6061546974E+06      2.6061546974E+06
1.1983950321E+02      5.1808402378E+06      5.1808402378E+06
1.7406040913E+02      9.5587302976E+06      9.5587302976E+06
2.5275514226E+02      1.6338049780E+07      1.6338049780E+07
3.6702867848E+02      2.5745434212E+07      2.5745434212E+07
5.3308934224E+02      3.6711339026E+07      3.6711339026E+07
7.7410522707E+02      4.7162870365E+07      4.7162870365E+07
1.1240871935E+03      5.5616061519E+07      5.5616061519E+07
1.6326759671E+03      6.1602768762E+07      6.1602768762E+07
2.3708277395E+03      6.5358222563E+07      6.5358222563E+07
3.4427065039E+03      6.7468372387E+07      6.7468372387E+07
5.0003453498E+03      6.9103530116E+07      6.9103530116E+07

4.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6061546974E+06      2.6061546974E+06
1.1983950321E+02      5.1750957465E+06      5.1750957465E+06
1.7406040913E+02      9.5164060549E+06      9.5164060549E+06
2.5275514226E+02      1.6164967316E+07      1.6164967316E+07
3.6702867848E+02      2.5314927969E+07      2.5314927969E+07
5.3308934224E+02      3.5945606799E+07      3.5945606799E+07
7.7410522707E+02      4.6056345730E+07      4.6056345730E+07
1.1240871935E+03      5.4190836761E+07      5.4190836761E+07
1.6326759671E+03      5.9917676102E+07      5.9917676102E+07
2.3708277395E+03      6.3471743277E+07      6.3471743277E+07
3.4427065039E+03      6.5462860460E+07      6.5462860460E+07
5.0003453498E+03      6.7004796431E+07      6.7004796431E+07

5.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6055546772E+06      2.6055546772E+06
1.1983950321E+02      5.1605712985E+06      5.1605712985E+06
1.7406040913E+02      9.3991400504E+06      9.3991400504E+06
2.5275514226E+02      1.5684519034E+07      1.5684519034E+07
3.6702867848E+02      2.4110325890E+07      2.4110325890E+07
5.3308934224E+02      3.3796007171E+07      3.3796007171E+07
7.7410522707E+02      4.2951796312E+07      4.2951796312E+07
1.1240871935E+03      5.0190935435E+07      5.0190935435E+07
1.6326759671E+03      5.5175165344E+07      5.5175165344E+07
2.3708277395E+03      5.8205552167E+07      5.8205552167E+07
3.4427065039E+03      5.9877270726E+07      5.9877270726E+07
5.0003453498E+03      6.1158887852E+07      6.1158887852E+07

6.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6049547951E+06      2.6049547951E+06
1.1983950321E+02      5.1522888189E+06      5.1522888189E+06
1.7406040913E+02      9.3301004656E+06      9.3301004656E+06
2.5275514226E+02      1.5404888232E+07      1.5404888232E+07
3.6702867848E+02      2.3411583113E+07      2.3411583113E+07
5.3308934224E+02      3.2553898971E+07      3.2553898971E+07
7.7410522707E+02      4.1153143481E+07      4.1153143481E+07
1.1240871935E+03      4.7883857406E+07      4.7883857406E+07
1.6326759671E+03      5.2429442834E+07      5.2429442834E+07
2.3708277395E+03      5.5153775010E+07      5.5153775010E+07
3.4427065039E+03      5.6644970636E+07      5.6644970636E+07
5.0003453498E+03      5.7777847232E+07      5.7777847232E+07

7.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6049547951E+06      2.6049547951E+06
1.1983950321E+02      5.1522888189E+06      5.1522888189E+06
1.7406040913E+02      9.3282506641E+06      9.3282506641E+06
2.5275514226E+02      1.5395727450E+07      1.5395727450E+07
3.6702867848E+02      2.3388384214E+07      2.3388384214E+07
5.3308934224E+02      3.2508746497E+07      3.2508746497E+07
7.7410522707E+02      4.1096063797E+07      4.1096063797E+07
1.1240871935E+03      4.7807961809E+07      4.7807961809E+07
1.6326759671E+03      5.2335964240E+07      5.2335964240E+07
2.3708277395E+03      5.5055439093E+07      5.5055439093E+07
3.4427065039E+03      5.6532765501E+07      5.6532765501E+07
5.0003453498E+03      5.7663398039E+07      5.7663398039E+07

8.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
