#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 7A         1P 0-0 R( 0)"   0   0   91.2669 109568.74 3.378E-03 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R( 0)"   0   0   91.3365 109485.24 1.680E-03 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R( 0)"   0   0   91.3393 109481.91 1.679E-03 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R( 0)"   0   0   91.3635 109452.95 2.694E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 R( 0)"   0   0   91.5694 109206.80 1.981E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R( 0)"   0   0   91.5942 109177.22 7.920E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R( 0)"   0   0   91.7244 109022.24 2.270E-02 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R( 0)"   0   0   91.9174 108793.28 2.822E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R( 0)"   0   0   92.0109 108682.81 2.816E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R( 0)"   0   0   92.2724 108374.80 6.317E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 R( 0)"   0   0   92.4599 108154.99 5.155E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R( 0)"   0   0   92.5781 108016.90 1.635E-02 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 R( 0)"   0   0   92.8626 107686.02 6.683E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R( 0)"   0   0   93.0030 107523.46 6.349E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 R( 0)"   0   0   93.1046 107406.10 6.035E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R( 0)"   0   0   93.1628 107338.93 1.207E-02 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 R( 0)"   0   0   93.3016 107179.26 2.205E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 R( 0)"   0   0   93.5648 106877.84 3.769E-03 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 R( 0)"   0   0   93.7944 106616.20 1.284E-05 3.333E+11 1.000E+00
"C12O16 17   I' 5ss1S 0-0 R( 0)"   0   0   94.0158 106365.06 2.135E-02 1.000E+12 1.000E+00
"C12O16 18   W  3ss1P 2-0 R( 0)"   0   0   94.1141 106254.05 2.577E-02 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 R( 0)"   0   0   94.6251 105680.17 7.622E-03 1.000E+11 1.000E+00
"C12O16 20   L  4pp1P 1-0 R( 0)"   0   0   94.8351 105446.22 2.789E-03 1.000E+10 1.000E+00
"C12O16 21   H  4ps1S 1-0 R( 0)"   0   0   95.0003 105262.87 2.204E-02 1.000E+12 1.000E+00
