# C2H2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-09-27
# references: heays2016, cooper1995 10.1016/0368-2048(94)02271-2, xia1991 10.1016/0022-4073(91)90102-V, cheng2011 10.1088/0067-0049/196/1/3, wu1989 10.1063/1.457513, vattulainen1997 10.1366/0003702971942312,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.030600e+02 3.185240e-17 8.624587e-20
1.031600e+02 3.170640e-17 2.299890e-19
1.032600e+02 3.156040e-17 3.737321e-19
1.033600e+02 3.141441e-17 5.174752e-19
1.034600e+02 3.126841e-17 6.612184e-19
1.035600e+02 3.112241e-17 8.049615e-19
1.036600e+02 3.097641e-17 9.487046e-19
1.037600e+02 3.083041e-17 1.092448e-18
1.038600e+02 3.068441e-17 1.236191e-18
1.039600e+02 3.053842e-17 1.379934e-18
1.040600e+02 3.039242e-17 1.523677e-18
1.041600e+02 3.024642e-17 1.667420e-18
1.042600e+02 3.010042e-17 1.811163e-18
1.043600e+02 2.995442e-17 1.954906e-18
1.044600e+02 2.980842e-17 2.098650e-18
1.045600e+02 2.966243e-17 2.242393e-18
1.046600e+02 2.951643e-17 2.386136e-18
1.047600e+02 2.937043e-17 2.529879e-18
1.048600e+02 2.922443e-17 2.673622e-18
1.049600e+02 2.907843e-17 2.817365e-18
1.050600e+02 2.893243e-17 2.961108e-18
1.051600e+02 2.878644e-17 3.104851e-18
1.052600e+02 2.864044e-17 3.248595e-18
1.053600e+02 2.849444e-17 3.392338e-18
1.054600e+02 2.834844e-17 3.536081e-18
1.055600e+02 2.820244e-17 3.679824e-18
1.056600e+02 2.805644e-17 3.823567e-18
1.057600e+02 2.791045e-17 3.967310e-18
1.058600e+02 2.776445e-17 4.111053e-18
1.059600e+02 3.056543e-17 1.353538e-18
1.060600e+02 2.755597e-17 4.316914e-18
1.061600e+02 2.814028e-17 4.289917e-18
1.062600e+02 2.750439e-17 4.080769e-18
1.063600e+02 2.686275e-17 3.673608e-18
1.064600e+02 2.837026e-17 4.817729e-18
1.065600e+02 2.916907e-17 6.289315e-18
1.066600e+02 2.870315e-17 7.288524e-18
1.067600e+02 2.766501e-17 8.211147e-18
1.068600e+02 2.612056e-17 8.099409e-18
1.069600e+02 2.638543e-17 8.739052e-18
1.070600e+02 2.758560e-17 9.934615e-18
1.071600e+02 2.728432e-17 9.668903e-18
1.072600e+02 2.733837e-17 9.530447e-18
1.073600e+02 2.894420e-17 1.115594e-17
1.074600e+02 2.925406e-17 1.216420e-17
1.075600e+02 2.782600e-17 1.107716e-17
1.076600e+02 2.589416e-17 9.032684e-18
1.077600e+02 2.537639e-17 8.523117e-18
1.078600e+02 2.692935e-17 9.921246e-18
1.079600e+02 2.825639e-17 1.168192e-17
1.080600e+02 2.714339e-17 1.098560e-17
1.081600e+02 2.691235e-17 1.038354e-17
1.082600e+02 2.922568e-17 1.260189e-17
1.083600e+02 2.760328e-17 1.192733e-17
1.084600e+02 2.633450e-17 1.124799e-17
1.085600e+02 3.246624e-17 1.713034e-17
1.086600e+02 3.292106e-17 1.852088e-17
1.087600e+02 2.949685e-17 1.872746e-17
1.088600e+02 2.852286e-17 2.290724e-17
1.089600e+02 2.452302e-17 2.193961e-17
1.090600e+02 2.389745e-17 2.262522e-17
1.091600e+02 2.830783e-17 2.734523e-17
1.092600e+02 2.732830e-17 2.638302e-17
1.093600e+02 2.454254e-17 2.359306e-17
1.094600e+02 2.832338e-17 2.737252e-17
1.095600e+02 3.597108e-17 3.514813e-17
1.096600e+02 3.479205e-17 3.412902e-17
1.097600e+02 2.730410e-17 2.699873e-17
1.098600e+02 1.658684e-17 1.651847e-17
1.099600e+02 1.106069e-17 1.106069e-17
1.100600e+02 4.543543e-18 4.543543e-18
1.101600e+02 1.878500e-17 1.878500e-17
1.102600e+02 2.159400e-17 2.159400e-17
1.103600e+02 1.223400e-17 1.223400e-17
