# C2H2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-09-27
# references: heays2016, cooper1995 10.1016/0368-2048(94)02271-2, xia1991 10.1016/0022-4073(91)90102-V, cheng2011 10.1088/0067-0049/196/1/3, wu1989 10.1063/1.457513, vattulainen1997 10.1366/0003702971942312,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
6.260000e+00 1.760000e-19 1.760000e-19
6.360000e+00 1.815000e-19 1.815000e-19
6.460000e+00 1.757317e-19 1.757317e-19
6.560000e+00 1.760000e-19 1.760000e-19
6.660000e+00 1.943333e-19 1.943333e-19
6.760000e+00 1.980000e-19 1.980000e-19
6.860000e+00 2.048750e-19 2.048750e-19
6.960000e+00 2.126667e-19 2.126667e-19
7.060000e+00 2.163333e-19 2.163333e-19
7.160000e+00 2.241250e-19 2.241250e-19
7.260000e+00 2.378750e-19 2.378750e-19
7.360000e+00 2.420000e-19 2.420000e-19
7.460000e+00 2.420000e-19 2.420000e-19
7.560000e+00 2.523273e-19 2.523273e-19
7.660000e+00 2.593333e-19 2.593333e-19
7.760000e+00 2.641000e-19 2.641000e-19
7.860000e+00 2.762000e-19 2.762000e-19
7.960000e+00 2.949000e-19 2.949000e-19
8.060000e+00 2.860000e-19 2.860000e-19
8.160000e+00 2.960000e-19 2.960000e-19
8.260000e+00 3.060000e-19 3.060000e-19
8.360000e+00 3.160000e-19 3.160000e-19
8.460000e+00 3.340000e-19 3.340000e-19
8.560000e+00 3.400000e-19 3.400000e-19
8.660000e+00 3.445833e-19 3.445833e-19
8.760000e+00 3.535385e-19 3.535385e-19
8.860000e+00 3.620000e-19 3.620000e-19
8.960000e+00 3.803333e-19 3.803333e-19
9.060000e+00 3.902857e-19 3.902857e-19
9.160000e+00 3.983846e-19 3.983846e-19
9.260000e+00 4.083571e-19 4.083571e-19
9.360000e+00 4.319286e-19 4.319286e-19
9.460000e+00 4.441333e-19 4.441333e-19
9.560000e+00 4.514667e-19 4.514667e-19
9.660000e+00 4.588000e-19 4.588000e-19
9.760000e+00 4.712667e-19 4.712667e-19
9.860000e+00 4.843750e-19 4.843750e-19
9.960000e+00 4.912500e-19 4.912500e-19
1.006000e+01 5.006000e-19 5.006000e-19
1.016000e+01 5.116000e-19 5.116000e-19
1.026000e+01 5.424000e-19 5.424000e-19
1.036000e+01 5.633000e-19 5.633000e-19
1.046000e+01 5.688000e-19 5.688000e-19
1.056000e+01 5.776000e-19 5.776000e-19
1.066000e+01 5.886000e-19 5.886000e-19
1.076000e+01 6.062000e-19 6.062000e-19
1.086000e+01 6.282000e-19 6.282000e-19
1.096000e+01 6.436000e-19 6.436000e-19
1.106000e+01 6.546000e-19 6.546000e-19
1.116000e+01 6.656000e-19 6.656000e-19
1.126000e+01 6.766000e-19 6.766000e-19
1.136000e+01 6.972000e-19 6.972000e-19
1.146000e+01 7.242000e-19 7.242000e-19
1.156000e+01 7.416000e-19 7.416000e-19
1.166000e+01 7.526000e-19 7.526000e-19
1.176000e+01 7.702000e-19 7.702000e-19
1.186000e+01 7.922000e-19 7.922000e-19
1.196000e+01 8.098000e-19 8.098000e-19
1.206000e+01 8.244667e-19 8.244667e-19
1.216000e+01 8.391333e-19 8.391333e-19
1.226000e+01 8.582000e-19 8.582000e-19
1.236000e+01 8.802000e-19 8.802000e-19
1.246000e+01 8.978000e-19 8.978000e-19
1.256000e+01 9.124667e-19 9.124667e-19
1.266000e+01 9.271333e-19 9.271333e-19
1.276000e+01 9.495000e-19 9.495000e-19
1.286000e+01 9.770000e-19 9.770000e-19
1.296000e+01 1.000400e-18 1.000400e-18
1.306000e+01 1.021067e-18 1.021067e-18
1.316000e+01 1.041733e-18 1.041733e-18
1.326000e+01 1.062000e-18 1.062000e-18
1.336000e+01 1.082000e-18 1.082000e-18
1.346000e+01 1.102000e-18 1.102000e-18
1.356000e+01 1.122000e-18 1.122000e-18
1.366000e+01 1.142000e-18 1.142000e-18
1.376000e+01 1.162000e-18 1.162000e-18
1.386000e+01 1.188000e-18 1.188000e-18
1.396000e+01 1.218000e-18 1.218000e-18
1.406000e+01 1.248000e-18 1.248000e-18
1.416000e+01 1.274000e-18 1.274000e-18
1.426000e+01 1.297333e-18 1.297333e-18
1.436000e+01 1.320667e-18 1.320667e-18
1.446000e+01 1.345000e-18 1.345000e-18
1.456000e+01 1.370000e-18 1.370000e-18
1.466000e+01 1.395000e-18 1.395000e-18
1.476000e+01 1.420000e-18 1.420000e-18
1.486000e+01 1.448000e-18 1.448000e-18
1.496000e+01 1.478000e-18 1.478000e-18
1.506000e+01 1.508000e-18 1.508000e-18
1.516000e+01 1.538000e-18 1.538000e-18
1.526000e+01 1.568000e-18 1.568000e-18
1.536000e+01 1.598000e-18 1.598000e-18
1.546000e+01 1.628000e-18 1.628000e-18
1.556000e+01 1.652000e-18 1.652000e-18
1.566000e+01 1.672000e-18 1.672000e-18
1.576000e+01 1.692000e-18 1.692000e-18
1.586000e+01 1.712000e-18 1.712000e-18
1.596000e+01 1.742500e-18 1.742500e-18
1.606000e+01 1.780000e-18 1.780000e-18
1.616000e+01 1.817500e-18 1.817500e-18
1.626000e+01 1.855000e-18 1.855000e-18
1.636000e+01 1.886800e-18 1.886800e-18
1.646000e+01 1.914800e-18 1.914800e-18
1.656000e+01 1.942800e-18 1.942800e-18
1.666000e+01 1.970800e-18 1.970800e-18
1.676000e+01 1.998800e-18 1.998800e-18
1.686000e+01 2.032500e-18 2.032500e-18
1.696000e+01 2.070000e-18 2.070000e-18
1.706000e+01 2.107500e-18 2.107500e-18
1.716000e+01 2.145000e-18 2.145000e-18
1.726000e+01 2.188800e-18 2.188800e-18
1.736000e+01 2.236800e-18 2.236800e-18
1.746000e+01 2.284800e-18 2.284800e-18
1.756000e+01 2.332800e-18 2.332800e-18
1.766000e+01 2.380800e-18 2.380800e-18
1.776000e+01 2.414000e-18 2.414000e-18
1.786000e+01 2.437333e-18 2.437333e-18
1.796000e+01 2.460667e-18 2.460667e-18
1.806000e+01 2.500000e-18 2.500000e-18
1.816000e+01 2.550000e-18 2.550000e-18
1.826000e+01 2.588000e-18 2.588000e-18
1.836000e+01 2.618000e-18 2.618000e-18
1.846000e+01 2.648000e-18 2.648000e-18
1.856000e+01 2.668000e-18 2.668000e-18
1.866000e+01 2.681333e-18 2.681333e-18
1.876000e+01 2.694667e-18 2.694667e-18
1.886000e+01 2.744000e-18 2.744000e-18
1.896000e+01 2.817333e-18 2.817333e-18
1.906000e+01 2.890667e-18 2.890667e-18
1.916000e+01 2.964000e-18 2.964000e-18
1.926000e+01 3.037333e-18 3.037333e-18
1.936000e+01 3.110667e-18 3.110667e-18
1.946000e+01 3.140000e-18 3.140000e-18
1.956000e+01 3.140000e-18 3.140000e-18
1.966000e+01 3.140000e-18 3.140000e-18
1.976000e+01 3.174000e-18 3.174000e-18
1.986000e+01 3.230667e-18 3.230667e-18
1.996000e+01 3.287333e-18 3.287333e-18
2.006000e+01 3.354000e-18 3.354000e-18
2.016000e+01 3.427333e-18 3.427333e-18
2.026000e+01 3.500667e-18 3.500667e-18
2.036000e+01 3.551000e-18 3.551000e-18
2.046000e+01 3.586000e-18 3.586000e-18
2.056000e+01 3.621000e-18 3.621000e-18
2.066000e+01 3.656000e-18 3.656000e-18
2.076000e+01 3.704000e-18 3.704000e-18
2.086000e+01 3.760667e-18 3.760667e-18
2.096000e+01 3.817333e-18 3.817333e-18
2.106000e+01 3.861000e-18 3.861000e-18
2.116000e+01 3.896000e-18 3.896000e-18
2.126000e+01 3.931000e-18 3.931000e-18
2.136000e+01 3.966000e-18 3.966000e-18
2.146000e+01 4.020500e-18 4.020500e-18
2.156000e+01 4.088000e-18 4.088000e-18
2.166000e+01 4.155500e-18 4.155500e-18
2.176000e+01 4.223000e-18 4.223000e-18
2.186000e+01 4.276000e-18 4.276000e-18
2.196000e+01 4.319333e-18 4.319333e-18
2.206000e+01 4.362667e-18 4.362667e-18
2.216000e+01 4.434000e-18 4.434000e-18
2.226000e+01 4.524000e-18 4.524000e-18
2.236000e+01 4.614000e-18 4.614000e-18
2.246000e+01 4.704000e-18 4.704000e-18
2.256000e+01 4.761600e-18 4.761600e-18
2.266000e+01 4.797600e-18 4.797600e-18
2.276000e+01 4.833600e-18 4.833600e-18
2.286000e+01 4.869600e-18 4.869600e-18
2.296000e+01 4.905600e-18 4.905600e-18
2.306000e+01 4.965000e-18 4.965000e-18
2.316000e+01 5.040000e-18 5.040000e-18
2.326000e+01 5.115000e-18 5.115000e-18
2.336000e+01 5.190000e-18 5.190000e-18
2.346000e+01 5.262000e-18 5.262000e-18
2.356000e+01 5.332000e-18 5.332000e-18
2.366000e+01 5.402000e-18 5.402000e-18
2.376000e+01 5.472000e-18 5.472000e-18
2.386000e+01 5.526400e-18 5.526400e-18
2.396000e+01 5.570400e-18 5.570400e-18
2.406000e+01 5.614400e-18 5.614400e-18
2.416000e+01 5.658400e-18 5.658400e-18
2.426000e+01 5.702400e-18 5.702400e-18
2.436000e+01 5.754800e-18 5.754800e-18
2.446000e+01 5.812800e-18 5.812800e-18
2.456000e+01 5.870800e-18 5.870800e-18
2.466000e+01 5.928800e-18 5.928800e-18
2.476000e+01 5.986800e-18 5.986800e-18
2.486000e+01 6.054400e-18 6.054400e-18
2.496000e+01 6.128400e-18 6.128400e-18
2.506000e+01 6.202400e-18 6.202400e-18
2.516000e+01 6.276400e-18 6.276400e-18
2.526000e+01 6.350400e-18 6.350400e-18
2.536000e+01 6.413600e-18 6.413600e-18
2.546000e+01 6.469600e-18 6.469600e-18
2.556000e+01 6.525600e-18 6.525600e-18
2.566000e+01 6.581600e-18 6.581600e-18
2.576000e+01 6.637600e-18 6.637600e-18
2.586000e+01 6.684000e-18 6.684000e-18
2.596000e+01 6.724000e-18 6.724000e-18
2.606000e+01 6.764000e-18 6.764000e-18
2.616000e+01 6.804000e-18 6.804000e-18
2.626000e+01 6.844000e-18 6.844000e-18
2.636000e+01 6.884000e-18 6.884000e-18
2.646000e+01 6.942000e-18 6.942000e-18
2.656000e+01 7.012000e-18 7.012000e-18
2.666000e+01 7.082000e-18 7.082000e-18
2.676000e+01 7.152000e-18 7.152000e-18
2.686000e+01 7.222000e-18 7.222000e-18
2.696000e+01 7.292000e-18 7.292000e-18
2.706000e+01 7.360000e-18 7.360000e-18
2.716000e+01 7.426667e-18 7.426667e-18
2.726000e+01 7.493333e-18 7.493333e-18
2.736000e+01 7.560000e-18 7.560000e-18
2.746000e+01 7.626667e-18 7.626667e-18
2.756000e+01 7.693333e-18 7.693333e-18
2.766000e+01 7.755000e-18 7.755000e-18
2.776000e+01 7.813333e-18 7.813333e-18
2.786000e+01 7.871667e-18 7.871667e-18
2.796000e+01 7.930000e-18 7.930000e-18
2.806000e+01 7.988333e-18 7.988333e-18
2.816000e+01 8.046667e-18 8.046667e-18
2.826000e+01 8.100000e-18 8.100000e-18
2.836000e+01 8.150000e-18 8.150000e-18
2.846000e+01 8.200000e-18 8.200000e-18
2.856000e+01 8.250000e-18 8.250000e-18
2.866000e+01 8.300000e-18 8.300000e-18
2.876000e+01 8.350000e-18 8.350000e-18
2.886000e+01 8.412857e-18 8.412857e-18
2.896000e+01 8.484286e-18 8.484286e-18
2.906000e+01 8.555714e-18 8.555714e-18
2.916000e+01 8.627143e-18 8.627143e-18
2.926000e+01 8.698571e-18 8.698571e-18
2.936000e+01 8.770000e-18 8.770000e-18
2.946000e+01 8.841429e-18 8.841429e-18
2.956000e+01 8.906857e-18 8.906857e-18
2.966000e+01 8.968286e-18 8.968286e-18
2.976000e+01 9.029714e-18 9.029714e-18
2.986000e+01 9.091143e-18 9.091143e-18
2.996000e+01 9.152571e-18 9.152571e-18
3.006000e+01 9.214000e-18 9.214000e-18
3.016000e+01 9.275429e-18 9.275429e-18
3.026000e+01 9.334500e-18 9.334500e-18
3.036000e+01 9.392000e-18 9.392000e-18
3.046000e+01 9.449500e-18 9.449500e-18
3.056000e+01 9.507000e-18 9.507000e-18
3.066000e+01 9.564500e-18 9.564500e-18
3.076000e+01 9.622000e-18 9.622000e-18
3.086000e+01 9.679500e-18 9.679500e-18
3.096000e+01 9.737000e-18 9.737000e-18
3.106000e+01 9.793000e-18 9.793000e-18
3.116000e+01 9.848000e-18 9.848000e-18
3.126000e+01 9.903000e-18 9.903000e-18
3.136000e+01 9.958000e-18 9.958000e-18
3.146000e+01 1.001300e-17 1.001300e-17
3.156000e+01 1.006800e-17 1.006800e-17
3.166000e+01 1.012300e-17 1.012300e-17
3.176000e+01 1.017800e-17 1.017800e-17
3.186000e+01 1.023000e-17 1.023000e-17
3.196000e+01 1.028000e-17 1.028000e-17
3.206000e+01 1.033000e-17 1.033000e-17
3.216000e+01 1.038000e-17 1.038000e-17
3.226000e+01 1.043000e-17 1.043000e-17
3.236000e+01 1.048000e-17 1.048000e-17
3.246000e+01 1.053000e-17 1.053000e-17
3.256000e+01 1.058000e-17 1.058000e-17
3.266000e+01 1.064467e-17 1.064467e-17
3.276000e+01 1.071911e-17 1.071911e-17
3.286000e+01 1.079356e-17 1.079356e-17
3.296000e+01 1.086800e-17 1.086800e-17
3.306000e+01 1.094244e-17 1.094244e-17
3.316000e+01 1.101689e-17 1.101689e-17
3.326000e+01 1.109133e-17 1.109133e-17
3.336000e+01 1.116578e-17 1.116578e-17
3.346000e+01 1.124022e-17 1.124022e-17
3.356000e+01 1.131000e-17 1.131000e-17
3.366000e+01 1.137667e-17 1.137667e-17
3.376000e+01 1.144333e-17 1.144333e-17
3.386000e+01 1.151000e-17 1.151000e-17
3.396000e+01 1.157667e-17 1.157667e-17
3.406000e+01 1.164333e-17 1.164333e-17
3.416000e+01 1.171000e-17 1.171000e-17
3.426000e+01 1.177667e-17 1.177667e-17
3.436000e+01 1.184333e-17 1.184333e-17
3.446000e+01 1.190240e-17 1.190240e-17
3.456000e+01 1.195640e-17 1.195640e-17
3.466000e+01 1.201040e-17 1.201040e-17
3.476000e+01 1.206440e-17 1.206440e-17
3.486000e+01 1.211840e-17 1.211840e-17
3.496000e+01 1.217240e-17 1.217240e-17
3.506000e+01 1.222640e-17 1.222640e-17
3.516000e+01 1.228040e-17 1.228040e-17
3.526000e+01 1.233440e-17 1.233440e-17
3.536000e+01 1.238840e-17 1.238840e-17
3.546000e+01 1.244545e-17 1.244545e-17
3.556000e+01 1.250455e-17 1.250455e-17
3.566000e+01 1.256364e-17 1.256364e-17
3.576000e+01 1.262273e-17 1.262273e-17
3.586000e+01 1.268182e-17 1.268182e-17
3.596000e+01 1.274091e-17 1.274091e-17
3.606000e+01 1.280000e-17 1.280000e-17
3.616000e+01 1.285909e-17 1.285909e-17
3.626000e+01 1.291818e-17 1.291818e-17
3.636000e+01 1.297727e-17 1.297727e-17
3.646000e+01 1.303636e-17 1.303636e-17
3.656000e+01 1.311073e-17 1.311073e-17
3.666000e+01 1.319527e-17 1.319527e-17
3.676000e+01 1.327982e-17 1.327982e-17
3.686000e+01 1.336436e-17 1.336436e-17
3.696000e+01 1.344891e-17 1.344891e-17
3.706000e+01 1.353345e-17 1.353345e-17
3.716000e+01 1.361800e-17 1.361800e-17
3.726000e+01 1.370255e-17 1.370255e-17
3.736000e+01 1.378709e-17 1.378709e-17
3.746000e+01 1.387164e-17 1.387164e-17
3.756000e+01 1.395618e-17 1.395618e-17
3.766000e+01 1.402382e-17 1.402382e-17
3.776000e+01 1.408018e-17 1.408018e-17
3.786000e+01 1.413655e-17 1.413655e-17
3.796000e+01 1.419291e-17 1.419291e-17
3.806000e+01 1.424927e-17 1.424927e-17
3.816000e+01 1.430564e-17 1.430564e-17
3.826000e+01 1.436200e-17 1.436200e-17
3.836000e+01 1.441836e-17 1.441836e-17
3.846000e+01 1.447473e-17 1.447473e-17
3.856000e+01 1.453109e-17 1.453109e-17
3.866000e+01 1.458745e-17 1.458745e-17
3.876000e+01 1.465200e-17 1.465200e-17
3.886000e+01 1.472200e-17 1.472200e-17
3.896000e+01 1.479200e-17 1.479200e-17
3.906000e+01 1.486200e-17 1.486200e-17
3.916000e+01 1.493200e-17 1.493200e-17
3.926000e+01 1.500200e-17 1.500200e-17
3.936000e+01 1.507200e-17 1.507200e-17
3.946000e+01 1.514200e-17 1.514200e-17
3.956000e+01 1.521200e-17 1.521200e-17
3.966000e+01 1.528200e-17 1.528200e-17
3.976000e+01 1.535200e-17 1.535200e-17
3.986000e+01 1.542200e-17 1.542200e-17
3.996000e+01 1.549200e-17 1.549200e-17
