# Cross sections for C2H
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: C2H van Hemert & van Dishoeck 2007
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.170200e+02 8.010978e-28 8.010978e-28
1.171200e+02 4.112599e-27 4.112599e-27
1.172200e+02 1.997399e-26 1.997399e-26
1.173200e+02 9.177634e-26 9.177634e-26
1.174200e+02 3.989462e-25 3.989462e-25
1.175200e+02 1.640648e-24 1.640648e-24
1.176200e+02 6.383139e-24 6.383139e-24
1.177200e+02 2.349474e-23 2.349474e-23
1.178200e+02 8.181345e-23 8.181345e-23
1.179200e+02 2.695233e-22 2.695233e-22
1.180200e+02 8.400120e-22 8.400120e-22
1.181200e+02 2.476808e-21 2.476808e-21
1.182200e+02 6.909023e-21 6.909023e-21
1.183200e+02 1.823302e-20 1.823302e-20
1.184200e+02 4.552168e-20 4.552168e-20
1.185200e+02 1.075215e-19 1.075215e-19
1.186200e+02 2.402649e-19 2.402649e-19
1.187200e+02 5.079286e-19 5.079286e-19
1.188200e+02 1.015857e-18 1.015857e-18
1.189200e+02 1.922119e-18 1.922119e-18
1.190200e+02 3.440689e-18 3.440689e-18
1.191200e+02 5.826775e-18 5.826775e-18
1.192200e+02 9.335307e-18 9.335307e-18
1.193200e+02 1.414968e-17 1.414968e-17
1.194200e+02 2.029001e-17 2.029001e-17
1.195200e+02 2.752551e-17 2.752551e-17
1.196200e+02 3.532696e-17 3.532696e-17
1.197200e+02 4.289381e-17 4.289381e-17
1.198200e+02 4.927205e-17 4.927205e-17
1.199200e+02 5.354565e-17 5.354565e-17
1.200200e+02 5.505102e-17 5.505102e-17
1.201200e+02 5.354565e-17 5.354565e-17
1.202200e+02 4.927205e-17 4.927205e-17
1.203200e+02 4.289381e-17 4.289381e-17
1.204200e+02 3.532697e-17 3.532697e-17
1.205200e+02 2.752558e-17 2.752558e-17
1.206200e+02 2.029026e-17 2.029026e-17
1.207200e+02 1.415053e-17 1.415053e-17
1.208200e+02 9.338037e-18 9.338037e-18
1.209200e+02 5.835096e-18 5.835096e-18
1.210200e+02 3.464690e-18 3.464690e-18
1.211200e+02 1.987609e-18 1.987609e-18
1.212200e+02 1.184923e-18 1.184923e-18
1.213200e+02 9.208541e-19 9.208541e-19
1.214200e+02 1.194433e-18 1.194433e-18
1.215200e+02 2.193551e-18 2.193551e-18
1.216200e+02 4.360354e-18 4.360354e-18
1.217200e+02 8.462509e-18 8.462509e-18
1.218200e+02 1.564286e-17 1.564286e-17
1.219200e+02 2.739674e-17 2.739674e-17
1.220200e+02 4.541397e-17 4.541397e-17
1.221200e+02 7.123720e-17 7.123720e-17
1.222200e+02 1.057426e-16 1.057426e-16
1.223200e+02 1.485383e-16 1.485383e-16
1.224200e+02 1.974694e-16 1.974694e-16
1.225200e+02 2.484667e-16 2.484667e-16
1.226200e+02 2.959283e-16 2.959283e-16
1.227200e+02 3.336622e-16 3.336622e-16
1.228200e+02 3.562007e-16 3.562007e-16
1.229200e+02 3.601078e-16 3.601078e-16
1.230200e+02 3.448496e-16 3.448496e-16
1.231200e+02 3.129252e-16 3.129252e-16
1.232200e+02 2.692185e-16 2.692185e-16
1.233200e+02 2.198063e-16 2.198063e-16
1.234200e+02 1.706291e-16 1.706291e-16
1.235200e+02 1.264208e-16 1.264208e-16
1.236200e+02 9.013983e-17 9.013983e-17
1.237200e+02 6.292778e-17 6.292778e-17
1.238200e+02 4.445099e-17 4.445099e-17
1.239200e+02 3.341030e-17 3.341030e-17
1.240200e+02 2.803472e-17 2.803472e-17
1.241200e+02 2.645847e-17 2.645847e-17
1.242200e+02 2.696473e-17 2.696473e-17
1.243200e+02 2.812768e-17 2.812768e-17
1.244200e+02 2.889154e-17 2.889154e-17
1.245200e+02 2.860712e-17 2.860712e-17
1.246200e+02 2.702625e-17 2.702625e-17
1.247200e+02 2.424762e-17 2.424762e-17
1.248200e+02 2.061634e-17 2.061634e-17
1.249200e+02 1.659611e-17 1.659611e-17
1.250200e+02 1.264361e-17 1.264361e-17
1.251200e+02 9.114297e-18 9.114297e-18
1.252200e+02 6.216208e-18 6.216208e-18
1.253200e+02 4.011074e-18 4.011074e-18
1.254200e+02 2.448616e-18 2.448616e-18
1.255200e+02 1.414170e-18 1.414170e-18
1.256200e+02 7.726840e-19 7.726840e-19
1.257200e+02 3.994115e-19 3.994115e-19
1.258200e+02 1.953247e-19 1.953247e-19
1.259200e+02 9.036738e-20 9.036738e-20
1.260200e+02 3.955340e-20 3.955340e-20
1.261200e+02 1.637848e-20 1.637848e-20
1.262200e+02 6.416247e-21 6.416247e-21
1.263200e+02 2.377969e-21 2.377969e-21
1.264200e+02 8.337748e-22 8.337748e-22
1.265200e+02 2.765725e-22 2.765725e-22
1.266200e+02 8.679343e-23 8.679343e-23
1.267200e+02 2.576809e-23 2.576809e-23
1.268200e+02 7.237613e-24 7.237613e-24
1.269200e+02 1.923207e-24 1.923207e-24
1.270200e+02 4.834753e-25 4.834753e-25
1.271200e+02 1.149847e-25 1.149847e-25
1.272200e+02 2.587162e-26 2.587162e-26
1.273200e+02 5.507121e-27 5.507121e-27
1.274200e+02 1.109030e-27 1.109030e-27
1.275200e+02 4.158862e-28 4.158862e-28
1.276200e+02 0.000000e+00 0.000000e+00
1.278200e+02 0.000000e+00 0.000000e+00
1.279200e+02 6.220128e-28 6.220128e-28
1.280200e+02 3.193229e-27 3.193229e-27
1.281200e+02 1.550881e-26 1.550881e-26
1.282200e+02 7.125979e-26 7.125979e-26
1.283200e+02 3.097620e-25 3.097620e-25
1.284200e+02 1.273882e-24 1.273882e-24
1.285200e+02 4.956192e-24 4.956192e-24
1.286200e+02 1.824251e-23 1.824251e-23
1.287200e+02 6.352409e-23 6.352409e-23
1.288200e+02 2.092715e-22 2.092715e-22
1.289200e+02 6.522277e-22 6.522277e-22
1.290200e+02 1.923119e-21 1.923119e-21
1.291200e+02 5.364515e-21 5.364515e-21
1.292200e+02 1.415704e-20 1.415704e-20
1.293200e+02 3.534533e-20 3.534533e-20
1.294200e+02 8.348515e-20 8.348515e-20
1.295200e+02 1.865538e-19 1.865538e-19
1.296200e+02 3.943814e-19 3.943814e-19
1.297200e+02 7.887628e-19 7.887628e-19
1.298200e+02 1.492430e-18 1.492430e-18
1.299200e+02 2.671525e-18 2.671525e-18
1.300200e+02 4.524202e-18 4.524202e-18
1.301200e+02 7.248404e-18 7.248404e-18
1.302200e+02 1.098653e-17 1.098653e-17
1.303200e+02 1.575419e-17 1.575419e-17
1.304200e+02 2.137220e-17 2.137220e-17
1.305200e+02 2.742963e-17 2.742963e-17
1.306200e+02 3.330492e-17 3.330492e-17
1.307200e+02 3.825731e-17 3.825731e-17
1.308200e+02 4.157555e-17 4.157555e-17
1.309200e+02 4.274440e-17 4.274440e-17
1.310200e+02 4.157555e-17 4.157555e-17
1.311200e+02 3.825731e-17 3.825731e-17
1.312200e+02 3.330492e-17 3.330492e-17
1.313200e+02 2.742963e-17 2.742963e-17
1.314200e+02 2.137220e-17 2.137220e-17
1.315200e+02 1.575419e-17 1.575419e-17
1.316200e+02 1.098653e-17 1.098653e-17
1.317200e+02 7.248404e-18 7.248404e-18
1.318200e+02 4.524202e-18 4.524202e-18
1.319200e+02 2.671525e-18 2.671525e-18
1.320200e+02 1.492430e-18 1.492430e-18
1.321200e+02 7.887628e-19 7.887628e-19
1.322200e+02 3.943814e-19 3.943814e-19
1.323200e+02 1.865538e-19 1.865538e-19
1.324200e+02 8.348515e-20 8.348515e-20
1.325200e+02 3.534533e-20 3.534533e-20
1.326200e+02 1.415704e-20 1.415704e-20
1.327200e+02 5.364515e-21 5.364515e-21
1.328200e+02 1.923119e-21 1.923119e-21
1.329200e+02 6.522277e-22 6.522277e-22
1.330200e+02 2.092715e-22 2.092715e-22
1.331200e+02 6.352409e-23 6.352409e-23
1.332200e+02 1.824251e-23 1.824251e-23
1.333200e+02 4.956192e-24 4.956192e-24
1.334200e+02 1.273882e-24 1.273882e-24
1.335200e+02 3.097620e-25 3.097620e-25
1.336200e+02 7.125979e-26 7.125979e-26
1.337200e+02 1.550881e-26 1.550881e-26
1.338200e+02 3.193229e-27 3.193229e-27
1.339200e+02 1.596615e-27 1.596615e-27
1.340200e+02 1.542872e-38 1.542872e-38
1.341200e+02 0.000000e+00 0.000000e+00
1.346200e+02 0.000000e+00 0.000000e+00
1.347200e+02 4.133993e-28 4.133993e-28
1.348200e+02 2.397869e-27 2.397869e-27
1.349200e+02 1.172224e-26 1.172224e-26
1.350200e+02 5.423195e-26 5.423195e-26
1.351200e+02 2.374461e-25 2.374461e-25
1.352200e+02 9.838901e-25 9.838901e-25
1.353200e+02 3.858389e-24 3.858389e-24
1.354200e+02 1.432022e-23 1.432022e-23
1.355200e+02 5.030192e-23 5.030192e-23
1.356200e+02 1.672311e-22 1.672311e-22
1.357200e+02 5.262039e-22 5.262039e-22
1.358200e+02 1.567121e-21 1.567121e-21
1.359200e+02 4.417428e-21 4.417428e-21
1.360200e+02 1.178588e-20 1.178588e-20
1.361200e+02 2.976371e-20 2.976371e-20
1.362200e+02 7.114621e-20 7.114621e-20
1.363200e+02 1.609768e-19 1.609768e-19
1.364200e+02 3.447696e-19 3.447696e-19
1.365200e+02 6.989652e-19 6.989652e-19
1.366200e+02 1.341375e-18 1.341375e-18
1.367200e+02 2.436798e-18 2.436798e-18
1.368200e+02 4.190545e-18 4.190545e-18
1.369200e+02 6.821970e-18 6.821970e-18
1.370200e+02 1.051341e-17 1.051341e-17
1.371200e+02 1.533835e-17 1.533835e-17
1.372200e+02 2.118461e-17 2.118461e-17
1.373200e+02 2.769968e-17 2.769968e-17
1.374200e+02 3.428840e-17 3.428840e-17
1.375200e+02 4.018304e-17 4.018304e-17
1.376200e+02 4.458268e-17 4.458268e-17
1.377200e+02 4.682975e-17 4.682975e-17
1.378200e+02 4.657080e-17 4.657080e-17
1.379200e+02 4.384756e-17 4.384756e-17
1.380200e+02 3.908589e-17 3.908589e-17
1.381200e+02 3.298680e-17 3.298680e-17
1.382200e+02 2.635773e-17 2.635773e-17
1.383200e+02 1.994000e-17 1.994000e-17
1.384200e+02 1.428213e-17 1.428213e-17
1.385200e+02 9.685277e-18 9.685277e-18
1.386200e+02 6.218455e-18 6.218455e-18
1.387200e+02 3.780106e-18 3.780106e-18
1.388200e+02 2.175583e-18 2.175583e-18
1.389200e+02 1.185485e-18 1.185485e-18
1.390200e+02 6.115945e-19 6.115945e-19
1.391200e+02 2.987278e-19 2.987278e-19
1.392200e+02 1.381432e-19 1.381432e-19
1.393200e+02 6.048139e-20 6.048139e-20
1.394200e+02 2.506969e-20 2.506969e-20
1.395200e+02 9.837996e-21 9.837996e-21
1.396200e+02 3.655027e-21 3.655027e-21
1.397200e+02 1.285570e-21 1.285570e-21
1.398200e+02 4.280721e-22 4.280721e-22
1.399200e+02 1.349425e-22 1.349425e-22
1.400200e+02 4.027031e-23 4.027031e-23
1.401200e+02 1.137679e-23 1.137679e-23
1.402200e+02 3.042616e-24 3.042616e-24
1.403200e+02 7.703004e-25 7.703004e-25
1.404200e+02 1.846087e-25 1.846087e-25
1.405200e+02 4.188096e-26 4.188096e-26
1.406200e+02 8.993866e-27 8.993866e-27
1.407200e+02 1.830866e-27 1.830866e-27
1.408200e+02 2.901426e-28 2.901426e-28
1.409200e+02 6.765420e-29 6.765420e-29
1.410200e+02 2.978502e-28 2.978502e-28
1.411200e+02 1.241000e-27 1.241000e-27
1.412200e+02 4.893541e-27 4.893541e-27
1.413200e+02 1.826242e-26 1.826242e-26
1.414200e+02 6.450356e-26 6.450356e-26
1.415200e+02 2.156285e-25 2.156285e-25
1.416200e+02 6.822324e-25 6.822324e-25
1.417200e+02 2.043005e-24 2.043005e-24
1.418200e+02 5.790608e-24 5.790608e-24
1.419200e+02 1.553473e-23 1.553473e-23
1.420200e+02 3.944711e-23 3.944711e-23
1.421200e+02 9.481251e-23 9.481251e-23
1.422200e+02 2.157060e-22 2.157060e-22
1.423200e+02 4.645283e-22 4.645283e-22
1.424200e+02 9.469396e-22 9.469396e-22
1.425200e+02 1.827257e-21 1.827257e-21
1.426200e+02 3.337731e-21 3.337731e-21
1.427200e+02 5.771436e-21 5.771436e-21
1.428200e+02 9.447221e-21 9.447221e-21
1.429200e+02 1.463923e-20 1.463923e-20
1.430200e+02 2.147498e-20 2.147498e-20
1.431200e+02 2.982316e-20 2.982316e-20
1.432200e+02 3.920907e-20 3.920907e-20
1.433200e+02 4.880191e-20 4.880191e-20
