# Cross sections for C2
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: C2 P.D. POUILLY ET AL.83 +GUESS
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
9.120000e+01 5.010000e-17 1.000000e-19
9.130000e+01 5.010000e-17 1.000000e-19
9.140000e+01 5.010000e-17 1.000000e-19
9.150000e+01 5.010000e-17 1.000000e-19
9.160000e+01 5.010000e-17 1.000000e-19
9.170000e+01 5.010000e-17 1.000000e-19
9.180000e+01 5.010000e-17 1.000000e-19
9.190000e+01 5.010000e-17 1.000000e-19
9.200000e+01 5.010000e-17 1.000000e-19
9.210000e+01 5.010000e-17 1.000000e-19
9.220000e+01 5.010000e-17 1.000000e-19
9.230000e+01 5.010000e-17 1.000001e-19
9.240000e+01 5.010000e-17 1.000005e-19
9.250000e+01 5.010000e-17 1.000017e-19
9.260000e+01 5.010709e-17 1.070886e-19
9.270000e+01 5.014051e-17 1.405083e-19
9.280000e+01 5.016440e-17 1.643974e-19
9.290000e+01 5.018846e-17 1.884632e-19
9.300000e+01 5.021305e-17 2.130515e-19
9.310000e+01 5.023910e-17 2.390956e-19
9.320000e+01 5.026896e-17 2.689559e-19
9.330000e+01 5.030822e-17 3.082248e-19
9.340000e+01 5.036929e-17 3.692885e-19
9.350000e+01 5.047774e-17 4.777395e-19
9.360000e+01 5.068277e-17 6.827685e-19
9.370000e+01 5.107199e-17 1.071989e-18
9.380000e+01 5.178922e-17 1.789217e-18
9.390000e+01 5.305024e-17 3.050243e-18
9.400000e+01 5.409871e-17 4.098715e-18
9.410000e+01 5.678782e-17 6.787819e-18
9.420000e+01 6.103464e-17 1.103464e-17
9.430000e+01 6.654619e-17 1.654619e-17
9.440000e+01 7.836346e-17 2.836346e-17
9.450000e+01 8.832749e-17 3.832749e-17
9.460000e+01 9.906413e-17 4.906413e-17
9.470000e+01 1.068666e-16 5.686664e-17
9.480000e+01 1.139048e-16 6.390480e-17
9.490000e+01 1.241879e-16 7.418787e-17
