# Cross sections for C2
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: C2 P.I. CF. PADIAL ET AL. ('86)
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
9.120000e+01 5.010000e-17 5.000000e-17
9.130000e+01 5.010000e-17 5.000000e-17
9.140000e+01 5.010000e-17 5.000000e-17
9.150000e+01 5.010000e-17 5.000000e-17
9.160000e+01 5.010000e-17 5.000000e-17
9.170000e+01 5.010000e-17 5.000000e-17
9.180000e+01 5.010000e-17 5.000000e-17
9.190000e+01 5.010000e-17 5.000000e-17
9.200000e+01 5.010000e-17 5.000000e-17
9.210000e+01 5.010000e-17 5.000000e-17
9.220000e+01 5.010000e-17 5.000000e-17
9.230000e+01 5.010000e-17 5.000000e-17
9.240000e+01 5.010000e-17 5.000000e-17
9.250000e+01 5.010000e-17 5.000000e-17
9.260000e+01 5.010709e-17 5.000000e-17
9.270000e+01 5.014051e-17 5.000000e-17
9.280000e+01 5.016440e-17 5.000000e-17
9.290000e+01 5.018846e-17 5.000000e-17
9.300000e+01 5.021305e-17 5.000000e-17
9.310000e+01 5.023910e-17 5.000000e-17
9.320000e+01 5.026896e-17 5.000000e-17
9.330000e+01 5.030822e-17 5.000000e-17
9.340000e+01 5.036929e-17 5.000000e-17
9.350000e+01 5.047774e-17 5.000000e-17
9.360000e+01 5.068277e-17 5.000000e-17
9.370000e+01 5.107199e-17 5.000000e-17
9.380000e+01 5.178922e-17 5.000000e-17
9.390000e+01 5.305024e-17 5.000000e-17
9.400000e+01 5.409871e-17 5.000000e-17
9.410000e+01 5.678782e-17 5.000000e-17
9.420000e+01 6.103464e-17 5.000000e-17
9.430000e+01 6.654619e-17 5.000000e-17
9.440000e+01 7.836346e-17 5.000000e-17
9.450000e+01 8.832749e-17 5.000000e-17
9.460000e+01 9.906413e-17 5.000000e-17
9.470000e+01 1.068666e-16 5.000000e-17
9.480000e+01 1.139048e-16 5.000000e-17
9.490000e+01 1.241879e-16 5.000000e-17
9.500000e+01 1.263230e-16 5.000000e-17
9.510000e+01 1.243479e-16 5.000000e-17
9.520000e+01 1.185936e-16 5.000000e-17
9.530000e+01 1.099661e-16 5.000000e-17
9.540000e+01 9.971593e-17 5.000000e-17
9.550000e+01 8.914549e-17 5.000000e-17
9.560000e+01 7.934767e-17 5.000000e-17
9.570000e+01 7.104497e-17 5.000000e-17
9.580000e+01 6.455245e-17 5.000000e-17
9.590000e+01 5.984264e-17 5.000000e-17
9.600000e+01 5.790061e-17 5.000000e-17
9.610000e+01 5.565097e-17 5.000000e-17
9.620000e+01 5.360017e-17 5.000000e-17
9.630000e+01 5.304008e-17 5.000000e-17
9.640000e+01 5.280801e-17 5.000000e-17
9.650000e+01 5.276012e-17 5.000000e-17
