# C3 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: van_hemert2008 10.1016/j.chemphys.2007.08.011, monninger2002 10.1021/jp0142536, nicolas2006 10.1021/ja055430+,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
9.000000e+01 2.000175e-17 1.745421e-21
9.010000e+01 2.000184e-17 1.844752e-21
9.020000e+01 2.000195e-17 1.949403e-21
9.030000e+01 2.000206e-17 2.059637e-21
9.040000e+01 2.000218e-17 2.175733e-21
9.050000e+01 2.000230e-17 2.297979e-21
9.060000e+01 2.000243e-17 2.426678e-21
9.070000e+01 2.000256e-17 2.562147e-21
9.080000e+01 2.000270e-17 2.704715e-21
9.090000e+01 2.000285e-17 2.854728e-21
9.100000e+01 2.000301e-17 3.012545e-21
9.110000e+01 2.000318e-17 3.178543e-21
9.120000e+01 2.000335e-17 3.353113e-21
9.130000e+01 2.000354e-17 3.536666e-21
9.140000e+01 2.000373e-17 3.729629e-21
9.150000e+01 2.000393e-17 3.932447e-21
9.160000e+01 2.000415e-17 4.145584e-21
9.170000e+01 2.000437e-17 4.369525e-21
9.180000e+01 2.000460e-17 4.604776e-21
9.190000e+01 1.986170e-17 4.851861e-21
9.200000e+01 1.953972e-17 5.111330e-21
9.210000e+01 1.921959e-17 5.383754e-21
9.220000e+01 1.933515e-17 5.669726e-21
9.230000e+01 1.964429e-17 5.969867e-21
9.240000e+01 2.040221e-17 6.284821e-21
9.250000e+01 2.064796e-17 6.615259e-21
9.260000e+01 2.072042e-17 6.961878e-21
9.270000e+01 2.054235e-17 7.325406e-21
9.280000e+01 2.031109e-17 7.706597e-21
9.290000e+01 2.000629e-17 8.106236e-21
9.300000e+01 1.969342e-17 8.525140e-21
9.310000e+01 1.932729e-17 8.964157e-21
9.320000e+01 1.897672e-17 9.424169e-21
9.330000e+01 1.867876e-17 9.906093e-21
9.340000e+01 1.837337e-17 1.041088e-20
9.350000e+01 1.806159e-17 1.093951e-20
9.360000e+01 1.797138e-17 1.149302e-20
9.370000e+01 1.798935e-17 1.207247e-20
9.380000e+01 1.805743e-17 1.267897e-20
9.390000e+01 1.813467e-17 1.331365e-20
9.400000e+01 1.804105e-17 1.397772e-20
9.410000e+01 1.786861e-17 1.467239e-20
9.420000e+01 1.769660e-17 1.539896e-20
9.430000e+01 1.772821e-17 1.615873e-20
9.440000e+01 1.791714e-17 1.695309e-20
9.450000e+01 1.814626e-17 1.778346e-20
9.460000e+01 1.837134e-17 1.865131e-20
9.470000e+01 1.836682e-17 1.955816e-20
9.480000e+01 1.822557e-17 2.050560e-20
9.490000e+01 1.806416e-17 2.149525e-20
9.500000e+01 1.801087e-17 2.252880e-20
9.510000e+01 1.813454e-17 2.360802e-20
9.520000e+01 1.835939e-17 2.473470e-20
