# C3 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: van_hemert2008 10.1016/j.chemphys.2007.08.011, monninger2002 10.1021/jp0142536, nicolas2006 10.1021/ja055430+,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
9.000000e+01 2.000175e-17 2.000000e-17
9.010000e+01 2.000184e-17 2.000000e-17
9.020000e+01 2.000195e-17 2.000000e-17
9.030000e+01 2.000206e-17 2.000000e-17
9.040000e+01 2.000218e-17 2.000000e-17
9.050000e+01 2.000230e-17 2.000000e-17
9.060000e+01 2.000243e-17 2.000000e-17
9.070000e+01 2.000256e-17 2.000000e-17
9.080000e+01 2.000270e-17 2.000000e-17
9.090000e+01 2.000285e-17 2.000000e-17
9.100000e+01 2.000301e-17 2.000000e-17
9.110000e+01 2.000318e-17 2.000000e-17
9.120000e+01 2.000335e-17 2.000000e-17
9.130000e+01 2.000354e-17 2.000000e-17
9.140000e+01 2.000373e-17 2.000000e-17
9.150000e+01 2.000393e-17 2.000000e-17
9.160000e+01 2.000415e-17 2.000000e-17
9.170000e+01 2.000437e-17 2.000000e-17
9.180000e+01 2.000460e-17 2.000000e-17
9.190000e+01 1.986170e-17 1.985685e-17
9.200000e+01 1.953972e-17 1.953461e-17
9.210000e+01 1.921959e-17 1.921420e-17
9.220000e+01 1.933515e-17 1.932948e-17
9.230000e+01 1.964429e-17 1.963832e-17
9.240000e+01 2.040221e-17 2.039593e-17
9.250000e+01 2.064796e-17 2.064134e-17
9.260000e+01 2.072042e-17 2.071346e-17
9.270000e+01 2.054235e-17 2.053503e-17
9.280000e+01 2.031109e-17 2.030338e-17
9.290000e+01 2.000629e-17 1.999819e-17
9.300000e+01 1.969342e-17 1.968489e-17
9.310000e+01 1.932729e-17 1.931833e-17
9.320000e+01 1.897672e-17 1.896729e-17
9.330000e+01 1.867876e-17 1.866886e-17
9.340000e+01 1.837337e-17 1.836296e-17
9.350000e+01 1.806159e-17 1.805065e-17
9.360000e+01 1.797138e-17 1.795989e-17
9.370000e+01 1.798935e-17 1.797728e-17
9.380000e+01 1.805743e-17 1.804475e-17
9.390000e+01 1.813467e-17 1.812135e-17
9.400000e+01 1.804105e-17 1.802707e-17
9.410000e+01 1.786861e-17 1.785394e-17
9.420000e+01 1.769660e-17 1.768120e-17
9.430000e+01 1.772821e-17 1.771205e-17
9.440000e+01 1.791714e-17 1.790019e-17
9.450000e+01 1.814626e-17 1.812848e-17
9.460000e+01 1.837134e-17 1.835269e-17
9.470000e+01 1.836682e-17 1.834726e-17
9.480000e+01 1.822557e-17 1.820507e-17
9.490000e+01 1.806416e-17 1.804267e-17
9.500000e+01 1.801087e-17 1.798834e-17
9.510000e+01 1.813454e-17 1.811093e-17
9.520000e+01 1.835939e-17 1.833466e-17
9.530000e+01 1.858510e-17 1.855919e-17
9.540000e+01 1.841337e-17 1.838623e-17
9.550000e+01 1.802195e-17 1.799353e-17
9.560000e+01 1.736629e-17 1.733654e-17
9.570000e+01 1.677586e-17 1.674471e-17
9.580000e+01 1.643717e-17 1.640457e-17
9.590000e+01 1.606646e-17 1.603234e-17
9.600000e+01 1.566184e-17 1.562615e-17
9.610000e+01 1.525748e-17 1.522014e-17
9.620000e+01 1.498486e-17 1.494580e-17
9.630000e+01 1.473434e-17 1.469350e-17
9.640000e+01 1.451237e-17 1.446967e-17
9.650000e+01 1.432072e-17 1.427608e-17
9.660000e+01 1.417150e-17 1.412484e-17
9.670000e+01 1.402813e-17 1.397936e-17
9.680000e+01 1.386665e-17 1.381569e-17
9.690000e+01 1.355054e-17 1.349731e-17
9.700000e+01 1.326144e-17 1.320584e-17
9.710000e+01 1.292945e-17 1.287139e-17
9.720000e+01 1.261559e-17 1.255497e-17
9.730000e+01 1.230021e-17 1.223693e-17
9.740000e+01 1.197618e-17 1.191012e-17
9.750000e+01 1.164923e-17 1.158029e-17
9.760000e+01 1.138120e-17 1.130926e-17
9.770000e+01 1.117109e-17 1.109604e-17
9.780000e+01 1.098688e-17 1.090860e-17
9.790000e+01 1.080563e-17 1.072399e-17
9.800000e+01 1.056449e-17 1.047936e-17
9.810000e+01 1.021405e-17 1.012531e-17
9.820000e+01 9.857684e-18 9.765181e-18
9.830000e+01 9.510705e-18 9.414300e-18
9.840000e+01 9.209174e-18 9.108721e-18
9.850000e+01 9.056478e-18 8.951823e-18
9.860000e+01 8.948461e-18 8.839448e-18
9.870000e+01 8.859298e-18 8.745764e-18
9.880000e+01 8.776537e-18 8.658315e-18
9.890000e+01 8.665037e-18 8.541955e-18
9.900000e+01 8.549768e-18 8.421647e-18
9.910000e+01 8.462046e-18 8.328705e-18
9.920000e+01 8.264692e-18 8.125939e-18
9.930000e+01 8.168514e-18 8.024157e-18
9.940000e+01 8.074532e-18 7.924369e-18
9.950000e+01 7.965967e-18 7.809791e-18
9.960000e+01 7.901749e-18 7.739347e-18
9.970000e+01 7.856429e-18 7.687582e-18
9.980000e+01 7.827851e-18 7.652333e-18
9.990000e+01 7.813997e-18 7.631576e-18
1.000000e+02 7.711702e-18 7.522139e-18
1.001000e+02 7.573028e-18 7.376076e-18
1.002000e+02 7.433626e-18 7.229033e-18
1.003000e+02 7.289182e-18 7.076688e-18
1.004000e+02 7.374459e-18 7.153797e-18
1.005000e+02 7.563723e-18 7.334617e-18
1.006000e+02 7.828123e-18 7.590291e-18
1.007000e+02 8.104897e-18 7.858049e-18
1.008000e+02 8.228821e-18 7.972660e-18
1.009000e+02 8.234067e-18 7.968286e-18
1.010000e+02 8.068751e-18 7.793037e-18
1.011000e+02 7.906159e-18 7.620189e-18
1.012000e+02 7.773490e-18 7.476932e-18
1.013000e+02 7.692681e-18 7.385197e-18
1.014000e+02 7.612220e-18 7.293463e-18
1.015000e+02 7.535047e-18 7.204659e-18
1.016000e+02 7.474839e-18 7.132454e-18
1.017000e+02 7.470477e-18 7.115720e-18
1.018000e+02 7.466499e-18 7.098986e-18
1.019000e+02 7.459769e-18 7.079107e-18
1.020000e+02 7.449434e-18 7.055220e-18
1.021000e+02 7.383766e-18 6.975587e-18
1.022000e+02 7.311230e-18 6.888664e-18
1.023000e+02 7.230413e-18 6.793028e-18
1.024000e+02 7.136936e-18 6.684289e-18
1.025000e+02 7.212484e-18 6.744123e-18
1.026000e+02 7.375771e-18 6.891233e-18
1.027000e+02 7.558253e-18 7.057066e-18
1.028000e+02 7.719776e-18 7.201455e-18
1.029000e+02 7.837895e-18 7.301948e-18
1.030000e+02 7.813408e-18 7.259330e-18
1.031000e+02 7.746131e-18 7.173406e-18
1.032000e+02 7.680046e-18 7.088148e-18
1.033000e+02 7.636239e-18 7.024630e-18
1.034000e+02 7.690658e-18 7.058791e-18
1.035000e+02 7.853810e-18 7.201125e-18
1.036000e+02 8.006442e-18 7.332369e-18
1.037000e+02 8.146626e-18 7.450583e-18
1.038000e+02 8.181668e-18 7.463061e-18
1.039000e+02 8.204506e-18 7.462732e-18
1.040000e+02 8.208100e-18 7.442543e-18
1.041000e+02 8.194492e-18 7.404524e-18
1.042000e+02 8.162465e-18 7.347448e-18
1.043000e+02 8.115722e-18 7.275005e-18
1.044000e+02 8.069641e-18 7.202562e-18
1.045000e+02 8.013831e-18 7.119715e-18
1.046000e+02 7.901802e-18 6.979966e-18
1.047000e+02 7.659208e-18 6.708954e-18
1.048000e+02 7.187967e-18 6.208587e-18
1.049000e+02 6.448453e-18 5.439227e-18
1.050000e+02 6.082813e-18 5.043010e-18
1.051000e+02 5.460260e-18 4.389136e-18
1.052000e+02 5.151801e-18 4.048602e-18
1.053000e+02 4.939548e-18 3.803507e-18
1.054000e+02 4.725533e-18 3.555873e-18
1.055000e+02 4.493510e-18 3.289442e-18
1.056000e+02 4.262286e-18 3.023010e-18
1.057000e+02 4.148085e-18 2.872790e-18
1.058000e+02 4.047934e-18 2.735799e-18
1.059000e+02 3.948926e-18 2.599116e-18
1.060000e+02 3.805691e-18 2.417362e-18
1.061000e+02 3.646964e-18 2.219262e-18
1.062000e+02 3.528717e-18 2.060776e-18
1.063000e+02 3.413724e-18 1.904668e-18
1.064000e+02 3.308244e-18 1.757188e-18
1.065000e+02 3.260899e-18 1.666946e-18
1.066000e+02 3.217183e-18 1.579427e-18
1.067000e+02 3.243664e-18 1.561190e-18
1.068000e+02 3.271070e-18 1.542952e-18
1.069000e+02 3.236579e-18 1.461882e-18
1.070000e+02 3.200588e-18 1.378369e-18
1.071000e+02 3.165549e-18 1.294856e-18
1.072000e+02 3.151687e-18 1.231558e-18
1.073000e+02 3.142802e-18 1.172270e-18
1.074000e+02 3.140495e-18 1.118581e-18
1.075000e+02 3.139510e-18 1.065230e-18
1.076000e+02 3.167685e-18 1.040046e-18
1.077000e+02 3.202213e-18 1.020217e-18
1.078000e+02 3.173971e-18 9.366119e-19
1.079000e+02 3.142302e-18 8.485676e-19
1.080000e+02 3.165433e-18 8.143052e-19
1.081000e+02 3.202202e-18 7.926566e-19
1.082000e+02 3.243912e-18 7.749213e-19
1.083000e+02 3.286657e-18 7.571860e-19
1.084000e+02 3.291003e-18 7.000148e-19
1.085000e+02 3.298223e-18 6.446748e-19
1.086000e+02 3.361515e-18 6.443617e-19
1.087000e+02 3.425856e-18 6.440486e-19
1.088000e+02 3.435226e-18 5.877140e-19
1.089000e+02 3.439158e-18 5.248882e-19
1.090000e+02 3.467624e-18 4.855421e-19
1.091000e+02 3.519034e-18 4.680840e-19
1.092000e+02 3.574290e-18 4.534148e-19
1.093000e+02 3.635790e-18 4.439340e-19
1.094000e+02 3.698346e-18 4.344532e-19
1.095000e+02 3.761957e-18 4.249723e-19
1.096000e+02 3.826621e-18 4.154915e-19
1.097000e+02 3.892335e-18 4.060107e-19
1.098000e+02 3.959098e-18 3.965299e-19
1.099000e+02 4.026904e-18 3.870491e-19
1.100000e+02 4.093896e-18 3.757129e-19
1.101000e+02 4.156203e-18 3.586555e-19
1.102000e+02 4.220462e-18 3.425202e-19
1.103000e+02 4.320240e-18 3.608798e-19
1.104000e+02 4.421535e-18 3.797383e-19
1.105000e+02 4.537933e-18 4.126903e-19
1.106000e+02 4.655334e-18 4.456423e-19
1.107000e+02 4.732397e-18 4.372619e-19
1.108000e+02 4.800001e-18 4.184382e-19
1.109000e+02 4.854179e-18 3.852152e-19
1.110000e+02 4.905520e-18 3.481904e-19
1.111000e+02 4.962035e-18 3.153881e-19
1.112000e+02 5.020775e-18 2.838707e-19
1.113000e+02 5.080442e-18 2.523533e-19
1.114000e+02 5.141023e-18 2.208359e-19
1.115000e+02 5.202502e-18 1.893185e-19
1.116000e+02 5.264865e-18 1.578011e-19
1.117000e+02 5.328097e-18 1.262838e-19
1.118000e+02 5.392180e-18 9.476636e-20
1.119000e+02 5.457096e-18 6.324896e-20
1.120000e+02 5.526443e-18 3.534490e-20
1.121000e+02 5.607965e-18 1.881915e-20
1.122000e+02 5.690264e-18 2.293394e-21
1.123000e+02 5.788756e-18 1.203298e-21
1.124000e+02 5.888783e-18 9.119979e-22
1.125000e+02 6.015306e-18 2.640126e-20
1.126000e+02 6.156959e-18 6.633018e-20
1.127000e+02 6.420153e-18 2.271307e-19
