# Cross sections for CH2+
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: CH2+ p.d. cf. Theodorakopoulos & Petsalakis '91; maximum rate
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
8.850000e+01 5.000000e-20 5.000000e-20
8.860000e+01 5.000000e-20 5.000000e-20
8.870000e+01 5.000000e-20 5.000000e-20
8.880000e+01 5.000000e-20 5.000000e-20
8.890000e+01 5.000000e-20 5.000000e-20
8.900000e+01 5.000000e-20 5.000000e-20
8.910000e+01 5.000000e-20 5.000000e-20
8.920000e+01 5.000000e-20 5.000000e-20
8.930000e+01 5.000000e-20 5.000000e-20
8.940000e+01 5.000000e-20 5.000000e-20
8.950000e+01 5.000000e-20 5.000000e-20
8.960000e+01 5.000000e-20 5.000000e-20
8.970000e+01 5.000000e-20 5.000000e-20
8.980000e+01 5.000000e-20 5.000000e-20
8.990000e+01 5.000000e-20 5.000000e-20
9.000000e+01 5.000000e-20 5.000000e-20
9.010000e+01 5.000000e-20 5.000000e-20
9.020000e+01 6.151648e-20 6.151648e-20
9.030000e+01 1.300689e-19 1.300689e-19
9.040000e+01 2.602065e-19 2.602065e-19
9.050000e+01 4.925546e-19 4.925546e-19
9.060000e+01 8.823286e-19 8.823286e-19
9.070000e+01 1.495975e-18 1.495975e-18
9.080000e+01 2.401407e-18 2.401407e-18
9.090000e+01 3.651451e-18 3.651451e-18
9.100000e+01 5.263412e-18 5.263412e-18
9.110000e+01 7.201583e-18 7.201583e-18
9.120000e+01 9.372109e-18 9.372109e-18
9.130000e+01 1.163839e-17 1.163839e-17
9.140000e+01 1.385872e-17 1.385872e-17
9.150000e+01 1.593739e-17 1.593739e-17
9.160000e+01 1.787001e-17 1.787001e-17
9.170000e+01 1.975984e-17 1.975984e-17
9.180000e+01 2.178786e-17 2.178786e-17
9.190000e+01 2.413699e-17 2.413699e-17
9.200000e+01 2.689205e-17 2.689205e-17
9.210000e+01 2.995405e-17 2.995405e-17
9.220000e+01 3.300882e-17 3.300882e-17
9.230000e+01 3.557320e-17 3.557320e-17
9.240000e+01 3.711236e-17 3.711236e-17
9.250000e+01 3.719113e-17 3.719113e-17
9.260000e+01 3.560599e-17 3.560599e-17
9.270000e+01 3.245063e-17 3.245063e-17
9.280000e+01 2.809377e-17 2.809377e-17
9.290000e+01 2.308232e-17 2.308232e-17
9.300000e+01 1.800921e-17 1.800921e-17
9.310000e+01 1.339289e-17 1.339289e-17
9.320000e+01 9.603263e-18 9.603263e-18
9.330000e+01 6.845495e-18 6.845495e-18
9.340000e+01 5.189379e-18 5.189379e-18
9.350000e+01 4.618190e-18 4.618190e-18
9.360000e+01 5.069974e-18 5.069974e-18
9.370000e+01 6.453907e-18 6.453907e-18
9.380000e+01 8.639295e-18 8.639295e-18
9.390000e+01 1.142906e-17 1.142906e-17
9.400000e+01 1.453810e-17 1.453810e-17
9.410000e+01 1.759695e-17 1.759695e-17
9.420000e+01 2.019150e-17 2.019150e-17
9.430000e+01 2.193444e-17 2.193444e-17
9.440000e+01 2.254811e-17 2.254811e-17
9.450000e+01 2.193052e-17 2.193052e-17
9.460000e+01 2.017992e-17 2.017992e-17
9.470000e+01 1.756771e-17 1.756771e-17
9.480000e+01 1.446911e-17 1.446911e-17
9.490000e+01 1.127536e-17 1.127536e-17
9.500000e+01 8.315797e-18 8.315797e-18
9.510000e+01 5.810648e-18 5.810648e-18
9.520000e+01 3.862175e-18 3.862175e-18
9.530000e+01 2.478134e-18 2.478134e-18
9.540000e+01 1.614160e-18 1.614160e-18
9.550000e+01 1.220602e-18 1.220602e-18
9.560000e+01 1.282823e-18 1.282823e-18
9.570000e+01 1.848058e-18 1.848058e-18
9.580000e+01 3.034143e-18 3.034143e-18
9.590000e+01 5.015687e-18 5.015687e-18
9.600000e+01 7.983923e-18 7.983923e-18
9.610000e+01 1.208057e-17 1.208057e-17
9.620000e+01 1.731512e-17 1.731512e-17
9.630000e+01 2.348695e-17 2.348695e-17
9.640000e+01 3.014280e-17 3.014280e-17
9.650000e+01 3.659892e-17 3.659892e-17
9.660000e+01 4.204103e-17 4.204103e-17
9.670000e+01 4.568743e-17 4.568743e-17
9.680000e+01 4.697187e-17 4.697187e-17
9.690000e+01 4.568742e-17 4.568742e-17
9.700000e+01 4.204100e-17 4.204100e-17
9.710000e+01 3.659881e-17 3.659881e-17
9.720000e+01 3.014245e-17 3.014245e-17
9.730000e+01 2.348593e-17 2.348593e-17
9.740000e+01 1.731229e-17 1.731229e-17
9.750000e+01 1.207311e-17 1.207311e-17
9.760000e+01 7.965279e-18 7.965279e-18
9.770000e+01 4.971651e-18 4.971651e-18
9.780000e+01 2.935741e-18 2.935741e-18
9.790000e+01 1.640033e-18 1.640033e-18
9.800000e+01 8.667723e-19 8.667723e-19
9.810000e+01 4.333861e-19 4.333861e-19
9.820000e+01 2.050041e-19 2.050041e-19
9.830000e+01 9.174192e-20 9.174192e-20
9.840000e+01 5.000000e-20 5.000000e-20
9.850000e+01 5.000000e-20 5.000000e-20
9.860000e+01 5.000000e-20 5.000000e-20
9.870000e+01 5.000000e-20 5.000000e-20
9.880000e+01 5.000000e-20 5.000000e-20
9.890000e+01 5.000000e-20 5.000000e-20
9.900000e+01 5.000000e-20 5.000000e-20
9.910000e+01 5.000000e-20 5.000000e-20
9.920000e+01 5.000000e-20 5.000000e-20
9.930000e+01 5.000000e-20 5.000000e-20
9.940000e+01 5.000000e-20 5.000000e-20
9.950000e+01 5.000000e-20 5.000000e-20
9.960000e+01 5.000000e-20 5.000000e-20
9.970000e+01 5.000000e-20 5.000000e-20
9.980000e+01 5.000000e-20 5.000000e-20
9.990000e+01 5.000000e-20 5.000000e-20
1.000000e+02 5.000000e-20 5.000000e-20
1.001000e+02 5.000000e-20 5.000000e-20
1.002000e+02 5.000000e-20 5.000000e-20
1.003000e+02 5.000000e-20 5.000000e-20
1.004000e+02 5.000000e-20 5.000000e-20
1.005000e+02 5.000000e-20 5.000000e-20
1.006000e+02 5.000000e-20 5.000000e-20
1.007000e+02 5.000000e-20 5.000000e-20
1.008000e+02 5.000000e-20 5.000000e-20
1.009000e+02 5.000000e-20 5.000000e-20
1.010000e+02 5.000000e-20 5.000000e-20
1.011000e+02 5.000000e-20 5.000000e-20
1.012000e+02 5.000000e-20 5.000000e-20
1.013000e+02 5.000000e-20 5.000000e-20
1.014000e+02 5.000000e-20 5.000000e-20
1.015000e+02 5.000000e-20 5.000000e-20
1.016000e+02 5.000000e-20 5.000000e-20
1.017000e+02 5.000000e-20 5.000000e-20
1.018000e+02 5.000000e-20 5.000000e-20
1.019000e+02 5.000000e-20 5.000000e-20
1.020000e+02 5.000000e-20 5.000000e-20
1.021000e+02 5.000000e-20 5.000000e-20
1.022000e+02 5.000000e-20 5.000000e-20
1.023000e+02 5.000000e-20 5.000000e-20
1.024000e+02 5.000000e-20 5.000000e-20
1.025000e+02 5.000000e-20 5.000000e-20
1.026000e+02 5.000000e-20 5.000000e-20
1.027000e+02 5.000000e-20 5.000000e-20
