# CH3 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: herzberg1956, cameron2002 10.1039/B202586H, gans2010 10.1021/jp909414d,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.264000e+02 1.064047e-18 1.003704e-30
1.265000e+02 9.412199e-19 6.153188e-30
1.266000e+02 8.247458e-19 3.568718e-29
1.267000e+02 7.362400e-19 1.958132e-28
1.268000e+02 6.006577e-19 1.016457e-27
1.269000e+02 5.448721e-19 4.991764e-27
1.270000e+02 5.320295e-19 2.319191e-26
1.271000e+02 5.298802e-19 1.019381e-25
1.272000e+02 4.692585e-19 4.238911e-25
1.273000e+02 4.426015e-19 1.667591e-24
1.274000e+02 4.247272e-19 6.206438e-24
1.275000e+02 4.119982e-19 2.185309e-23
1.276000e+02 4.120005e-19 7.279490e-23
1.277000e+02 4.055578e-19 2.294070e-22
1.278000e+02 3.890722e-19 6.839587e-22
1.279000e+02 3.462032e-19 1.929171e-21
1.280000e+02 2.977659e-19 5.147890e-21
1.281000e+02 2.927388e-19 1.299587e-20
1.282000e+02 3.068924e-19 3.103838e-20
1.283000e+02 3.459370e-19 7.013104e-20
1.284000e+02 4.159066e-19 1.499130e-19
1.285000e+02 5.468471e-19 3.031697e-19
1.286000e+02 7.982715e-19 5.800294e-19
1.287000e+02 1.242706e-18 1.049862e-18
1.288000e+02 1.977482e-18 1.797763e-18
1.289000e+02 3.092074e-18 2.912402e-18
1.290000e+02 4.639063e-18 4.463652e-18
1.291000e+02 6.641258e-18 6.472209e-18
1.292000e+02 9.036593e-18 8.878595e-18
1.293000e+02 1.167130e-17 1.152338e-17
1.294000e+02 1.428981e-17 1.415114e-17
1.295000e+02 1.657834e-17 1.644554e-17
1.296000e+02 1.821960e-17 1.809267e-17
1.297000e+02 1.897874e-17 1.885769e-17
1.298000e+02 1.876750e-17 1.865232e-17
1.299000e+02 1.768058e-17 1.757127e-17
1.300000e+02 1.597143e-17 1.588558e-17
1.301000e+02 1.405401e-17 1.399471e-17
1.302000e+02 1.241063e-17 1.235138e-17
