# Cross sections for CH - reduced to   106points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Photodissociation source: CH P.D. cf. van Dishoeck ('87)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# Lines represented with gaussian of width 1.0 nm FWHM                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# photodissociation:  cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
9.150000E+01 2.505000E-17 5.000000E-20
9.310000E+01 2.505000E-17 5.000000E-20
9.470000E+01 2.505000E-17 5.000000E-20
9.630000E+01 2.505000E-17 5.000000E-20
9.790000E+01 2.505000E-17 5.000000E-20
9.950000E+01 3.397561E-17 8.975610E-18
1.011000E+02 2.600667E-17 1.006670E-18
1.027000E+02 2.505005E-17 5.000000E-20
1.043000E+02 7.334242E-17 5.000000E-20
1.059000E+02 2.993660E-17 5.000000E-20
1.075000E+02 1.005001E-17 5.000000E-20
1.091000E+02 1.005000E-17 5.000000E-20
1.107000E+02 1.005000E-17 5.000000E-20
1.123000E+02 1.005000E-17 5.000000E-20
1.139000E+02 1.005000E-17 5.000000E-20
1.155000E+02 1.005000E-17 5.000000E-20
1.171000E+02 5.000000E-20 5.000000E-20
1.187000E+02 1.906899E-19 1.906899E-19
1.203000E+02 1.610348E-17 1.610348E-17
1.219000E+02 5.000000E-20 5.000000E-20
1.235000E+02 5.000000E-20 5.000000E-20
1.251000E+02 5.000000E-20 5.000000E-20
1.267000E+02 5.000000E-20 5.000000E-20
1.283000E+02 5.000000E-20 5.000000E-20
1.299000E+02 5.000000E-20 5.000000E-20
1.315000E+02 3.335002E-19 3.335002E-19
1.331000E+02 5.000000E-20 5.000000E-20
1.347000E+02 5.000000E-20 5.000000E-20
1.363000E+02 9.247999E-18 9.247999E-18
1.379000E+02 3.808284E-18 3.808284E-18
1.395000E+02 5.000000E-20 5.000000E-20
1.411000E+02 5.000000E-20 5.000000E-20
1.427000E+02 5.000000E-20 5.000000E-20
1.443000E+02 3.367091E-18 3.367091E-18
1.459000E+02 7.592394E-20 7.592394E-20
1.475000E+02 5.600000E-19 5.600000E-19
1.491000E+02 2.081667E-18 2.081667E-18
1.507000E+02 5.110000E-18 5.110000E-18
1.523000E+02 9.541053E-18 9.541053E-18
1.539000E+02 1.645921E-17 1.645921E-17
1.555000E+02 3.442606E-17 3.442606E-17
1.571000E+02 3.805006E-17 3.805006E-17
1.587000E+02 1.860000E-17 1.860000E-17
1.603000E+02 6.441667E-18 6.441667E-18
1.619000E+02 2.628571E-18 2.628571E-18
1.635000E+02 1.058182E-18 1.058182E-18
1.651000E+02 4.909091E-19 4.909091E-19
1.667000E+02 2.678261E-19 2.678261E-19
1.683000E+02 1.350000E-19 1.350000E-19
1.699000E+02 5.500000E-20 5.500000E-20
1.715000E+02 5.000000E-20 5.000000E-20
1.731000E+02 6.285714E-20 6.285714E-20
1.747000E+02 9.224490E-20 9.224490E-20
1.763000E+02 1.216327E-19 1.216327E-19
1.779000E+02 2.126923E-19 2.126923E-19
1.795000E+02 4.065385E-19 4.065385E-19
1.811000E+02 6.003846E-19 6.003846E-19
1.827000E+02 8.292593E-19 8.292593E-19
1.843000E+02 1.303333E-18 1.303333E-18
1.859000E+02 1.935000E-18 1.935000E-18
1.875000E+02 2.769286E-18 2.769286E-18
1.891000E+02 3.822759E-18 3.822759E-18
1.907000E+02 4.975862E-18 4.975862E-18
1.923000E+02 6.072000E-18 6.072000E-18
1.939000E+02 7.160000E-18 7.160000E-18
1.955000E+02 7.820645E-18 7.820645E-18
1.971000E+02 8.443750E-18 8.443750E-18
1.987000E+02 8.441250E-18 8.441250E-18
2.003000E+02 7.415000E-18 7.415000E-18
2.019000E+02 5.237895E-18 5.237895E-18
2.035000E+02 3.680000E-18 3.680000E-18
2.051000E+02 2.564706E-18 2.564706E-18
2.067000E+02 1.449412E-18 1.449412E-18
2.083000E+02 9.622581E-19 9.622581E-19
2.099000E+02 5.648387E-19 5.648387E-19
2.115000E+02 4.590000E-19 4.590000E-19
2.131000E+02 3.726000E-19 3.726000E-19
2.147000E+02 2.862000E-19 2.862000E-19
2.163000E+02 1.998000E-19 1.998000E-19
2.179000E+02 1.134000E-19 1.134000E-19
2.195000E+02 2.700000E-20 2.700000E-20
3.125000E+02 9.214484E-23 9.214484E-23
3.141000E+02 2.285223E-17 2.285223E-17
3.157000E+02 3.875179E-18 3.875179E-18
3.173000E+02 4.493251E-25 4.493251E-25
3.259000E+02 1.800000E-21 1.800000E-21
3.275000E+02 5.000000E-21 5.000000E-21
3.291000E+02 8.200000E-21 8.200000E-21
3.307000E+02 1.831250E-20 1.831250E-20
3.323000E+02 3.731250E-20 3.731250E-20
