# Cross sections for CH
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: CH P.I. CF. BARSUHN & NESBET '78
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
9.000000e+01 2.505000e-17 2.500000e-17
9.010000e+01 2.505000e-17 2.500000e-17
9.020000e+01 2.505000e-17 2.500000e-17
9.030000e+01 2.505000e-17 2.500000e-17
9.040000e+01 2.505000e-17 2.500000e-17
9.050000e+01 2.505000e-17 2.500000e-17
9.060000e+01 2.505000e-17 2.500000e-17
9.070000e+01 2.505000e-17 2.500000e-17
9.080000e+01 2.505000e-17 2.500000e-17
9.090000e+01 2.505000e-17 2.500000e-17
9.100000e+01 2.505000e-17 2.500000e-17
9.110000e+01 2.505000e-17 2.500000e-17
9.120000e+01 2.505000e-17 2.500000e-17
9.130000e+01 2.505000e-17 2.500000e-17
9.140000e+01 2.505000e-17 2.500000e-17
9.150000e+01 2.505000e-17 2.500000e-17
9.160000e+01 2.505000e-17 2.500000e-17
9.170000e+01 2.505000e-17 2.500000e-17
9.180000e+01 2.505000e-17 2.500000e-17
9.190000e+01 2.505000e-17 2.500000e-17
9.200000e+01 2.505000e-17 2.500000e-17
9.210000e+01 2.505000e-17 2.500000e-17
9.220000e+01 2.505000e-17 2.500000e-17
9.230000e+01 2.505000e-17 2.500000e-17
9.240000e+01 2.505000e-17 2.500000e-17
9.250000e+01 2.505000e-17 2.500000e-17
9.260000e+01 2.505000e-17 2.500000e-17
9.270000e+01 2.505000e-17 2.500000e-17
9.280000e+01 2.505000e-17 2.500000e-17
9.290000e+01 2.505000e-17 2.500000e-17
9.300000e+01 2.505000e-17 2.500000e-17
9.310000e+01 2.505000e-17 2.500000e-17
9.320000e+01 2.505000e-17 2.500000e-17
9.330000e+01 2.505000e-17 2.500000e-17
9.340000e+01 2.505000e-17 2.500000e-17
9.350000e+01 2.505000e-17 2.500000e-17
9.360000e+01 2.505000e-17 2.500000e-17
9.370000e+01 2.505000e-17 2.500000e-17
9.380000e+01 2.505000e-17 2.500000e-17
9.390000e+01 2.505000e-17 2.500000e-17
9.400000e+01 2.505000e-17 2.500000e-17
9.410000e+01 2.505000e-17 2.500000e-17
9.420000e+01 2.505000e-17 2.500000e-17
9.430000e+01 2.505000e-17 2.500000e-17
9.440000e+01 2.505000e-17 2.500000e-17
9.450000e+01 2.505000e-17 2.500000e-17
9.460000e+01 2.505000e-17 2.500000e-17
9.470000e+01 2.505000e-17 2.500000e-17
9.480000e+01 2.505000e-17 2.500000e-17
9.490000e+01 2.505000e-17 2.500000e-17
9.500000e+01 2.505000e-17 2.500000e-17
9.510000e+01 2.505000e-17 2.500000e-17
9.520000e+01 2.505000e-17 2.500000e-17
9.530000e+01 2.505000e-17 2.500000e-17
9.540000e+01 2.505000e-17 2.500000e-17
9.550000e+01 2.505000e-17 2.500000e-17
9.560000e+01 2.505000e-17 2.500000e-17
9.570000e+01 2.505000e-17 2.500000e-17
9.580000e+01 2.505000e-17 2.500000e-17
9.590000e+01 2.505000e-17 2.500000e-17
9.600000e+01 2.505000e-17 2.500000e-17
9.610000e+01 2.505000e-17 2.500000e-17
9.620000e+01 2.505000e-17 2.500000e-17
9.630000e+01 2.505000e-17 2.500000e-17
9.640000e+01 2.505000e-17 2.500000e-17
9.650000e+01 2.505000e-17 2.500000e-17
9.660000e+01 2.505000e-17 2.500000e-17
9.670000e+01 2.505000e-17 2.500000e-17
9.680000e+01 2.505000e-17 2.500000e-17
9.690000e+01 2.505000e-17 2.500000e-17
9.700000e+01 2.505000e-17 2.500000e-17
9.710000e+01 2.505000e-17 2.500000e-17
9.720000e+01 2.505000e-17 2.500000e-17
9.730000e+01 2.505000e-17 2.500000e-17
9.740000e+01 2.505000e-17 2.500000e-17
9.750000e+01 2.505000e-17 2.500000e-17
9.760000e+01 2.505000e-17 2.500000e-17
9.770000e+01 2.505000e-17 2.500000e-17
9.780000e+01 2.505000e-17 2.500000e-17
9.790000e+01 2.505000e-17 2.500000e-17
9.800000e+01 2.505000e-17 2.500000e-17
9.810000e+01 2.505000e-17 2.500000e-17
9.820000e+01 2.505000e-17 2.500000e-17
9.830000e+01 2.505000e-17 2.500000e-17
9.840000e+01 2.505000e-17 2.500000e-17
9.850000e+01 2.505000e-17 2.500000e-17
9.860000e+01 2.507010e-17 2.500000e-17
9.870000e+01 2.514045e-17 2.500000e-17
9.880000e+01 2.528603e-17 2.500000e-17
9.890000e+01 2.555150e-17 2.500000e-17
9.900000e+01 2.600667e-17 2.500000e-17
9.910000e+01 2.673963e-17 2.500000e-17
9.920000e+01 2.784612e-17 2.500000e-17
9.930000e+01 2.940844e-17 2.500000e-17
9.940000e+01 3.146479e-17 2.500000e-17
9.950000e+01 3.397561e-17 2.500000e-17
9.960000e+01 3.679824e-17 2.500000e-17
9.970000e+01 3.968308e-17 2.500000e-17
9.980000e+01 4.230076e-17 2.500000e-17
9.990000e+01 4.430025e-17 2.500000e-17
1.000000e+02 4.538504e-17 2.500000e-17
1.001000e+02 4.538504e-17 2.500000e-17
1.002000e+02 4.430025e-17 2.500000e-17
1.003000e+02 4.230076e-17 2.500000e-17
1.004000e+02 3.968308e-17 2.500000e-17
1.005000e+02 3.679824e-17 2.500000e-17
1.006000e+02 3.397561e-17 2.500000e-17
1.007000e+02 3.146479e-17 2.500000e-17
1.008000e+02 2.940844e-17 2.500000e-17
1.009000e+02 2.784612e-17 2.500000e-17
1.010000e+02 2.673963e-17 2.500000e-17
1.011000e+02 2.600667e-17 2.500000e-17
1.012000e+02 2.555150e-17 2.500000e-17
1.013000e+02 2.528603e-17 2.500000e-17
1.014000e+02 2.514045e-17 2.500000e-17
1.015000e+02 2.507010e-17 2.500000e-17
1.016000e+02 2.505000e-17 2.500000e-17
1.017000e+02 2.505000e-17 2.500000e-17
1.018000e+02 2.505000e-17 2.500000e-17
1.019000e+02 2.505000e-17 2.500000e-17
1.020000e+02 2.505000e-17 2.500000e-17
1.021000e+02 2.505000e-17 2.500000e-17
1.022000e+02 2.505000e-17 2.500000e-17
1.023000e+02 2.505000e-17 2.500000e-17
1.024000e+02 2.505000e-17 2.500000e-17
1.025000e+02 2.505000e-17 2.500000e-17
1.026000e+02 2.505001e-17 2.500001e-17
1.027000e+02 2.505005e-17 2.500005e-17
1.028000e+02 2.505018e-17 2.500018e-17
1.029000e+02 2.505060e-17 2.500060e-17
1.030000e+02 2.505189e-17 2.500189e-17
1.031000e+02 2.505566e-17 2.500566e-17
1.032000e+02 2.506602e-17 2.501602e-17
