# CN cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: el-qadi2013 10.1088/0004-637X/779/2/97,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
8.726164e+01 4.156788e-17 5.359769e-18
8.736164e+01 4.303513e-17 2.775131e-17
8.746164e+01 4.451609e-17 4.451609e-17
8.756164e+01 4.609607e-17 4.609607e-17
8.766164e+01 4.764292e-17 4.764292e-17
8.776164e+01 4.919179e-17 4.919179e-17
8.786164e+01 5.075986e-17 5.075986e-17
8.796164e+01 5.236108e-17 5.236108e-17
8.806164e+01 5.398976e-17 5.398976e-17
8.816164e+01 5.564118e-17 5.564118e-17
8.826164e+01 5.730311e-17 5.730311e-17
8.836164e+01 5.896940e-17 5.896940e-17
8.846164e+01 6.064025e-17 6.064025e-17
8.856164e+01 6.232438e-17 6.232438e-17
8.866164e+01 6.398227e-17 6.398227e-17
8.876164e+01 6.569838e-17 6.569838e-17
8.886164e+01 6.733214e-17 6.733214e-17
8.896164e+01 6.894930e-17 6.894930e-17
8.906164e+01 7.063637e-17 7.063637e-17
8.916164e+01 7.229400e-17 7.229400e-17
8.926164e+01 7.390647e-17 7.390647e-17
8.936164e+01 7.550495e-17 7.550495e-17
8.946164e+01 7.699861e-17 7.699861e-17
8.956164e+01 7.856906e-17 7.856906e-17
8.966164e+01 8.009334e-17 8.009334e-17
8.976164e+01 8.146235e-17 8.146235e-17
8.986164e+01 8.287879e-17 8.287879e-17
8.996164e+01 8.423052e-17 8.423052e-17
9.006164e+01 8.559009e-17 8.559009e-17
9.016164e+01 8.676071e-17 8.676071e-17
9.026164e+01 8.788620e-17 8.788620e-17
9.036164e+01 8.899828e-17 8.899828e-17
9.046164e+01 9.010615e-17 9.010615e-17
9.056164e+01 9.099968e-17 9.099968e-17
9.066164e+01 9.178300e-17 9.178300e-17
9.076164e+01 9.258924e-17 9.258924e-17
9.086164e+01 9.333787e-17 9.333787e-17
9.096164e+01 9.388226e-17 9.388226e-17
9.106164e+01 9.430698e-17 9.430698e-17
9.116164e+01 9.474639e-17 9.474639e-17
9.126164e+01 9.507920e-17 9.507920e-17
9.136164e+01 9.519508e-17 9.519508e-17
9.146164e+01 9.521398e-17 9.521398e-17
9.156164e+01 9.523447e-17 9.523447e-17
9.166164e+01 9.510368e-17 9.510368e-17
9.176164e+01 9.477308e-17 9.477308e-17
9.186164e+01 9.440157e-17 9.440157e-17
9.196164e+01 9.399068e-17 9.399068e-17
9.206164e+01 9.343686e-17 9.343686e-17
9.216164e+01 9.274704e-17 9.274704e-17
9.226164e+01 9.202842e-17 9.202842e-17
9.236164e+01 9.131025e-17 9.131025e-17
9.246164e+01 9.039133e-17 9.039133e-17
9.256164e+01 8.949095e-17 8.949095e-17
9.266164e+01 8.856429e-17 8.856429e-17
9.276164e+01 8.764501e-17 8.764501e-17
9.286164e+01 8.666877e-17 8.666877e-17
9.296164e+01 8.574695e-17 8.574695e-17
9.306164e+01 8.484287e-17 8.484287e-17
9.316164e+01 8.372184e-17 8.372184e-17
9.326164e+01 8.224932e-17 8.224932e-17
9.336164e+01 8.026688e-17 8.026688e-17
9.346164e+01 7.722515e-17 7.722515e-17
9.356164e+01 7.310303e-17 7.310303e-17
9.366164e+01 6.814628e-17 6.814628e-17
9.376164e+01 6.307338e-17 6.307338e-17
9.386164e+01 5.840897e-17 5.840897e-17
9.396164e+01 5.424021e-17 5.424021e-17
9.406164e+01 5.051101e-17 5.051101e-17
9.416164e+01 4.712364e-17 4.712364e-17
9.426164e+01 4.363033e-17 4.363033e-17
9.436164e+01 3.888295e-17 3.888295e-17
9.446164e+01 3.316077e-17 3.316077e-17
9.456164e+01 2.916002e-17 2.916002e-17
9.466164e+01 2.707090e-17 2.707090e-17
9.476164e+01 2.530886e-17 2.530886e-17
9.486164e+01 2.350770e-17 2.350770e-17
9.496164e+01 2.183290e-17 2.183290e-17
9.506164e+01 2.019428e-17 2.019428e-17
9.516164e+01 1.865105e-17 1.865105e-17
9.526164e+01 1.713058e-17 1.713058e-17
9.536164e+01 1.577379e-17 1.577379e-17
9.546164e+01 1.445125e-17 1.445125e-17
9.556164e+01 1.316405e-17 1.316405e-17
9.566164e+01 1.207106e-17 1.207106e-17
9.576164e+01 1.092979e-17 1.092979e-17
9.586164e+01 9.954623e-18 9.954623e-18
9.596164e+01 9.010430e-18 9.010430e-18
9.606164e+01 8.164082e-18 8.164082e-18
9.616164e+01 7.343239e-18 7.343239e-18
9.626164e+01 6.670698e-18 6.670698e-18
9.636164e+01 5.998339e-18 5.998339e-18
9.646164e+01 5.407574e-18 5.407574e-18
9.656164e+01 4.912391e-18 4.912391e-18
9.666164e+01 4.420012e-18 4.420012e-18
9.676164e+01 4.010660e-18 4.010660e-18
9.686164e+01 3.651016e-18 3.651016e-18
9.696164e+01 3.323208e-18 3.323208e-18
9.706164e+01 3.036241e-18 3.036241e-18
9.716164e+01 2.809388e-18 2.809388e-18
9.726164e+01 2.593083e-18 2.593083e-18
9.736164e+01 2.413679e-18 2.413679e-18
9.746164e+01 2.271558e-18 2.271558e-18
9.756164e+01 2.137870e-18 2.137870e-18
9.766164e+01 2.026987e-18 2.026987e-18
9.776164e+01 1.944473e-18 1.944473e-18
9.786164e+01 1.872726e-18 1.872726e-18
9.796164e+01 1.817555e-18 1.817555e-18
9.806164e+01 1.782426e-18 1.782426e-18
9.816164e+01 1.753166e-18 1.753166e-18
9.826164e+01 1.729312e-18 1.729312e-18
9.836164e+01 1.716899e-18 1.716899e-18
9.846164e+01 1.711136e-18 1.711136e-18
9.856164e+01 1.711694e-18 1.711694e-18
9.866164e+01 1.723037e-18 1.723037e-18
9.876164e+01 1.740825e-18 1.740825e-18
9.886164e+01 1.761016e-18 1.761016e-18
9.896164e+01 1.783283e-18 1.783283e-18
9.906164e+01 1.809659e-18 1.809659e-18
9.916164e+01 1.839756e-18 1.839756e-18
9.926164e+01 1.870498e-18 1.870498e-18
9.936164e+01 1.907811e-18 1.907811e-18
9.946164e+01 1.944524e-18 1.944524e-18
9.956164e+01 1.987800e-18 1.987800e-18
9.966164e+01 2.030557e-18 2.030557e-18
9.976164e+01 2.077794e-18 2.077794e-18
9.986164e+01 2.121804e-18 2.121804e-18
9.996164e+01 2.170759e-18 2.170759e-18
1.000616e+02 2.218194e-18 2.218194e-18
1.001616e+02 2.269531e-18 2.269531e-18
1.002616e+02 2.324117e-18 2.324117e-18
1.003616e+02 2.380511e-18 2.380511e-18
1.004616e+02 2.441082e-18 2.441082e-18
1.005616e+02 2.502062e-18 2.502062e-18
1.006616e+02 2.560827e-18 2.560827e-18
1.007616e+02 2.623310e-18 2.623310e-18
1.008616e+02 2.684921e-18 2.684921e-18
1.009616e+02 2.747331e-18 2.747331e-18
1.010616e+02 2.814491e-18 2.814491e-18
1.011616e+02 2.890219e-18 2.890219e-18
1.012616e+02 2.964037e-18 2.964037e-18
1.013616e+02 3.041014e-18 3.041014e-18
1.014616e+02 3.115737e-18 3.115737e-18
1.015616e+02 3.192038e-18 3.192038e-18
1.016616e+02 3.269205e-18 3.269205e-18
1.017616e+02 3.350611e-18 3.350611e-18
1.018616e+02 3.441366e-18 3.441366e-18
1.019616e+02 3.537278e-18 3.537278e-18
1.020616e+02 3.629206e-18 3.629206e-18
1.021616e+02 3.725009e-18 3.725009e-18
1.022616e+02 3.816641e-18 3.816641e-18
1.023616e+02 3.912210e-18 3.912210e-18
1.024616e+02 4.012166e-18 4.012166e-18
1.025616e+02 4.127687e-18 4.127687e-18
1.026616e+02 4.250224e-18 4.250224e-18
1.027616e+02 4.379246e-18 4.379246e-18
1.028616e+02 4.501739e-18 4.501739e-18
1.029616e+02 4.623065e-18 4.623065e-18
1.030616e+02 4.749444e-18 4.749444e-18
1.031616e+02 4.881233e-18 4.881233e-18
1.032616e+02 5.035918e-18 5.035918e-18
1.033616e+02 5.212363e-18 5.212363e-18
1.034616e+02 5.373412e-18 5.373412e-18
1.035616e+02 5.548317e-18 5.548317e-18
1.036616e+02 5.720525e-18 5.720525e-18
1.037616e+02 5.901525e-18 5.901525e-18
1.038616e+02 6.124755e-18 6.124755e-18
1.039616e+02 6.359868e-18 6.359868e-18
1.040616e+02 6.609492e-18 6.609492e-18
1.041616e+02 6.855876e-18 6.855876e-18
1.042616e+02 7.088176e-18 7.088176e-18
1.043616e+02 7.346456e-18 7.346456e-18
1.044616e+02 7.616476e-18 7.616476e-18
1.045616e+02 7.947910e-18 7.947910e-18
1.046616e+02 8.307797e-18 8.307797e-18
1.047616e+02 8.655007e-18 8.655007e-18
1.048616e+02 9.013110e-18 9.013110e-18
1.049616e+02 9.360680e-18 9.360680e-18
1.050616e+02 9.744616e-18 9.744616e-18
1.051616e+02 1.012377e-17 1.012377e-17
1.052616e+02 1.052036e-17 1.052036e-17
1.053616e+02 1.089962e-17 1.089962e-17
1.054616e+02 1.130606e-17 1.130606e-17
1.055616e+02 1.173530e-17 1.173530e-17
1.056616e+02 1.217523e-17 1.217523e-17
1.057616e+02 1.259234e-17 1.259234e-17
1.058616e+02 1.302828e-17 1.302828e-17
1.059616e+02 1.344117e-17 1.344117e-17
1.060616e+02 1.382795e-17 1.382795e-17
1.061616e+02 1.415435e-17 1.415435e-17
1.062616e+02 1.445537e-17 1.445537e-17
1.063616e+02 1.479024e-17 1.479024e-17
1.064616e+02 1.514558e-17 1.514558e-17
1.065616e+02 1.548004e-17 1.548004e-17
1.066616e+02 1.579294e-17 1.579294e-17
1.067616e+02 1.602323e-17 1.602323e-17
1.068616e+02 1.622875e-17 1.622875e-17
1.069616e+02 1.643411e-17 1.643411e-17
1.070616e+02 1.663682e-17 1.663682e-17
1.071616e+02 1.681669e-17 1.681669e-17
1.072616e+02 1.698109e-17 1.698109e-17
1.073616e+02 1.710307e-17 1.710307e-17
1.074616e+02 1.720580e-17 1.720580e-17
1.075616e+02 1.730153e-17 1.730153e-17
1.076616e+02 1.739689e-17 1.739689e-17
1.077616e+02 1.748267e-17 1.748267e-17
1.078616e+02 1.756752e-17 1.756752e-17
1.079616e+02 1.765660e-17 1.765660e-17
1.080616e+02 1.770757e-17 1.770757e-17
1.081616e+02 1.769879e-17 1.769879e-17
1.082616e+02 1.765477e-17 1.765477e-17
1.083616e+02 1.761311e-17 1.761311e-17
1.084616e+02 1.756726e-17 1.756726e-17
1.085616e+02 1.752683e-17 1.752683e-17
1.086616e+02 1.750360e-17 1.750360e-17
1.087616e+02 1.750494e-17 1.750494e-17
