# CN cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: el-qadi2013 10.1088/0004-637X/779/2/97,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
8.266164e+01 6.268182e-18 6.268182e-18
8.276164e+01 6.515599e-18 6.515599e-18
8.286164e+01 6.757346e-18 6.757346e-18
8.296164e+01 6.998906e-18 6.998906e-18
8.306164e+01 7.243357e-18 7.243357e-18
8.316164e+01 7.527136e-18 7.527136e-18
8.326164e+01 7.844441e-18 7.844441e-18
8.336164e+01 8.178367e-18 8.178367e-18
8.346164e+01 8.503036e-18 8.503036e-18
8.356164e+01 8.834415e-18 8.834415e-18
8.366164e+01 9.166753e-18 9.166753e-18
8.376164e+01 9.570720e-18 9.570720e-18
8.386164e+01 1.001470e-17 1.001470e-17
8.396164e+01 1.046034e-17 1.046034e-17
8.406164e+01 1.091756e-17 1.091756e-17
8.416164e+01 1.135165e-17 1.135165e-17
8.426164e+01 1.184777e-17 1.184777e-17
8.436164e+01 1.239031e-17 1.239031e-17
8.446164e+01 1.300812e-17 1.300812e-17
8.456164e+01 1.359156e-17 1.359156e-17
8.466164e+01 1.419216e-17 1.419216e-17
8.476164e+01 1.478169e-17 1.478169e-17
8.486164e+01 1.546333e-17 1.546333e-17
8.496164e+01 1.620562e-17 1.620562e-17
8.506164e+01 1.698753e-17 1.698753e-17
8.516164e+01 1.774679e-17 1.774679e-17
8.526164e+01 1.850589e-17 1.850589e-17
8.536164e+01 1.931363e-17 1.931363e-17
8.546164e+01 2.021247e-17 2.021247e-17
8.556164e+01 2.115709e-17 2.115709e-17
8.566164e+01 2.210777e-17 2.210777e-17
8.576164e+01 2.306128e-17 2.306128e-17
8.586164e+01 2.401500e-17 2.401500e-17
8.596164e+01 2.508671e-17 2.508671e-17
8.606164e+01 2.618452e-17 2.618452e-17
8.616164e+01 2.728419e-17 2.728419e-17
8.626164e+01 2.842494e-17 2.842494e-17
8.636164e+01 2.956232e-17 2.956232e-17
8.646164e+01 3.077475e-17 3.077475e-17
8.656164e+01 3.208623e-17 3.208623e-17
8.666164e+01 3.332453e-17 3.332453e-17
8.676164e+01 3.464032e-17 3.464032e-17
8.686164e+01 3.590150e-17 3.590150e-17
8.696164e+01 3.732441e-17 3.732441e-17
8.706164e+01 3.872148e-17 3.872148e-17
8.716164e+01 4.016591e-17 4.016591e-17
8.726164e+01 4.156788e-17 3.620811e-17
8.736164e+01 4.303513e-17 1.528381e-17
