# CO2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-09-27
# references: huestis2010 Bulletin of the American Astronomical Society 2010 42:972, archer2013 10.1016/j.jqsrt.2012.11.009, shaw1995 10.1016/0301-0104(95)00159-L,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
3.460000e+01 2.557000e-17 2.557000e-17
3.470000e+01 2.567000e-17 2.567000e-17
3.480000e+01 2.572000e-17 2.572000e-17
3.490000e+01 2.570000e-17 2.570000e-17
3.500000e+01 2.573000e-17 2.573000e-17
3.510000e+01 2.583000e-17 2.583000e-17
3.520000e+01 2.595000e-17 2.595000e-17
3.530000e+01 2.600000e-17 2.600000e-17
3.540000e+01 2.598000e-17 2.598000e-17
3.550000e+01 2.597000e-17 2.597000e-17
3.560000e+01 2.602000e-17 2.602000e-17
3.570000e+01 2.610000e-17 2.610000e-17
3.580000e+01 2.612000e-17 2.612000e-17
3.590000e+01 2.613000e-17 2.613000e-17
3.600000e+01 2.618000e-17 2.618000e-17
3.610000e+01 2.622000e-17 2.622000e-17
3.620000e+01 2.627000e-17 2.627000e-17
3.630000e+01 2.633000e-17 2.633000e-17
3.640000e+01 2.638000e-17 2.638000e-17
3.650000e+01 2.636000e-17 2.636000e-17
3.660000e+01 2.636000e-17 2.636000e-17
3.670000e+01 2.639000e-17 2.639000e-17
3.680000e+01 2.643000e-17 2.643000e-17
3.690000e+01 2.648000e-17 2.648000e-17
3.700000e+01 2.658000e-17 2.658000e-17
3.710000e+01 2.669000e-17 2.669000e-17
3.720000e+01 2.678000e-17 2.678000e-17
3.730000e+01 2.684000e-17 2.684000e-17
3.740000e+01 2.691000e-17 2.691000e-17
3.750000e+01 2.700000e-17 2.700000e-17
3.760000e+01 2.708000e-17 2.708000e-17
3.770000e+01 2.715000e-17 2.715000e-17
3.780000e+01 2.722000e-17 2.722000e-17
3.790000e+01 2.729000e-17 2.729000e-17
3.800000e+01 2.733000e-17 2.733000e-17
3.810000e+01 2.733000e-17 2.733000e-17
3.820000e+01 2.733000e-17 2.733000e-17
3.830000e+01 2.732000e-17 2.732000e-17
3.840000e+01 2.727000e-17 2.727000e-17
3.850000e+01 2.720000e-17 2.720000e-17
3.860000e+01 2.714000e-17 2.714000e-17
3.870000e+01 2.710000e-17 2.710000e-17
3.880000e+01 2.711000e-17 2.711000e-17
3.890000e+01 2.714000e-17 2.714000e-17
3.900000e+01 2.718000e-17 2.718000e-17
3.910000e+01 2.724000e-17 2.724000e-17
3.920000e+01 2.731000e-17 2.731000e-17
3.930000e+01 2.740000e-17 2.740000e-17
3.940000e+01 2.751000e-17 2.751000e-17
3.950000e+01 2.761000e-17 2.761000e-17
3.960000e+01 2.768000e-17 2.768000e-17
3.970000e+01 2.773000e-17 2.773000e-17
3.980000e+01 2.777000e-17 2.777000e-17
3.990000e+01 2.781000e-17 2.781000e-17
4.000000e+01 2.784000e-17 2.784000e-17
4.010000e+01 2.785000e-17 2.785000e-17
4.020000e+01 2.785000e-17 2.785000e-17
4.030000e+01 2.786000e-17 2.786000e-17
4.040000e+01 2.787000e-17 2.787000e-17
4.050000e+01 2.789000e-17 2.789000e-17
4.060000e+01 2.789000e-17 2.789000e-17
4.070000e+01 2.786000e-17 2.786000e-17
4.080000e+01 2.786000e-17 2.786000e-17
4.090000e+01 2.789000e-17 2.789000e-17
4.100000e+01 2.789000e-17 2.789000e-17
4.110000e+01 2.786000e-17 2.786000e-17
4.120000e+01 2.786000e-17 2.786000e-17
4.130000e+01 2.790000e-17 2.790000e-17
4.140000e+01 2.795000e-17 2.795000e-17
4.150000e+01 2.801000e-17 2.801000e-17
4.160000e+01 2.808000e-17 2.808000e-17
4.170000e+01 2.814000e-17 2.814000e-17
4.180000e+01 2.819000e-17 2.819000e-17
4.190000e+01 2.824000e-17 2.824000e-17
4.200000e+01 2.828000e-17 2.828000e-17
4.210000e+01 2.834000e-17 2.834000e-17
4.220000e+01 2.840000e-17 2.840000e-17
4.230000e+01 2.845000e-17 2.845000e-17
4.240000e+01 2.847000e-17 2.847000e-17
4.250000e+01 2.848000e-17 2.848000e-17
4.260000e+01 2.847000e-17 2.847000e-17
4.270000e+01 2.849000e-17 2.849000e-17
4.280000e+01 2.852000e-17 2.852000e-17
4.290000e+01 2.853000e-17 2.853000e-17
4.300000e+01 2.854000e-17 2.854000e-17
4.310000e+01 2.854000e-17 2.854000e-17
4.320000e+01 2.855000e-17 2.855000e-17
4.330000e+01 2.858000e-17 2.858000e-17
4.340000e+01 2.862000e-17 2.862000e-17
4.350000e+01 2.867000e-17 2.867000e-17
4.360000e+01 2.872000e-17 2.872000e-17
4.370000e+01 2.878000e-17 2.878000e-17
4.380000e+01 2.887000e-17 2.887000e-17
4.390000e+01 2.895000e-17 2.895000e-17
4.400000e+01 2.901000e-17 2.901000e-17
4.410000e+01 2.905000e-17 2.905000e-17
4.420000e+01 2.908000e-17 2.908000e-17
4.430000e+01 2.911000e-17 2.911000e-17
4.440000e+01 2.916000e-17 2.916000e-17
4.450000e+01 2.922000e-17 2.922000e-17
4.460000e+01 2.929000e-17 2.929000e-17
4.470000e+01 2.936000e-17 2.936000e-17
4.480000e+01 2.944000e-17 2.944000e-17
4.490000e+01 2.953000e-17 2.953000e-17
4.500000e+01 2.962000e-17 2.962000e-17
4.510000e+01 2.971000e-17 2.971000e-17
4.520000e+01 2.981000e-17 2.981000e-17
4.530000e+01 2.989000e-17 2.989000e-17
4.540000e+01 2.996000e-17 2.996000e-17
4.550000e+01 3.002000e-17 3.002000e-17
4.560000e+01 3.007000e-17 3.007000e-17
4.570000e+01 3.012000e-17 3.012000e-17
4.580000e+01 3.017000e-17 3.017000e-17
4.590000e+01 3.020000e-17 3.020000e-17
4.600000e+01 3.021000e-17 3.021000e-17
4.610000e+01 3.018000e-17 3.018000e-17
4.620000e+01 3.015000e-17 3.015000e-17
4.630000e+01 3.012000e-17 3.012000e-17
4.640000e+01 3.008000e-17 3.008000e-17
4.650000e+01 3.004000e-17 3.004000e-17
4.660000e+01 3.000000e-17 3.000000e-17
4.670000e+01 2.997000e-17 2.997000e-17
4.680000e+01 2.994000e-17 2.994000e-17
4.690000e+01 2.992000e-17 2.992000e-17
4.700000e+01 2.989000e-17 2.989000e-17
4.710000e+01 2.987000e-17 2.987000e-17
4.720000e+01 2.985000e-17 2.985000e-17
4.730000e+01 2.982000e-17 2.982000e-17
4.740000e+01 2.979000e-17 2.979000e-17
4.750000e+01 2.978000e-17 2.978000e-17
4.760000e+01 2.979000e-17 2.979000e-17
4.770000e+01 2.981000e-17 2.981000e-17
4.780000e+01 2.981000e-17 2.981000e-17
4.790000e+01 2.981000e-17 2.981000e-17
4.800000e+01 2.980000e-17 2.980000e-17
4.810000e+01 2.978000e-17 2.978000e-17
4.820000e+01 2.976000e-17 2.976000e-17
4.830000e+01 2.977000e-17 2.977000e-17
4.840000e+01 2.980000e-17 2.980000e-17
4.850000e+01 2.984000e-17 2.984000e-17
4.860000e+01 2.988000e-17 2.988000e-17
4.870000e+01 2.989000e-17 2.989000e-17
4.880000e+01 2.991000e-17 2.991000e-17
4.890000e+01 2.994000e-17 2.994000e-17
4.900000e+01 2.997000e-17 2.997000e-17
4.910000e+01 2.999000e-17 2.999000e-17
4.920000e+01 3.003000e-17 3.003000e-17
4.930000e+01 3.006000e-17 3.006000e-17
4.940000e+01 3.008000e-17 3.008000e-17
4.950000e+01 3.010000e-17 3.010000e-17
4.960000e+01 3.013000e-17 3.013000e-17
4.970000e+01 3.016000e-17 3.016000e-17
4.980000e+01 3.019000e-17 3.019000e-17
4.990000e+01 3.023000e-17 3.023000e-17
5.000000e+01 3.030000e-17 3.030000e-17
5.010000e+01 3.036000e-17 3.036000e-17
5.020000e+01 3.040000e-17 3.040000e-17
5.030000e+01 3.044000e-17 3.044000e-17
5.040000e+01 3.048000e-17 3.048000e-17
5.050000e+01 3.053000e-17 3.053000e-17
5.060000e+01 3.058000e-17 3.058000e-17
5.070000e+01 3.065000e-17 3.065000e-17
5.080000e+01 3.071000e-17 3.071000e-17
5.090000e+01 3.076000e-17 3.076000e-17
5.100000e+01 3.083000e-17 3.083000e-17
5.110000e+01 3.091000e-17 3.091000e-17
5.120000e+01 3.099000e-17 3.099000e-17
5.130000e+01 3.106000e-17 3.106000e-17
5.140000e+01 3.113000e-17 3.113000e-17
5.150000e+01 3.121000e-17 3.121000e-17
5.160000e+01 3.131000e-17 3.131000e-17
5.170000e+01 3.140000e-17 3.140000e-17
5.180000e+01 3.146000e-17 3.146000e-17
5.190000e+01 3.152000e-17 3.152000e-17
5.200000e+01 3.161000e-17 3.161000e-17
5.210000e+01 3.170000e-17 3.170000e-17
5.220000e+01 3.180000e-17 3.180000e-17
5.230000e+01 3.192000e-17 3.192000e-17
5.240000e+01 3.204000e-17 3.204000e-17
5.250000e+01 3.217000e-17 3.217000e-17
5.260000e+01 3.229000e-17 3.229000e-17
5.270000e+01 3.239000e-17 3.239000e-17
5.280000e+01 3.249000e-17 3.249000e-17
5.290000e+01 3.259000e-17 3.259000e-17
5.300000e+01 3.270000e-17 3.270000e-17
5.310000e+01 3.279000e-17 3.279000e-17
5.320000e+01 3.288000e-17 3.288000e-17
5.330000e+01 3.297000e-17 3.297000e-17
5.340000e+01 3.307000e-17 3.307000e-17
5.350000e+01 3.317000e-17 3.317000e-17
5.360000e+01 3.328000e-17 3.328000e-17
5.370000e+01 3.338000e-17 3.338000e-17
5.380000e+01 3.350000e-17 3.350000e-17
5.390000e+01 3.361000e-17 3.361000e-17
5.400000e+01 3.372000e-17 3.372000e-17
5.410000e+01 3.382000e-17 3.382000e-17
5.420000e+01 3.392000e-17 3.392000e-17
5.430000e+01 3.400000e-17 3.400000e-17
5.440000e+01 3.408000e-17 3.408000e-17
5.450000e+01 3.418000e-17 3.418000e-17
5.460000e+01 3.431000e-17 3.431000e-17
5.470000e+01 3.442000e-17 3.442000e-17
5.480000e+01 3.451000e-17 3.451000e-17
5.490000e+01 3.458000e-17 3.458000e-17
5.500000e+01 3.463000e-17 3.463000e-17
5.510000e+01 3.470000e-17 3.470000e-17
5.520000e+01 3.479000e-17 3.479000e-17
5.530000e+01 3.488000e-17 3.488000e-17
5.540000e+01 3.496000e-17 3.496000e-17
5.550000e+01 3.505000e-17 3.505000e-17
5.560000e+01 3.513000e-17 3.513000e-17
5.570000e+01 3.521000e-17 3.521000e-17
5.580000e+01 3.527000e-17 3.527000e-17
5.590000e+01 3.532000e-17 3.532000e-17
5.600000e+01 3.539000e-17 3.539000e-17
5.610000e+01 3.547000e-17 3.547000e-17
5.620000e+01 3.554000e-17 3.554000e-17
5.630000e+01 3.559000e-17 3.559000e-17
5.640000e+01 3.564000e-17 3.564000e-17
5.650000e+01 3.570000e-17 3.570000e-17
5.660000e+01 3.577000e-17 3.577000e-17
5.670000e+01 3.584000e-17 3.584000e-17
5.680000e+01 3.591000e-17 3.591000e-17
5.690000e+01 3.598000e-17 3.598000e-17
5.700000e+01 3.603000e-17 3.603000e-17
5.710000e+01 3.609000e-17 3.609000e-17
5.720000e+01 3.617000e-17 3.617000e-17
5.730000e+01 3.625000e-17 3.625000e-17
5.740000e+01 3.630000e-17 3.630000e-17
5.750000e+01 3.633000e-17 3.633000e-17
5.760000e+01 3.636000e-17 3.636000e-17
5.770000e+01 3.638000e-17 3.638000e-17
5.780000e+01 3.640000e-17 3.640000e-17
5.790000e+01 3.643000e-17 3.643000e-17
5.800000e+01 3.645000e-17 3.645000e-17
5.810000e+01 3.649000e-17 3.649000e-17
5.820000e+01 3.652000e-17 3.652000e-17
5.830000e+01 3.655000e-17 3.655000e-17
5.840000e+01 3.659000e-17 3.659000e-17
5.850000e+01 3.662000e-17 3.662000e-17
5.860000e+01 3.663000e-17 3.663000e-17
5.870000e+01 3.662000e-17 3.662000e-17
5.880000e+01 3.660000e-17 3.660000e-17
5.890000e+01 3.658000e-17 3.658000e-17
5.900000e+01 3.658000e-17 3.658000e-17
5.910000e+01 3.659000e-17 3.659000e-17
5.920000e+01 3.660000e-17 3.660000e-17
5.930000e+01 3.663000e-17 3.663000e-17
5.940000e+01 3.666000e-17 3.666000e-17
5.950000e+01 3.665000e-17 3.665000e-17
5.960000e+01 3.662000e-17 3.662000e-17
5.970000e+01 3.660000e-17 3.660000e-17
5.980000e+01 3.658000e-17 3.658000e-17
5.990000e+01 3.657000e-17 3.657000e-17
6.000000e+01 3.656000e-17 3.656000e-17
6.010000e+01 3.655000e-17 3.655000e-17
