# CS cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: stark1987 10.1016/0022-2852(87)90151-2, bruna1975 10.1016/0301-0104(75)80120-0, norwood1991 10.1016/0009-2614(91)87179-F,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.119000e+02 1.772618e-27 6.835306e-29
1.120000e+02 1.367061e-28 1.367061e-28
1.121000e+02 7.054914e-29 7.054914e-29
1.122000e+02 4.392170e-30 4.392170e-30
1.123000e+02 2.252606e-30 2.252606e-30
1.124000e+02 1.130422e-31 1.130422e-31
1.125000e+02 5.768644e-32 5.768644e-32
1.126000e+02 2.330627e-33 2.330627e-33
1.127000e+02 1.184560e-33 1.184560e-33
1.128000e+02 3.849242e-35 3.849242e-35
1.129000e+02 1.950085e-35 1.950085e-35
1.130000e+02 5.092700e-37 5.092700e-37
1.131000e+02 2.573337e-37 2.573337e-37
1.132000e+02 5.397483e-39 5.397483e-39
1.133000e+02 2.721654e-39 2.721654e-39
1.134000e+02 4.582526e-41 4.582526e-41
1.135000e+02 2.306846e-41 2.306846e-41
1.136000e+02 3.116657e-43 3.116657e-43
1.137000e+02 1.566819e-43 1.566819e-43
1.138000e+02 1.698119e-45 1.698119e-45
1.139000e+02 8.666605e-46 8.666605e-46
1.140000e+02 3.520155e-47 3.520155e-47
1.141000e+02 3.201406e-45 3.201406e-45
1.142000e+02 6.367610e-45 6.367610e-45
1.143000e+02 5.875570e-43 5.875570e-43
1.144000e+02 1.168746e-42 1.168746e-42
1.145000e+02 8.650674e-41 8.650674e-41
1.146000e+02 1.718447e-40 1.718447e-40
1.147000e+02 1.020621e-38 1.020621e-38
1.148000e+02 2.024057e-38 2.024057e-38
1.149000e+02 9.650018e-37 9.650018e-37
1.150000e+02 1.909763e-36 1.909763e-36
1.151000e+02 7.312823e-35 7.312823e-35
1.152000e+02 1.443467e-34 1.443467e-34
1.153000e+02 4.442106e-33 4.442106e-33
1.154000e+02 8.739865e-33 8.739865e-33
1.155000e+02 2.163247e-31 2.163247e-31
1.156000e+02 4.239096e-31 4.239096e-31
1.157000e+02 8.447319e-30 8.447319e-30
1.158000e+02 1.647073e-29 1.647073e-29
1.159000e+02 2.645620e-28 2.645620e-28
1.160000e+02 5.126534e-28 5.126534e-28
1.161000e+02 6.647452e-27 6.647452e-27
1.162000e+02 1.278225e-26 1.278225e-26
1.163000e+02 1.340454e-25 1.340454e-25
1.164000e+02 2.553086e-25 2.553086e-25
1.165000e+02 2.170200e-24 2.170200e-24
1.166000e+02 4.085092e-24 4.085092e-24
1.167000e+02 2.822403e-23 2.822403e-23
1.168000e+02 5.236297e-23 5.236297e-23
1.169000e+02 2.950360e-22 2.950360e-22
1.170000e+02 5.377091e-22 5.377091e-22
1.171000e+02 2.480777e-21 2.480777e-21
1.172000e+02 4.423846e-21 4.423846e-21
1.173000e+02 1.679361e-20 1.679361e-20
1.174000e+02 2.916338e-20 2.916338e-20
1.175000e+02 9.162591e-20 9.162591e-20
1.176000e+02 1.540884e-19 1.540884e-19
1.177000e+02 4.034659e-19 4.034659e-19
1.178000e+02 6.528434e-19 6.528434e-19
1.179000e+02 1.436462e-18 1.436462e-18
1.180000e+02 2.220081e-18 2.220081e-18
1.181000e+02 4.145508e-18 4.145508e-18
1.182000e+02 6.070935e-18 6.070935e-18
1.183000e+02 9.734307e-18 9.734307e-18
1.184000e+02 1.339768e-17 1.339768e-17
1.185000e+02 1.871161e-17 1.871161e-17
1.186000e+02 2.402553e-17 2.402553e-17
1.187000e+02 2.974213e-17 2.974213e-17
1.188000e+02 3.545872e-17 3.545872e-17
1.189000e+02 3.974993e-17 3.974993e-17
1.190000e+02 4.404115e-17 4.404115e-17
1.191000e+02 4.585073e-17 4.585073e-17
1.192000e+02 4.766031e-17 4.766031e-17
