# CS cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: stark1987 10.1016/0022-2852(87)90151-2, bruna1975 10.1016/0301-0104(75)80120-0, norwood1991 10.1016/0009-2614(91)87179-F,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
9.670000e+01 2.252606e-30 2.252606e-30
9.680000e+01 4.392170e-30 4.392170e-30
9.690000e+01 7.054914e-29 7.054914e-29
9.700000e+01 1.367061e-28 1.367061e-28
9.710000e+01 1.772618e-27 1.772618e-27
9.720000e+01 3.408530e-27 3.408530e-27
9.730000e+01 3.574404e-26 3.574404e-26
9.740000e+01 6.807955e-26 6.807955e-26
9.750000e+01 5.786762e-25 5.786762e-25
9.760000e+01 1.089273e-24 1.089273e-24
9.770000e+01 7.525306e-24 7.525306e-24
9.780000e+01 1.396134e-23 1.396134e-23
9.790000e+01 7.865405e-23 7.865405e-23
9.800000e+01 1.433468e-22 1.433468e-22
9.810000e+01 6.611805e-22 6.611805e-22
9.820000e+01 1.179014e-21 1.179014e-21
9.830000e+01 4.473609e-21 4.473609e-21
9.840000e+01 7.768204e-21 7.768204e-21
9.850000e+01 2.438452e-20 2.438452e-20
9.860000e+01 4.100083e-20 4.100083e-20
9.870000e+01 1.071776e-19 1.071776e-19
9.880000e+01 1.733545e-19 1.733545e-19
9.890000e+01 3.802514e-19 3.802514e-19
9.900000e+01 5.871483e-19 5.871483e-19
9.910000e+01 1.090102e-18 1.090102e-18
9.920000e+01 1.593056e-18 1.593056e-18
9.930000e+01 2.527757e-18 2.527757e-18
9.940000e+01 3.462459e-18 3.462459e-18
9.950000e+01 4.745475e-18 4.745475e-18
9.960000e+01 6.028491e-18 6.028491e-18
9.970000e+01 7.218345e-18 7.218345e-18
9.980000e+01 8.408199e-18 8.408199e-18
9.990000e+01 8.901286e-18 8.901286e-18
1.000000e+02 9.394373e-18 9.394373e-18
1.001000e+02 8.901286e-18 8.901286e-18
1.002000e+02 8.408199e-18 8.408199e-18
1.003000e+02 7.218345e-18 7.218345e-18
1.004000e+02 6.028491e-18 6.028491e-18
1.005000e+02 4.745475e-18 4.745475e-18
1.006000e+02 3.462459e-18 3.462459e-18
1.007000e+02 2.527757e-18 2.527757e-18
1.008000e+02 1.593056e-18 1.593056e-18
1.009000e+02 1.090102e-18 1.090102e-18
1.010000e+02 5.871483e-19 5.871483e-19
1.011000e+02 3.802514e-19 3.802514e-19
1.012000e+02 1.733545e-19 1.733545e-19
1.013000e+02 1.071776e-19 1.071776e-19
1.014000e+02 4.100083e-20 4.100083e-20
1.015000e+02 2.438452e-20 2.438452e-20
1.016000e+02 7.768204e-21 7.768204e-21
1.017000e+02 4.473609e-21 4.473609e-21
1.018000e+02 1.179014e-21 1.179014e-21
1.019000e+02 6.611805e-22 6.611805e-22
1.020000e+02 1.433468e-22 1.433468e-22
1.021000e+02 7.865405e-23 7.865405e-23
1.022000e+02 1.396134e-23 1.396134e-23
