# C cross sections. - reduced to   109points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: Opacity project TOPBASE, cunto1992, NIST for linelist for excitations,                                                                                                                                                                                                                                                                                                                                                                                                                                
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
# photoionisation -- Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1.811300E+00 1.184736E-19 1.184736E-19
2.811300E+00 3.730732E-19 3.730732E-19
3.811300E+00 7.840413E-19 7.840413E-19
4.811300E+00 6.401582E-20 6.401582E-20
5.811300E+00 9.845982E-20 9.845982E-20
6.811300E+00 1.403957E-19 1.403957E-19
7.811300E+00 1.904733E-19 1.904733E-19
8.811300E+00 2.475022E-19 2.475022E-19
9.811300E+00 3.091474E-19 3.091474E-19
1.081130E+01 3.798379E-19 3.798379E-19
1.181130E+01 4.575095E-19 4.575095E-19
1.281130E+01 5.351812E-19 5.351812E-19
1.381130E+01 6.189613E-19 6.189613E-19
1.481130E+01 7.226265E-19 7.226265E-19
1.581130E+01 8.262916E-19 8.262916E-19
1.681130E+01 9.299568E-19 9.299568E-19
1.781130E+01 1.033622E-18 1.033622E-18
1.881130E+01 1.137287E-18 1.137287E-18
1.981130E+01 1.240952E-18 1.240952E-18
2.081130E+01 1.394008E-18 1.394008E-18
2.181130E+01 1.568181E-18 1.568181E-18
2.281130E+01 1.742354E-18 1.742354E-18
2.381130E+01 1.916527E-18 1.916527E-18
2.481130E+01 2.090700E-18 2.090700E-18
2.581130E+01 2.264873E-18 2.264873E-18
2.681130E+01 2.439046E-18 2.439046E-18
2.781130E+01 2.613219E-18 2.613219E-18
2.881130E+01 2.787391E-18 2.787391E-18
2.981130E+01 2.961564E-18 2.961564E-18
3.081130E+01 3.135737E-18 3.135737E-18
3.181130E+01 3.309910E-18 3.309910E-18
3.281130E+01 3.484083E-18 3.484083E-18
3.381130E+01 3.658256E-18 3.658256E-18
3.481130E+01 3.832429E-18 3.832429E-18
3.581130E+01 4.006602E-18 4.006602E-18
3.681130E+01 4.180775E-18 4.180775E-18
3.781130E+01 4.631206E-18 4.631206E-18
3.881130E+01 4.982552E-18 4.982552E-18
3.981130E+01 5.162495E-18 5.162495E-18
4.081130E+01 5.429215E-18 5.429215E-18
4.181130E+01 5.597587E-18 5.597587E-18
4.281130E+01 5.866697E-18 5.866697E-18
4.381130E+01 5.985126E-18 5.985126E-18
4.481130E+01 6.160742E-18 6.160742E-18
4.581130E+01 6.148287E-18 6.148287E-18
4.681130E+01 6.525372E-18 6.525372E-18
4.781130E+01 7.295628E-18 7.295628E-18
4.881130E+01 7.280237E-18 7.280237E-18
4.981130E+01 7.399641E-18 7.399641E-18
5.081130E+01 7.641279E-18 7.641279E-18
5.181130E+01 7.748596E-18 7.748596E-18
5.281130E+01 8.063893E-18 8.063893E-18
5.381130E+01 8.317313E-18 8.317313E-18
5.481130E+01 9.671512E-18 9.671512E-18
5.581130E+01 8.529466E-18 8.529466E-18
5.681130E+01 8.743755E-18 8.743755E-18
5.781130E+01 8.958044E-18 8.958044E-18
5.881130E+01 9.172333E-18 9.172333E-18
5.981130E+01 1.188514E-17 1.188514E-17
6.081130E+01 9.782782E-18 9.782782E-18
6.181130E+01 1.000200E-17 1.000200E-17
6.281130E+01 1.026370E-17 1.026370E-17
6.381130E+01 1.041675E-17 1.041675E-17
6.481130E+01 1.060855E-17 1.060855E-17
6.581130E+01 1.080034E-17 1.080034E-17
