# Fe photoionisation cross section - reduced to   107points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: reed2009 http://stacks.iop.org/0004-637X/693/i=1/a=940, hansen1977 http://stacks.iop.org/0022-3700/10/i=1/a=011, bautista1995, tondello1975, lombardi1978 10.1103/PhysRevA.18.2131, verner1996 10.1086/177435,                                                                                                                                                                                                                                                                                        
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# photoionisation: Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2.001342E+01 7.048746E-18 7.048746E-18
2.131342E+01 6.828191E-18 6.828191E-18
2.261342E+01 6.625562E-18 6.625562E-18
2.391342E+01 6.440047E-18 6.440047E-18
2.521342E+01 6.263810E-18 6.263810E-18
2.651342E+01 6.101483E-18 6.101483E-18
2.781342E+01 5.951121E-18 5.951121E-18
2.911342E+01 5.806634E-18 5.806634E-18
3.041342E+01 5.669805E-18 5.669805E-18
3.171342E+01 5.541887E-18 5.541887E-18
3.301342E+01 5.419593E-18 5.419593E-18
3.431342E+01 5.303810E-18 5.303810E-18
3.561342E+01 5.193510E-18 5.193510E-18
3.691342E+01 5.088231E-18 5.088231E-18
3.821342E+01 4.987562E-18 4.987562E-18
3.951342E+01 4.891131E-18 4.891131E-18
4.081342E+01 4.798617E-18 4.798617E-18
4.211342E+01 4.709729E-18 4.709729E-18
4.341342E+01 4.624203E-18 4.624203E-18
4.471342E+01 4.541803E-18 4.541803E-18
4.601342E+01 4.462320E-18 4.462320E-18
4.731342E+01 4.385553E-18 4.385553E-18
4.861342E+01 4.311336E-18 4.311336E-18
4.991342E+01 4.239513E-18 4.239513E-18
5.121342E+01 4.169920E-18 4.169920E-18
5.251342E+01 4.102440E-18 4.102440E-18
5.381342E+01 4.036950E-18 4.036950E-18
5.511342E+01 3.973323E-18 3.973323E-18
5.641342E+01 3.911475E-18 3.911475E-18
5.771342E+01 3.851297E-18 3.851297E-18
5.901342E+01 3.792704E-18 3.792704E-18
6.031342E+01 3.735624E-18 3.735624E-18
6.161342E+01 3.679966E-18 3.679966E-18
6.291342E+01 3.625666E-18 3.625666E-18
6.421342E+01 3.572666E-18 3.572666E-18
6.551342E+01 3.520905E-18 3.520905E-18
6.681342E+01 3.470322E-18 3.470322E-18
6.811342E+01 3.420852E-18 3.420852E-18
6.941342E+01 3.372482E-18 3.372482E-18
7.071342E+01 3.325133E-18 3.325133E-18
7.201342E+01 3.278773E-18 3.278773E-18
7.331342E+01 3.233368E-18 3.233368E-18
7.461342E+01 3.188883E-18 3.188883E-18
7.591342E+01 3.145283E-18 3.145283E-18
7.721342E+01 3.102533E-18 3.102533E-18
