# Fe photoionisation cross section - reduced to    53points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: reed2009 http://stacks.iop.org/0004-637X/693/i=1/a=940, hansen1977 http://stacks.iop.org/0022-3700/10/i=1/a=011, bautista1995, tondello1975, lombardi1978 10.1103/PhysRevA.18.2131, verner1996 10.1086/177435,                                                                                                                                                                                                                                                                                        
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# photoionisation: Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2.131342E+01 6.828191E-18 6.828191E-18
2.391342E+01 6.440047E-18 6.440047E-18
2.651342E+01 6.101483E-18 6.101483E-18
2.911342E+01 5.806634E-18 5.806634E-18
3.171342E+01 5.541887E-18 5.541887E-18
3.431342E+01 5.303810E-18 5.303810E-18
3.691342E+01 5.088231E-18 5.088231E-18
3.951342E+01 4.891131E-18 4.891131E-18
4.211342E+01 4.709729E-18 4.709729E-18
4.471342E+01 4.541803E-18 4.541803E-18
4.731342E+01 4.385553E-18 4.385553E-18
4.991342E+01 4.239513E-18 4.239513E-18
5.251342E+01 4.102440E-18 4.102440E-18
5.511342E+01 3.973323E-18 3.973323E-18
5.771342E+01 3.851297E-18 3.851297E-18
6.031342E+01 3.735624E-18 3.735624E-18
6.291342E+01 3.625666E-18 3.625666E-18
6.551342E+01 3.520905E-18 3.520905E-18
6.811342E+01 3.420852E-18 3.420852E-18
7.071342E+01 3.325133E-18 3.325133E-18
7.331342E+01 3.233368E-18 3.233368E-18
7.591342E+01 3.145283E-18 3.145283E-18
7.851342E+01 3.060593E-18 3.060593E-18
8.111342E+01 2.316634E-18 2.316634E-18
8.371342E+01 2.168640E-18 2.168640E-18
8.631342E+01 2.103960E-18 2.103960E-18
8.891342E+01 2.046096E-18 2.046096E-18
9.151342E+01 3.053264E-18 3.053264E-18
9.411342E+01 2.761356E-18 2.761356E-18
9.671342E+01 3.510200E-18 3.510200E-18
9.931342E+01 1.810197E-18 1.810197E-18
1.019134E+02 1.744108E-18 1.744108E-18
1.045134E+02 1.530351E-18 1.530351E-18
1.071134E+02 2.257706E-18 2.257706E-18
1.097134E+02 3.409046E-18 3.409046E-18
1.123134E+02 2.337479E-18 2.337479E-18
1.149134E+02 2.795976E-18 2.795976E-18
1.175134E+02 1.961914E-18 1.961914E-18
1.201134E+02 2.579911E-18 2.579911E-18
1.227134E+02 2.777320E-18 2.777320E-18
1.253134E+02 3.410097E-18 3.410097E-18
1.279134E+02 8.578116E-18 8.578116E-18
1.305134E+02 3.713275E-18 3.713275E-18
1.331134E+02 9.486902E-18 9.486902E-18
1.357134E+02 3.710332E-18 3.710332E-18
1.383134E+02 1.098290E-17 1.098290E-17
1.409134E+02 2.498458E-18 2.498458E-18
1.435134E+02 4.341062E-19 4.341062E-19
1.461134E+02 5.487298E-19 5.487298E-19
1.487134E+02 6.090369E-19 6.090369E-19
1.513134E+02 7.714928E-19 7.714928E-19
1.539134E+02 8.067281E-18 8.067281E-18
1.565134E+02 2.723497E-18 2.723497E-18
