# Cross sections for H-
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: H- PHOTODETACHMENT THEORY
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
9.120000e+01 3.145000e-18 3.145000e-18
9.130000e+01 3.150080e-18 3.150080e-18
9.140000e+01 3.155159e-18 3.155159e-18
9.150000e+01 3.160239e-18 3.160239e-18
9.160000e+01 3.165318e-18 3.165318e-18
9.170000e+01 3.170398e-18 3.170398e-18
9.180000e+01 3.175477e-18 3.175477e-18
9.190000e+01 3.180557e-18 3.180557e-18
9.200000e+01 3.185636e-18 3.185636e-18
9.210000e+01 3.190716e-18 3.190716e-18
9.220000e+01 3.195795e-18 3.195795e-18
9.230000e+01 3.200875e-18 3.200875e-18
9.240000e+01 3.205955e-18 3.205955e-18
9.250000e+01 3.211034e-18 3.211034e-18
9.260000e+01 3.216114e-18 3.216114e-18
9.270000e+01 3.221193e-18 3.221193e-18
9.280000e+01 3.226273e-18 3.226273e-18
9.290000e+01 3.231352e-18 3.231352e-18
9.300000e+01 3.236432e-18 3.236432e-18
9.310000e+01 3.241511e-18 3.241511e-18
9.320000e+01 3.246591e-18 3.246591e-18
9.330000e+01 3.251670e-18 3.251670e-18
9.340000e+01 3.256750e-18 3.256750e-18
9.350000e+01 3.261830e-18 3.261830e-18
9.360000e+01 3.266909e-18 3.266909e-18
9.370000e+01 3.271989e-18 3.271989e-18
9.380000e+01 3.277068e-18 3.277068e-18
9.390000e+01 3.282148e-18 3.282148e-18
9.400000e+01 3.287227e-18 3.287227e-18
9.410000e+01 3.292307e-18 3.292307e-18
9.420000e+01 3.297386e-18 3.297386e-18
9.430000e+01 3.302466e-18 3.302466e-18
9.440000e+01 3.307545e-18 3.307545e-18
9.450000e+01 3.312625e-18 3.312625e-18
9.460000e+01 3.317705e-18 3.317705e-18
9.470000e+01 3.322784e-18 3.322784e-18
9.480000e+01 3.327864e-18 3.327864e-18
9.490000e+01 3.332943e-18 3.332943e-18
9.500000e+01 3.338023e-18 3.338023e-18
9.510000e+01 3.343102e-18 3.343102e-18
9.520000e+01 3.348182e-18 3.348182e-18
9.530000e+01 3.353261e-18 3.353261e-18
9.540000e+01 3.358341e-18 3.358341e-18
9.550000e+01 3.363420e-18 3.363420e-18
9.560000e+01 3.368500e-18 3.368500e-18
9.570000e+01 3.373580e-18 3.373580e-18
9.580000e+01 3.378659e-18 3.378659e-18
9.590000e+01 3.383739e-18 3.383739e-18
9.600000e+01 3.388818e-18 3.388818e-18
9.610000e+01 3.393898e-18 3.393898e-18
9.620000e+01 3.398977e-18 3.398977e-18
9.630000e+01 3.404057e-18 3.404057e-18
9.640000e+01 3.409136e-18 3.409136e-18
9.650000e+01 3.414216e-18 3.414216e-18
9.660000e+01 3.419295e-18 3.419295e-18
9.670000e+01 3.424375e-18 3.424375e-18
9.680000e+01 3.429455e-18 3.429455e-18
