# Cross sections for H- - reduced to   100points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Photoionisation source: H- PHOTODETACHMENT THEORY                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# Lines represented with lorentzian of width 0.0005 nm FWHM                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# photoionisation:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1.066000E+02 3.939820E-18 3.939820E-18
1.221000E+02 4.783020E-18 4.783020E-18
1.376000E+02 5.666280E-18 5.666280E-18
1.531000E+02 6.584550E-18 6.584550E-18
1.686000E+02 7.531760E-18 7.531760E-18
1.841000E+02 8.507605E-18 8.507605E-18
1.996000E+02 9.500380E-18 9.500380E-18
2.151000E+02 1.051958E-17 1.051958E-17
2.306000E+02 1.154050E-17 1.154050E-17
2.461000E+02 1.258675E-17 1.258675E-17
2.616000E+02 1.363300E-17 1.363300E-17
2.771000E+02 1.468457E-17 1.468457E-17
2.926000E+02 1.574245E-17 1.574245E-17
3.081000E+02 1.680032E-17 1.680032E-17
3.236000E+02 1.785480E-17 1.785480E-17
3.391000E+02 1.890880E-17 1.890880E-17
3.546000E+02 1.995705E-17 1.995705E-17
3.701000E+02 2.099167E-17 2.099167E-17
3.856000E+02 2.202630E-17 2.202630E-17
4.011000E+02 2.303317E-17 2.303317E-17
4.166000E+02 2.402905E-17 2.402905E-17
4.321000E+02 2.501967E-17 2.501967E-17
4.476000E+02 2.597680E-17 2.597680E-17
4.631000E+02 2.693392E-17 2.693392E-17
4.786000E+02 2.785665E-17 2.785665E-17
4.941000E+02 2.875177E-17 2.875177E-17
5.096000E+02 2.964690E-17 2.964690E-17
5.251000E+02 3.047407E-17 3.047407E-17
5.406000E+02 3.129945E-17 3.129945E-17
5.561000E+02 3.209585E-17 3.209585E-17
5.716000E+02 3.284760E-17 3.284760E-17
5.871000E+02 3.359935E-17 3.359935E-17
6.026000E+02 3.423927E-17 3.423927E-17
6.181000E+02 3.485346E-17 3.485346E-17
6.336000E+02 3.546765E-17 3.546765E-17
6.491000E+02 3.608184E-17 3.608184E-17
6.646000E+02 3.669602E-17 3.669602E-17
6.801000E+02 3.718017E-17 3.718017E-17
6.956000E+02 3.759480E-17 3.759480E-17
7.111000E+02 3.800942E-17 3.800942E-17
7.266000E+02 3.842405E-17 3.842405E-17
7.421000E+02 3.883867E-17 3.883867E-17
7.576000E+02 3.914310E-17 3.914310E-17
7.731000E+02 3.933297E-17 3.933297E-17
7.886000E+02 3.952285E-17 3.952285E-17
8.041000E+02 3.971272E-17 3.971272E-17
8.196000E+02 3.990260E-17 3.990260E-17
8.351000E+02 4.001534E-17 4.001534E-17
8.506000E+02 3.997078E-17 3.997078E-17
8.661000E+02 3.992621E-17 3.992621E-17
8.816000E+02 3.988165E-17 3.988165E-17
8.971000E+02 3.983709E-17 3.983709E-17
9.126000E+02 3.975190E-17 3.975190E-17
9.281000E+02 3.946515E-17 3.946515E-17
9.436000E+02 3.917840E-17 3.917840E-17
9.591000E+02 3.889165E-17 3.889165E-17
9.746000E+02 3.860490E-17 3.860490E-17
9.901000E+02 3.831703E-17 3.831703E-17
1.005600E+03 3.785590E-17 3.785590E-17
1.021100E+03 3.739478E-17 3.739478E-17
1.036600E+03 3.688580E-17 3.688580E-17
1.052100E+03 3.631230E-17 3.631230E-17
1.067600E+03 3.573880E-17 3.573880E-17
1.083100E+03 3.507033E-17 3.507033E-17
1.098600E+03 3.438445E-17 3.438445E-17
1.114100E+03 3.367193E-17 3.367193E-17
1.129600E+03 3.288530E-17 3.288530E-17
1.145100E+03 3.209868E-17 3.209868E-17
1.160600E+03 3.123343E-17 3.123343E-17
1.176100E+03 3.033185E-17 3.033185E-17
1.191600E+03 2.943027E-17 2.943027E-17
1.207100E+03 2.852868E-17 2.852868E-17
1.222600E+03 2.754100E-17 2.754100E-17
1.238100E+03 2.653350E-17 2.653350E-17
1.253600E+03 2.551160E-17 2.551160E-17
1.269100E+03 2.444210E-17 2.444210E-17
1.284600E+03 2.337260E-17 2.337260E-17
1.300100E+03 2.226523E-17 2.226523E-17
1.315600E+03 2.113760E-17 2.113760E-17
1.331100E+03 2.000750E-17 2.000750E-17
1.346600E+03 1.884500E-17 1.884500E-17
1.362100E+03 1.768250E-17 1.768250E-17
1.377600E+03 1.651240E-17 1.651240E-17
1.393100E+03 1.533285E-17 1.533285E-17
1.408600E+03 1.414710E-17 1.414710E-17
1.424100E+03 1.296840E-17 1.296840E-17
1.439600E+03 1.179040E-17 1.179040E-17
1.455100E+03 1.062750E-17 1.062750E-17
1.470600E+03 9.478250E-18 9.478250E-18
1.486100E+03 8.346715E-18 8.346715E-18
1.501600E+03 7.237040E-18 7.237040E-18
1.517100E+03 6.162115E-18 6.162115E-18
1.532600E+03 5.128770E-18 5.128770E-18
1.548100E+03 4.139420E-18 4.139420E-18
1.563600E+03 3.200960E-18 3.200960E-18
1.579100E+03 2.326760E-18 2.326760E-18
1.594600E+03 1.555490E-18 1.555490E-18
1.610100E+03 8.879795E-19 8.879795E-19
1.625600E+03 3.598336E-19 3.598336E-19
1.641100E+03 5.634000E-21 5.634000E-21
