# H2CO cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: mentall1971 10.1063/1.1675711, suto1986 10.1063/1.451793, cooper1996 10.1016/0301-0104(96)00079-1, meller2000 10.1029/1999JD901074, dodson2015 10.1021/jp508942a,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
6.222544e+00 4.719250e-19 4.719250e-19
6.322544e+00 4.976825e-19 4.976825e-19
6.422544e+00 5.123189e-19 5.123189e-19
6.522544e+00 5.268000e-19 5.268000e-19
6.622544e+00 5.342738e-19 5.342738e-19
6.722544e+00 5.532184e-19 5.532184e-19
6.822544e+00 5.709436e-19 5.709436e-19
6.922544e+00 5.819186e-19 5.819186e-19
7.022544e+00 5.964538e-19 5.964538e-19
7.122544e+00 6.229114e-19 6.229114e-19
7.222544e+00 6.452390e-19 6.452390e-19
7.322544e+00 6.550156e-19 6.550156e-19
7.422544e+00 6.698250e-19 6.698250e-19
7.522544e+00 6.961338e-19 6.961338e-19
7.622544e+00 7.133750e-19 7.133750e-19
7.722544e+00 7.286511e-19 7.286511e-19
7.822544e+00 7.572750e-19 7.572750e-19
7.922544e+00 7.737061e-19 7.737061e-19
8.022544e+00 8.088505e-19 8.088505e-19
8.122544e+00 8.264306e-19 8.264306e-19
8.222544e+00 8.391440e-19 8.391440e-19
8.322544e+00 8.620401e-19 8.620401e-19
8.422544e+00 9.004356e-19 9.004356e-19
8.522544e+00 9.193682e-19 9.193682e-19
8.622544e+00 9.378553e-19 9.378553e-19
8.722544e+00 9.680128e-19 9.680128e-19
8.822544e+00 9.955679e-19 9.955679e-19
8.922544e+00 1.014479e-18 1.014479e-18
9.022544e+00 1.039856e-18 1.039856e-18
9.122544e+00 1.071903e-18 1.071903e-18
9.222544e+00 1.090952e-18 1.090952e-18
9.322544e+00 1.104433e-18 1.104433e-18
9.422544e+00 1.143136e-18 1.143136e-18
9.522544e+00 1.169523e-18 1.169523e-18
9.622544e+00 1.198384e-18 1.198384e-18
9.722544e+00 1.242061e-18 1.242061e-18
9.822544e+00 1.262322e-18 1.262322e-18
9.922544e+00 1.282777e-18 1.282777e-18
1.002254e+01 1.323772e-18 1.323772e-18
1.012254e+01 1.351446e-18 1.351446e-18
1.022254e+01 1.371288e-18 1.371288e-18
1.032254e+01 1.409137e-18 1.409137e-18
1.042254e+01 1.444049e-18 1.444049e-18
1.052254e+01 1.468802e-18 1.468802e-18
1.062254e+01 1.501804e-18 1.501804e-18
1.072254e+01 1.543670e-18 1.543670e-18
1.082254e+01 1.577137e-18 1.577137e-18
1.092254e+01 1.606021e-18 1.606021e-18
1.102254e+01 1.646655e-18 1.646655e-18
1.112254e+01 1.691265e-18 1.691265e-18
1.122254e+01 1.726267e-18 1.726267e-18
1.132254e+01 1.758543e-18 1.758543e-18
1.142254e+01 1.789962e-18 1.789962e-18
1.152254e+01 1.821078e-18 1.821078e-18
1.162254e+01 1.857704e-18 1.857704e-18
1.172254e+01 1.897672e-18 1.897672e-18
1.182254e+01 1.932911e-18 1.932911e-18
1.192254e+01 1.961769e-18 1.961769e-18
1.202254e+01 1.994465e-18 1.994465e-18
1.212254e+01 2.049988e-18 2.049988e-18
1.222254e+01 2.105511e-18 2.105511e-18
1.232254e+01 2.152507e-18 2.152507e-18
1.242254e+01 2.196984e-18 2.196984e-18
1.252254e+01 2.225298e-18 2.225298e-18
1.262254e+01 2.220009e-18 2.220009e-18
