# H2O cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: smith1981 10.1086/159359, chan1993d 10.1016/0301-0104(93)85078-M, yoshino1996 10.1016/0301-0104(96)00210-8, yoshino1997 10.1016/S0301-0104(96)00381-3, parkinson2003 10.1016/S0301-0104(03)00361-6, fillion2003 http://stacks.iop.org/0953-4075/36/i=13/a=308, fillion2004 10.1063/1.1652566, mota2005 10.1016/j.cplett.2005.09.073, harrevelt2008 10.1021/jp711857w,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
6.200000e+00 3.650000e-19 3.650000e-19
6.300000e+00 4.000000e-19 4.000000e-19
6.400000e+00 4.237000e-19 4.237000e-19
6.500000e+00 4.400000e-19 4.400000e-19
6.600000e+00 4.441905e-19 4.441905e-19
6.700000e+00 4.620000e-19 4.620000e-19
6.800000e+00 4.595111e-19 4.595111e-19
6.900000e+00 4.634783e-19 4.634783e-19
7.000000e+00 4.834286e-19 4.834286e-19
7.100000e+00 4.886667e-19 4.886667e-19
7.200000e+00 5.139400e-19 5.139400e-19
7.300000e+00 5.401961e-19 5.401961e-19
7.400000e+00 5.621111e-19 5.621111e-19
7.500000e+00 5.653333e-19 5.653333e-19
7.600000e+00 5.746667e-19 5.746667e-19
7.700000e+00 5.825000e-19 5.825000e-19
7.800000e+00 6.005000e-19 6.005000e-19
7.900000e+00 6.340000e-19 6.340000e-19
8.000000e+00 6.550000e-19 6.550000e-19
8.100000e+00 6.828182e-19 6.828182e-19
8.200000e+00 6.997273e-19 6.997273e-19
8.300000e+00 6.986364e-19 6.986364e-19
8.400000e+00 7.177273e-19 7.177273e-19
8.500000e+00 7.507500e-19 7.507500e-19
8.600000e+00 7.782500e-19 7.782500e-19
8.700000e+00 7.825000e-19 7.825000e-19
8.800000e+00 8.061538e-19 8.061538e-19
8.900000e+00 8.363333e-19 8.363333e-19
9.000000e+00 8.594286e-19 8.594286e-19
