# H2O cross sections - reduced to   103points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: smith1981 10.1086/159359, chan1993d 10.1016/0301-0104(93)85078-M, yoshino1996 10.1016/0301-0104(96)00210-8, yoshino1997 10.1016/S0301-0104(96)00381-3, parkinson2003 10.1016/S0301-0104(03)00361-6, fillion2003 http://stacks.iop.org/0953-4075/36/i=13/a=308, fillion2004 10.1063/1.1652566, mota2005 10.1016/j.cplett.2005.09.073, harrevelt2008 10.1021/jp711857w,                                                                                                                                 
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photoionisation   -- Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
7.000000E+00 4.834286E-19 4.834286E-19
7.900000E+00 6.340000E-19 6.340000E-19
8.800000E+00 8.061538E-19 8.061538E-19
9.700000E+00 1.004000E-18 1.004000E-18
1.060000E+01 1.225000E-18 1.225000E-18
1.150000E+01 1.457273E-18 1.457273E-18
1.240000E+01 1.760000E-18 1.760000E-18
1.330000E+01 2.051429E-18 2.051429E-18
1.420000E+01 2.402500E-18 2.402500E-18
1.510000E+01 2.706667E-18 2.706667E-18
1.600000E+01 3.040000E-18 3.040000E-18
1.690000E+01 3.402609E-18 3.402609E-18
1.780000E+01 3.771538E-18 3.771538E-18
1.870000E+01 4.158214E-18 4.158214E-18
1.960000E+01 4.618710E-18 4.618710E-18
2.050000E+01 5.052424E-18 5.052424E-18
2.140000E+01 5.600541E-18 5.600541E-18
2.230000E+01 5.888000E-18 5.888000E-18
2.320000E+01 6.324884E-18 6.324884E-18
2.410000E+01 6.784894E-18 6.784894E-18
2.500000E+01 7.196000E-18 7.196000E-18
2.590000E+01 7.675185E-18 7.675185E-18
2.680000E+01 8.015862E-18 8.015862E-18
2.770000E+01 8.497419E-18 8.497419E-18
2.860000E+01 9.000303E-18 9.000303E-18
2.950000E+01 9.483143E-18 9.483143E-18
3.040000E+01 9.792162E-18 9.792162E-18
3.130000E+01 1.025385E-17 1.025385E-17
3.220000E+01 1.070000E-17 1.070000E-17
3.310000E+01 1.111778E-17 1.111778E-17
3.400000E+01 1.143830E-17 1.143830E-17
3.490000E+01 1.200000E-17 1.200000E-17
3.580000E+01 1.250000E-17 1.250000E-17
3.670000E+01 1.294259E-17 1.294259E-17
3.760000E+01 1.332586E-17 1.332586E-17
3.850000E+01 1.385833E-17 1.385833E-17
3.940000E+01 1.421270E-17 1.421270E-17
4.030000E+01 1.454091E-17 1.454091E-17
4.120000E+01 1.542794E-17 1.542794E-17
4.210000E+01 1.593889E-17 1.593889E-17
4.300000E+01 1.643333E-17 1.643333E-17
4.390000E+01 1.695641E-17 1.695641E-17
4.480000E+01 1.739259E-17 1.739259E-17
4.570000E+01 1.742651E-17 1.742651E-17
4.660000E+01 1.771264E-17 1.771264E-17
4.750000E+01 1.795778E-17 1.795778E-17
4.840000E+01 1.853441E-17 1.853441E-17
4.930000E+01 1.870000E-17 1.870000E-17
5.020000E+01 1.899902E-17 1.899902E-17
5.110000E+01 1.962000E-17 1.962000E-17
5.200000E+01 2.013091E-17 2.013091E-17
5.290000E+01 2.023652E-17 2.023652E-17
5.380000E+01 2.047130E-17 2.047130E-17
5.470000E+01 2.076555E-17 2.076555E-17
5.560000E+01 2.109841E-17 2.109841E-17
5.650000E+01 2.091592E-17 2.095174E-17
5.740000E+01 2.143629E-17 2.124734E-17
5.830000E+01 2.181460E-17 2.158105E-17
5.920000E+01 2.177565E-17 2.175616E-17
6.010000E+01 2.203878E-17 2.204618E-17
6.100000E+01 2.230029E-17 2.203629E-17
6.190000E+01 2.258358E-17 2.205760E-17
6.280000E+01 2.266674E-17 2.189463E-17
6.370000E+01 2.255654E-17 2.155271E-17
6.460000E+01 2.257691E-17 2.125156E-17
6.550000E+01 2.260262E-17 2.058051E-17
6.640000E+01 2.248920E-17 1.979166E-17
6.730000E+01 2.248694E-17 1.883352E-17
6.820000E+01 2.280972E-17 1.797836E-17
6.910000E+01 2.271847E-17 1.750700E-17
7.000000E+01 2.162908E-17 1.675959E-17
7.090000E+01 2.180619E-17 1.682087E-17
7.180000E+01 2.251315E-17 1.691674E-17
7.270000E+01 2.107429E-17 1.594529E-17
7.360000E+01 2.185257E-17 1.620594E-17
7.450000E+01 1.957904E-17 1.508070E-17
7.540000E+01 1.835121E-17 1.415946E-17
7.630000E+01 1.870861E-17 1.449315E-17
7.720000E+01 1.735739E-17 1.370760E-17
7.810000E+01 1.722573E-17 1.373157E-17
7.900000E+01 1.682977E-17 1.350314E-17
7.990000E+01 1.650292E-17 1.324462E-17
8.080000E+01 1.686317E-17 1.314374E-17
8.170000E+01 1.618608E-17 1.230208E-17
8.260000E+01 1.682749E-17 1.216832E-17
8.350000E+01 1.815922E-17 1.210480E-17
8.440000E+01 1.810366E-17 1.133235E-17
8.530000E+01 1.806407E-17 1.044216E-17
8.620000E+01 1.934209E-17 1.012452E-17
8.710000E+01 1.983720E-17 9.507482E-18
8.800000E+01 1.943584E-17 8.774351E-18
8.890000E+01 1.962660E-17 8.477537E-18
8.980000E+01 2.234260E-17 8.770581E-18
9.070000E+01 2.344833E-17 8.666218E-18
9.160000E+01 2.374756E-17 8.363399E-18
9.250000E+01 2.423573E-17 8.119118E-18
9.340000E+01 2.238985E-17 7.686823E-18
9.430000E+01 2.088742E-17 7.232573E-18
9.520000E+01 1.865789E-17 6.493111E-18
9.610000E+01 1.549303E-17 5.678679E-18
9.700000E+01 1.420612E-17 5.306056E-18
9.790000E+01 1.413422E-17 5.122796E-18
9.880000E+01 1.121033E-17 2.875410E-20
