# Cross sections for H3+
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: H3+ PHOTODISSOCIATION, V=0 CALC. van Dishoeck
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
4.140000e+01 7.333333e-20 7.333333e-20
4.150000e+01 1.466667e-19 1.466667e-19
4.160000e+01 2.200000e-19 2.200000e-19
4.170000e+01 2.933333e-19 2.933333e-19
4.180000e+01 3.666667e-19 3.666667e-19
4.190000e+01 4.400000e-19 4.400000e-19
4.200000e+01 5.133333e-19 5.133333e-19
4.210000e+01 5.866667e-19 5.866667e-19
4.220000e+01 6.600000e-19 6.600000e-19
4.230000e+01 7.333333e-19 7.333333e-19
4.240000e+01 8.066667e-19 8.066667e-19
4.250000e+01 8.800000e-19 8.800000e-19
4.260000e+01 9.533333e-19 9.533333e-19
4.270000e+01 1.026667e-18 1.026667e-18
4.280000e+01 1.100000e-18 1.100000e-18
4.290000e+01 1.173333e-18 1.173333e-18
4.300000e+01 1.246667e-18 1.246667e-18
4.310000e+01 1.320000e-18 1.320000e-18
4.320000e+01 1.393333e-18 1.393333e-18
4.330000e+01 1.466667e-18 1.466667e-18
4.340000e+01 1.540000e-18 1.540000e-18
4.350000e+01 1.613333e-18 1.613333e-18
4.360000e+01 1.686667e-18 1.686667e-18
4.370000e+01 1.760000e-18 1.760000e-18
4.380000e+01 1.833333e-18 1.833333e-18
4.390000e+01 1.906667e-18 1.906667e-18
4.400000e+01 1.980000e-18 1.980000e-18
4.410000e+01 2.053333e-18 2.053333e-18
4.420000e+01 2.126667e-18 2.126667e-18
4.430000e+01 2.200000e-18 2.200000e-18
4.440000e+01 2.300000e-18 2.300000e-18
4.450000e+01 2.400000e-18 2.400000e-18
4.460000e+01 2.500000e-18 2.500000e-18
4.470000e+01 2.600000e-18 2.600000e-18
4.480000e+01 2.700000e-18 2.700000e-18
4.490000e+01 2.800000e-18 2.800000e-18
4.500000e+01 2.900000e-18 2.900000e-18
4.510000e+01 3.000000e-18 3.000000e-18
4.520000e+01 3.100000e-18 3.100000e-18
4.530000e+01 3.200000e-18 3.200000e-18
4.540000e+01 3.300000e-18 3.300000e-18
4.550000e+01 3.400000e-18 3.400000e-18
4.560000e+01 3.500000e-18 3.500000e-18
4.570000e+01 3.600000e-18 3.600000e-18
4.580000e+01 3.700000e-18 3.700000e-18
4.590000e+01 3.800000e-18 3.800000e-18
4.600000e+01 3.900000e-18 3.900000e-18
4.610000e+01 4.000000e-18 4.000000e-18
4.620000e+01 4.100000e-18 4.100000e-18
4.630000e+01 4.200000e-18 4.200000e-18
4.640000e+01 4.300000e-18 4.300000e-18
4.650000e+01 4.400000e-18 4.400000e-18
4.660000e+01 4.500000e-18 4.500000e-18
4.670000e+01 4.600000e-18 4.600000e-18
4.680000e+01 4.700000e-18 4.700000e-18
4.690000e+01 4.800000e-18 4.800000e-18
4.700000e+01 4.900000e-18 4.900000e-18
4.710000e+01 5.000000e-18 5.000000e-18
4.720000e+01 5.100000e-18 5.100000e-18
4.730000e+01 5.200000e-18 5.200000e-18
4.740000e+01 5.300000e-18 5.300000e-18
4.750000e+01 5.400000e-18 5.400000e-18
4.760000e+01 5.500000e-18 5.500000e-18
4.770000e+01 5.600000e-18 5.600000e-18
4.780000e+01 5.835000e-18 5.835000e-18
4.790000e+01 6.070000e-18 6.070000e-18
4.800000e+01 6.305000e-18 6.305000e-18
4.810000e+01 6.540000e-18 6.540000e-18
4.820000e+01 6.775000e-18 6.775000e-18
4.830000e+01 7.010000e-18 7.010000e-18
4.840000e+01 7.245000e-18 7.245000e-18
4.850000e+01 7.480000e-18 7.480000e-18
4.860000e+01 7.715000e-18 7.715000e-18
4.870000e+01 7.950000e-18 7.950000e-18
4.880000e+01 8.185000e-18 8.185000e-18
4.890000e+01 8.420000e-18 8.420000e-18
4.900000e+01 8.655000e-18 8.655000e-18
4.910000e+01 8.890000e-18 8.890000e-18
4.920000e+01 9.125000e-18 9.125000e-18
4.930000e+01 9.360000e-18 9.360000e-18
4.940000e+01 9.595000e-18 9.595000e-18
4.950000e+01 9.830000e-18 9.830000e-18
4.960000e+01 1.006500e-17 1.006500e-17
4.970000e+01 1.030000e-17 1.030000e-17
4.980000e+01 1.053500e-17 1.053500e-17
4.990000e+01 1.077000e-17 1.077000e-17
5.000000e+01 1.100500e-17 1.100500e-17
5.010000e+01 1.124000e-17 1.124000e-17
5.020000e+01 1.147500e-17 1.147500e-17
5.030000e+01 1.171000e-17 1.171000e-17
5.040000e+01 1.194500e-17 1.194500e-17
5.050000e+01 1.218000e-17 1.218000e-17
5.060000e+01 1.241500e-17 1.241500e-17
5.070000e+01 1.265000e-17 1.265000e-17
5.080000e+01 1.288500e-17 1.288500e-17
5.090000e+01 1.312000e-17 1.312000e-17
5.100000e+01 1.335500e-17 1.335500e-17
5.110000e+01 1.359000e-17 1.359000e-17
5.120000e+01 1.382500e-17 1.382500e-17
5.130000e+01 1.406000e-17 1.406000e-17
5.140000e+01 1.429500e-17 1.429500e-17
5.150000e+01 1.453000e-17 1.453000e-17
5.160000e+01 1.476500e-17 1.476500e-17
5.170000e+01 1.500000e-17 1.500000e-17
5.180000e+01 1.519149e-17 1.519149e-17
5.190000e+01 1.538298e-17 1.538298e-17
5.200000e+01 1.557447e-17 1.557447e-17
5.210000e+01 1.576596e-17 1.576596e-17
5.220000e+01 1.595745e-17 1.595745e-17
5.230000e+01 1.614894e-17 1.614894e-17
5.240000e+01 1.634043e-17 1.634043e-17
5.250000e+01 1.653191e-17 1.653191e-17
5.260000e+01 1.672340e-17 1.672340e-17
5.270000e+01 1.691489e-17 1.691489e-17
5.280000e+01 1.710638e-17 1.710638e-17
5.290000e+01 1.729787e-17 1.729787e-17
5.300000e+01 1.748936e-17 1.748936e-17
5.310000e+01 1.768085e-17 1.768085e-17
5.320000e+01 1.787234e-17 1.787234e-17
5.330000e+01 1.806383e-17 1.806383e-17
5.340000e+01 1.825532e-17 1.825532e-17
5.350000e+01 1.844681e-17 1.844681e-17
5.360000e+01 1.863830e-17 1.863830e-17
5.370000e+01 1.882979e-17 1.882979e-17
5.380000e+01 1.902128e-17 1.902128e-17
5.390000e+01 1.921277e-17 1.921277e-17
5.400000e+01 1.940426e-17 1.940426e-17
5.410000e+01 1.959574e-17 1.959574e-17
5.420000e+01 1.978723e-17 1.978723e-17
5.430000e+01 1.997872e-17 1.997872e-17
5.440000e+01 2.017021e-17 2.017021e-17
5.450000e+01 2.036170e-17 2.036170e-17
5.460000e+01 2.055319e-17 2.055319e-17
5.470000e+01 2.074468e-17 2.074468e-17
5.480000e+01 2.093617e-17 2.093617e-17
5.490000e+01 2.112766e-17 2.112766e-17
5.500000e+01 2.131915e-17 2.131915e-17
5.510000e+01 2.151064e-17 2.151064e-17
5.520000e+01 2.170213e-17 2.170213e-17
5.530000e+01 2.189362e-17 2.189362e-17
5.540000e+01 2.208511e-17 2.208511e-17
5.550000e+01 2.227660e-17 2.227660e-17
5.560000e+01 2.246809e-17 2.246809e-17
5.570000e+01 2.265957e-17 2.265957e-17
5.580000e+01 2.285106e-17 2.285106e-17
5.590000e+01 2.304255e-17 2.304255e-17
5.600000e+01 2.323404e-17 2.323404e-17
5.610000e+01 2.342553e-17 2.342553e-17
5.620000e+01 2.361702e-17 2.361702e-17
5.630000e+01 2.380851e-17 2.380851e-17
5.640000e+01 2.400000e-17 2.400000e-17
5.650000e+01 2.407692e-17 2.407692e-17
5.660000e+01 2.415385e-17 2.415385e-17
5.670000e+01 2.423077e-17 2.423077e-17
5.680000e+01 2.430769e-17 2.430769e-17
5.690000e+01 2.438462e-17 2.438462e-17
5.700000e+01 2.446154e-17 2.446154e-17
5.710000e+01 2.453846e-17 2.453846e-17
5.720000e+01 2.461538e-17 2.461538e-17
5.730000e+01 2.469231e-17 2.469231e-17
5.740000e+01 2.476923e-17 2.476923e-17
5.750000e+01 2.484615e-17 2.484615e-17
5.760000e+01 2.492308e-17 2.492308e-17
5.770000e+01 2.500000e-17 2.500000e-17
5.780000e+01 2.507692e-17 2.507692e-17
5.790000e+01 2.515385e-17 2.515385e-17
5.800000e+01 2.523077e-17 2.523077e-17
5.810000e+01 2.530769e-17 2.530769e-17
5.820000e+01 2.538462e-17 2.538462e-17
5.830000e+01 2.546154e-17 2.546154e-17
5.840000e+01 2.553846e-17 2.553846e-17
5.850000e+01 2.561538e-17 2.561538e-17
5.860000e+01 2.569231e-17 2.569231e-17
5.870000e+01 2.576923e-17 2.576923e-17
5.880000e+01 2.584615e-17 2.584615e-17
5.890000e+01 2.592308e-17 2.592308e-17
5.900000e+01 2.600000e-17 2.600000e-17
5.910000e+01 2.593333e-17 2.593333e-17
5.920000e+01 2.586667e-17 2.586667e-17
5.930000e+01 2.580000e-17 2.580000e-17
5.940000e+01 2.573333e-17 2.573333e-17
5.950000e+01 2.566667e-17 2.566667e-17
5.960000e+01 2.560000e-17 2.560000e-17
5.970000e+01 2.553333e-17 2.553333e-17
5.980000e+01 2.546667e-17 2.546667e-17
5.990000e+01 2.540000e-17 2.540000e-17
6.000000e+01 2.533333e-17 2.533333e-17
6.010000e+01 2.526667e-17 2.526667e-17
6.020000e+01 2.520000e-17 2.520000e-17
6.030000e+01 2.513333e-17 2.513333e-17
6.040000e+01 2.506667e-17 2.506667e-17
6.050000e+01 2.500000e-17 2.500000e-17
6.060000e+01 2.493333e-17 2.493333e-17
6.070000e+01 2.486667e-17 2.486667e-17
6.080000e+01 2.480000e-17 2.480000e-17
6.090000e+01 2.473333e-17 2.473333e-17
6.100000e+01 2.466667e-17 2.466667e-17
