# HCN cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: west1974 10.1063/1.1681793, nuth1982 10.1016/0022-4073(82)90025-5, lee1980 10.1063/1.439140, dibeler1968 10.1063/1.1701666,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
6.271900e+01 2.432191e-17 2.432191e-17
6.281900e+01 2.424480e-17 2.424480e-17
6.291900e+01 2.416768e-17 2.416768e-17
6.301900e+01 2.409057e-17 2.409057e-17
6.311900e+01 2.401345e-17 2.401345e-17
6.321900e+01 2.393634e-17 2.393634e-17
6.331900e+01 2.381589e-17 2.381589e-17
6.341900e+01 2.366166e-17 2.366166e-17
6.351900e+01 2.350743e-17 2.350743e-17
6.361900e+01 2.335320e-17 2.335320e-17
6.371900e+01 2.319897e-17 2.319897e-17
6.381900e+01 2.306386e-17 2.306386e-17
6.391900e+01 2.306386e-17 2.306386e-17
6.401900e+01 2.306386e-17 2.306386e-17
6.411900e+01 2.306386e-17 2.306386e-17
6.421900e+01 2.306386e-17 2.306386e-17
6.431900e+01 2.306386e-17 2.306386e-17
6.441900e+01 2.306386e-17 2.306386e-17
6.451900e+01 2.306386e-17 2.306386e-17
6.461900e+01 2.306386e-17 2.306386e-17
6.471900e+01 2.306386e-17 2.306386e-17
6.481900e+01 2.306386e-17 2.306386e-17
6.491900e+01 2.308291e-17 2.308291e-17
6.501900e+01 2.316002e-17 2.316002e-17
6.511900e+01 2.323714e-17 2.323714e-17
6.521900e+01 2.331425e-17 2.331425e-17
6.531900e+01 2.339137e-17 2.339137e-17
6.541900e+01 2.346848e-17 2.346848e-17
6.551900e+01 2.335845e-17 2.335845e-17
6.561900e+01 2.320422e-17 2.320422e-17
6.571900e+01 2.305000e-17 2.305000e-17
6.581900e+01 2.289577e-17 2.289577e-17
6.591900e+01 2.274155e-17 2.274155e-17
6.601900e+01 2.270176e-17 2.270176e-17
6.611900e+01 2.285598e-17 2.285598e-17
6.621900e+01 2.301021e-17 2.301021e-17
6.631900e+01 2.316443e-17 2.316443e-17
6.641900e+01 2.331866e-17 2.331866e-17
6.651900e+01 2.347288e-17 2.347288e-17
6.661900e+01 2.348321e-17 2.348321e-17
6.671900e+01 2.348321e-17 2.348321e-17
6.681900e+01 2.348321e-17 2.348321e-17
6.691900e+01 2.348321e-17 2.348321e-17
6.701900e+01 2.348321e-17 2.348321e-17
6.711900e+01 2.352138e-17 2.352138e-17
6.721900e+01 2.359850e-17 2.359850e-17
6.731900e+01 2.367561e-17 2.367561e-17
6.741900e+01 2.375273e-17 2.375273e-17
6.751900e+01 2.382984e-17 2.382984e-17
6.761900e+01 2.391048e-17 2.391048e-17
6.771900e+01 2.404928e-17 2.404928e-17
6.781900e+01 2.418809e-17 2.418809e-17
6.791900e+01 2.432690e-17 2.432690e-17
6.801900e+01 2.446570e-17 2.446570e-17
6.811900e+01 2.460451e-17 2.460451e-17
6.821900e+01 2.474124e-17 2.474124e-17
6.831900e+01 2.474124e-17 2.474124e-17
6.841900e+01 2.474124e-17 2.474124e-17
6.851900e+01 2.474124e-17 2.474124e-17
