# HCl+ cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: heays2016, pradhan1991 10.1063/1.461232,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
7.769012e+01 1.464347e-19 1.464347e-19
7.779012e+01 1.461830e-19 1.461830e-19
7.789012e+01 1.459322e-19 1.459322e-19
7.799012e+01 1.456823e-19 1.456823e-19
7.809012e+01 1.454332e-19 1.454332e-19
7.819012e+01 1.451851e-19 1.451851e-19
7.829012e+01 1.449373e-19 1.449373e-19
7.839012e+01 1.446897e-19 1.446897e-19
7.849012e+01 1.444429e-19 1.444429e-19
7.859012e+01 1.441967e-19 1.441967e-19
7.869012e+01 1.402573e-19 1.402573e-19
7.879012e+01 1.321355e-19 1.321355e-19
7.889012e+01 1.312176e-19 1.312176e-19
7.899012e+01 1.093728e-19 1.093728e-19
7.909012e+01 6.432197e-20 6.432197e-20
7.919012e+01 5.701875e-20 5.701875e-20
7.929012e+01 5.677705e-20 5.677705e-20
7.939012e+01 7.037914e-20 7.037914e-20
7.949012e+01 1.052740e-19 1.052740e-19
7.959012e+01 7.038835e-20 7.038835e-20
7.969012e+01 2.763648e-20 2.763648e-20
7.979012e+01 2.047428e-20 2.047428e-20
7.989012e+01 1.860557e-20 1.860557e-20
7.999012e+01 1.836986e-20 1.836986e-20
8.009012e+01 1.813416e-20 1.813416e-20
8.019012e+01 1.789845e-20 1.789845e-20
8.029012e+01 1.766275e-20 1.766275e-20
8.039012e+01 1.742704e-20 1.742704e-20
8.049012e+01 1.719134e-20 1.719134e-20
8.059012e+01 1.695563e-20 1.695563e-20
8.069012e+01 1.671993e-20 1.671993e-20
8.079012e+01 2.970890e-20 2.970890e-20
8.089012e+01 4.074459e-20 4.074459e-20
8.099012e+01 4.051292e-20 4.051292e-20
8.109012e+01 4.532966e-20 4.532966e-20
8.119012e+01 5.992925e-20 5.992925e-20
8.129012e+01 6.889717e-20 6.889717e-20
8.139012e+01 7.532308e-20 7.532308e-20
8.149012e+01 1.010584e-19 1.010584e-19
8.159012e+01 1.302231e-19 1.302231e-19
8.169012e+01 1.593877e-19 1.593877e-19
8.179012e+01 1.809292e-19 1.809292e-19
8.189012e+01 1.953325e-19 1.953325e-19
8.199012e+01 2.096467e-19 2.096467e-19
8.209012e+01 2.262098e-19 2.262098e-19
8.219012e+01 2.550058e-19 2.550058e-19
8.229012e+01 2.837462e-19 2.837462e-19
8.239012e+01 3.124234e-19 3.124234e-19
8.249012e+01 3.437595e-19 3.437595e-19
8.259012e+01 3.758497e-19 3.758497e-19
8.269012e+01 4.060186e-19 4.060186e-19
8.279012e+01 4.343292e-19 4.343292e-19
8.289012e+01 4.626198e-19 4.626198e-19
8.299012e+01 4.904326e-19 4.904326e-19
8.309012e+01 5.114350e-19 5.114350e-19
8.319012e+01 5.347907e-19 5.347907e-19
8.329012e+01 5.628413e-19 5.628413e-19
8.339012e+01 5.823577e-19 5.823577e-19
8.349012e+01 5.962155e-19 5.962155e-19
8.359012e+01 6.087958e-19 6.087958e-19
8.369012e+01 6.211708e-19 6.211708e-19
8.379012e+01 6.411265e-19 6.411265e-19
8.389012e+01 6.623684e-19 6.623684e-19
8.399012e+01 6.692148e-19 6.692148e-19
8.409012e+01 6.735187e-19 6.735187e-19
8.419012e+01 6.672335e-19 6.672335e-19
8.429012e+01 6.586640e-19 6.586640e-19
8.439012e+01 6.469005e-19 6.469005e-19
8.449012e+01 6.285600e-19 6.285600e-19
8.459012e+01 6.017560e-19 6.017560e-19
8.469012e+01 5.753519e-19 5.753519e-19
8.479012e+01 5.492917e-19 5.492917e-19
8.489012e+01 5.204024e-19 5.204024e-19
8.499012e+01 4.908864e-19 4.908864e-19
8.509012e+01 4.472392e-19 4.472392e-19
8.519012e+01 4.083726e-19 4.083726e-19
8.529012e+01 3.723937e-19 3.723937e-19
8.539012e+01 3.368603e-19 3.368603e-19
8.549012e+01 2.984379e-19 2.984379e-19
8.559012e+01 2.555303e-19 2.555303e-19
8.569012e+01 2.128784e-19 2.128784e-19
8.579012e+01 1.723340e-19 1.723340e-19
8.589012e+01 1.463183e-19 1.463183e-19
8.599012e+01 1.203027e-19 1.203027e-19
8.609012e+01 9.428698e-20 9.428698e-20
8.619012e+01 7.699004e-20 7.699004e-20
8.629012e+01 9.147237e-20 9.147237e-20
8.639012e+01 1.066965e-19 1.066965e-19
8.649012e+01 1.229739e-19 1.229739e-19
8.659012e+01 1.584679e-19 1.584679e-19
8.669012e+01 2.456160e-19 2.456160e-19
8.679012e+01 3.199790e-19 3.199790e-19
8.689012e+01 4.123970e-19 4.123970e-19
8.699012e+01 5.741455e-19 5.741455e-19
8.709012e+01 6.883281e-19 6.883281e-19
8.719012e+01 9.356985e-19 9.356985e-19
8.729012e+01 1.090839e-18 1.090839e-18
8.739012e+01 1.268739e-18 1.268739e-18
8.749012e+01 1.522555e-18 1.522555e-18
8.759012e+01 1.753898e-18 1.753898e-18
8.769012e+01 1.985251e-18 1.985251e-18
8.779012e+01 2.216604e-18 2.216604e-18
8.789012e+01 2.447878e-18 2.447878e-18
8.799012e+01 2.143401e-18 2.143401e-18
8.809012e+01 2.815744e-18 2.815744e-18
8.819012e+01 3.252680e-18 3.252680e-18
8.829012e+01 3.498418e-18 3.498418e-18
8.839012e+01 3.842709e-18 3.842709e-18
8.849012e+01 4.026743e-18 4.026743e-18
8.859012e+01 4.345565e-18 4.345565e-18
8.869012e+01 4.653877e-18 4.653877e-18
8.879012e+01 4.956147e-18 4.956147e-18
8.889012e+01 5.226683e-18 5.226683e-18
8.899012e+01 5.497838e-18 5.497838e-18
8.909012e+01 5.769730e-18 5.769730e-18
8.919012e+01 6.041622e-18 6.041622e-18
8.929012e+01 6.313515e-18 6.313515e-18
8.939012e+01 6.585407e-18 6.585407e-18
8.949012e+01 5.925967e-18 5.925967e-18
8.959012e+01 7.055917e-18 7.055917e-18
8.969012e+01 7.548150e-18 7.548150e-18
8.979012e+01 8.043010e-18 8.043010e-18
8.989012e+01 7.964120e-18 7.964120e-18
8.999012e+01 8.192335e-18 8.192335e-18
9.009012e+01 8.197812e-18 8.197812e-18
9.019012e+01 8.645054e-18 8.645054e-18
9.029012e+01 8.937004e-18 8.937004e-18
9.039012e+01 9.161864e-18 9.161864e-18
9.049012e+01 9.350631e-18 9.350631e-18
9.059012e+01 9.545669e-18 9.545669e-18
9.069012e+01 9.706196e-18 9.706196e-18
9.079012e+01 9.893467e-18 9.893467e-18
9.089012e+01 1.008970e-17 1.008970e-17
9.099012e+01 1.020586e-17 1.020586e-17
9.109012e+01 1.033663e-17 1.033663e-17
9.119012e+01 1.046740e-17 1.046740e-17
9.129012e+01 1.059818e-17 1.059818e-17
9.139012e+01 1.072895e-17 1.072895e-17
9.149012e+01 1.085594e-17 1.085594e-17
9.159012e+01 1.094525e-17 1.094525e-17
9.169012e+01 1.103112e-17 1.103112e-17
9.179012e+01 1.110739e-17 1.110739e-17
9.189012e+01 1.117373e-17 1.117373e-17
9.199012e+01 1.122844e-17 1.122844e-17
9.209012e+01 1.127825e-17 1.127825e-17
9.219012e+01 1.131162e-17 1.131162e-17
9.229012e+01 1.134434e-17 1.134434e-17
