# HCl photoabsorption / dissociation / ionisation cross sections.
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Created: Alan Heays 2015-09-03
# references: brion2005 10.1016/j.elspec.2005.01.010, bahou2001 http://stacks.iop.org/1538-4357/559/i=2/a=L179, frohlich1990daviel1984,
# no info on lines
# wavelength: (nm)
# Photoabsorption cross section (cm2)
# Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
7.302800e+01 4.486681e-17 3.163817e-19
7.312800e+01 4.481981e-17 5.247812e-19
7.322800e+01 4.431667e-17 5.810375e-19
7.332800e+01 4.398684e-17 5.791605e-19
7.342800e+01 4.451522e-17 5.580775e-19
7.352800e+01 4.479667e-17 5.390759e-19
7.362800e+01 4.537158e-17 6.018731e-19
7.372800e+01 4.522000e-17 7.014642e-19
7.382800e+01 4.410333e-17 7.746480e-19
7.392800e+01 4.343852e-17 7.605257e-19
7.402800e+01 4.429000e-17 7.138151e-19
7.412800e+01 4.542333e-17 7.288387e-19
7.422800e+01 4.582986e-17 8.273246e-19
7.432800e+01 4.608529e-17 8.508346e-19
7.442800e+01 4.422848e-17 7.767111e-19
7.452800e+01 4.311811e-17 8.672170e-19
7.462800e+01 4.387186e-17 1.041611e-18
7.472800e+01 4.551091e-17 1.048538e-18
7.482800e+01 4.631755e-17 1.047900e-18
7.492800e+01 4.605353e-17 1.067123e-18
7.502800e+01 4.594000e-17 1.043572e-18
7.512800e+01 4.424303e-17 9.802171e-19
7.522800e+01 4.294667e-17 1.091249e-18
7.532800e+01 4.234667e-17 1.478546e-18
7.542800e+01 4.515341e-17 1.542747e-18
7.552800e+01 4.743643e-17 1.468904e-18
7.562800e+01 4.634840e-17 1.526798e-18
7.572800e+01 4.598990e-17 1.568772e-18
7.582800e+01 4.497333e-17 1.345754e-18
7.592800e+01 4.313000e-17 1.319094e-18
7.602800e+01 4.042334e-17 1.802550e-18
7.612800e+01 4.144000e-17 2.017449e-18
7.622800e+01 4.653000e-17 1.826712e-18
7.632800e+01 4.866305e-17 1.630779e-18
7.642800e+01 4.844667e-17 1.382974e-18
7.652800e+01 4.686227e-17 1.379394e-18
7.662800e+01 4.368003e-17 1.485078e-18
7.672800e+01 4.207601e-17 1.734068e-18
7.682800e+01 3.968175e-17 2.413588e-18
7.692800e+01 4.045667e-17 2.291884e-18
7.702800e+01 4.567000e-17 1.638965e-18
7.712800e+01 4.870333e-17 1.524292e-18
7.722800e+01 5.161302e-17 1.611538e-18
7.732800e+01 4.919000e-17 1.774908e-18
7.742800e+01 4.276783e-17 1.845141e-18
7.752800e+01 4.146106e-17 1.696275e-18
7.762800e+01 4.000406e-17 1.698959e-18
7.772800e+01 4.066546e-17 1.746985e-18
7.782800e+01 4.513634e-17 1.736580e-18
7.792800e+01 4.758667e-17 1.826872e-18
7.802800e+01 5.164755e-17 2.241123e-18
7.812800e+01 5.123333e-17 2.449653e-18
7.822800e+01 4.552130e-17 2.625292e-18
7.832800e+01 4.072962e-17 2.740829e-18
7.842800e+01 4.027000e-17 2.845922e-18
7.852800e+01 4.210000e-17 2.807428e-18
7.862800e+01 4.393586e-17 2.545788e-18
7.872800e+01 4.682667e-17 1.949545e-18
7.882800e+01 4.788394e-17 1.785341e-18
7.892800e+01 5.059972e-17 1.568407e-18
7.902800e+01 4.973125e-17 1.505358e-18
7.912800e+01 4.585708e-17 1.667628e-18
7.922800e+01 3.826908e-17 2.173555e-18
7.932800e+01 3.797784e-17 2.124977e-18
7.942800e+01 4.098069e-17 1.686114e-18
7.952800e+01 4.518667e-17 1.844309e-18
7.962800e+01 4.725333e-17 2.211781e-18
7.972800e+01 5.058476e-17 3.241940e-18
7.982800e+01 5.172333e-17 3.532239e-18
7.992800e+01 4.982458e-17 3.295744e-18
8.002800e+01 4.304813e-17 3.250777e-18
8.012800e+01 3.930333e-17 3.296631e-18
8.022800e+01 3.806000e-17 2.883714e-18
8.032800e+01 4.020390e-17 2.686628e-18
8.042800e+01 4.427219e-17 2.542066e-18
8.052800e+01 4.606902e-17 2.626206e-18
8.062800e+01 4.626280e-17 2.858660e-18
8.072800e+01 4.699041e-17 3.294054e-18
8.082800e+01 4.855333e-17 3.000056e-18
8.092800e+01 4.755000e-17 2.480825e-18
8.102800e+01 4.333581e-17 1.649103e-18
8.112800e+01 4.309991e-17 1.283722e-18
8.122800e+01 4.482143e-17 1.132403e-18
8.132800e+01 4.814000e-17 1.179905e-18
8.142800e+01 4.490951e-17 1.384963e-18
8.152800e+01 4.251618e-17 1.589179e-18
8.162800e+01 4.115237e-17 1.954225e-18
8.172800e+01 4.159730e-17 2.257392e-18
8.182800e+01 4.265642e-17 2.436301e-18
8.192800e+01 4.597013e-17 2.449024e-18
8.202800e+01 4.997667e-17 2.227192e-18
8.212800e+01 5.256333e-17 1.972292e-18
8.222800e+01 5.383118e-17 1.504854e-18
8.232800e+01 4.889667e-17 1.380457e-18
8.242800e+01 4.496872e-17 1.408349e-18
8.252800e+01 4.156987e-17 1.476769e-18
8.262800e+01 4.263581e-17 1.324159e-18
8.272800e+01 4.401039e-17 1.263428e-18
8.282800e+01 4.724727e-17 1.270078e-18
8.292800e+01 5.239000e-17 1.148248e-18
8.302800e+01 5.773667e-17 9.489232e-19
8.312800e+01 5.990333e-17 8.414837e-19
8.322800e+01 5.747000e-17 7.216613e-19
8.332800e+01 4.883126e-17 6.561534e-19
8.342800e+01 4.476333e-17 6.020868e-19
8.352800e+01 4.218785e-17 4.975760e-19
8.362800e+01 4.333861e-17 4.884219e-19
8.372800e+01 4.628189e-17 5.590478e-19
8.382800e+01 4.893653e-17 5.702838e-19
8.392800e+01 5.371380e-17 5.174470e-19
8.402800e+01 5.867537e-17 4.645539e-19
8.412800e+01 6.290667e-17 4.711166e-19
8.422800e+01 6.211333e-17 4.647210e-19
8.432800e+01 5.514313e-17 4.244095e-19
8.442800e+01 4.759444e-17 4.011779e-19
8.452800e+01 4.251961e-17 3.758933e-19
8.462800e+01 4.100337e-17 3.499668e-19
8.472800e+01 4.107877e-17 2.940915e-19
8.482800e+01 4.229622e-17 2.105548e-19
8.492800e+01 4.438333e-17 1.736463e-19
8.502800e+01 4.649000e-17 1.802389e-19
8.512800e+01 5.004439e-17 2.063308e-19
8.522800e+01 5.267037e-17 1.896273e-19
8.532800e+01 5.335890e-17 1.477385e-19
8.542800e+01 4.935333e-17 1.263653e-19
8.552800e+01 4.525133e-17 1.296976e-19
8.562800e+01 4.032241e-17 1.661721e-19
8.572800e+01 3.806169e-17 2.273558e-19
8.582800e+01 3.623048e-17 2.311675e-19
8.592800e+01 3.664154e-17 1.976724e-19
8.602800e+01 3.699333e-17 1.549095e-19
8.612800e+01 3.741000e-17 9.688310e-20
8.622800e+01 3.864762e-17 1.022572e-19
8.632800e+01 3.887857e-17 3.355375e-19
8.642800e+01 3.766763e-17 5.525292e-19
8.652800e+01 3.644333e-17 1.271827e-18
8.662800e+01 3.526847e-17 2.736438e-18
8.672800e+01 3.576612e-17 3.313844e-18
8.682800e+01 3.642553e-17 3.502540e-18
8.692800e+01 3.761000e-17 4.296606e-18
8.702800e+01 3.867070e-17 4.462431e-18
8.712800e+01 3.896014e-17 4.190225e-18
8.722800e+01 3.837628e-17 3.263965e-18
8.732800e+01 3.689023e-17 2.413722e-18
8.742800e+01 3.524483e-17 3.713041e-18
8.752800e+01 3.413349e-17 5.141380e-18
8.762800e+01 3.298812e-17 5.443940e-18
8.772800e+01 3.280667e-17 6.313233e-18
8.782800e+01 3.359931e-17 7.855244e-18
8.792800e+01 3.462103e-17 7.473352e-18
8.802800e+01 3.626659e-17 7.779921e-18
8.812800e+01 3.720000e-17 7.179359e-18
8.822800e+01 3.617307e-17 4.822548e-18
