# HCl photoabsorption / dissociation / ionisation cross sections.
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Created: Alan Heays 2015-09-03
# references: brion2005 10.1016/j.elspec.2005.01.010, bahou2001 http://stacks.iop.org/1538-4357/559/i=2/a=L179, frohlich1990daviel1984,
# no info on lines
# wavelength: (nm)
# Photoabsorption cross section (cm2)
# Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
4.428000e+00 2.307324e-18 2.307324e-18
4.528000e+00 2.305379e-18 2.305379e-18
4.628000e+00 2.281702e-18 2.281702e-18
4.728000e+00 2.313348e-18 2.313348e-18
4.828000e+00 2.358046e-18 2.358046e-18
4.928000e+00 2.408064e-18 2.408064e-18
5.028000e+00 2.465748e-18 2.465748e-18
5.128000e+00 2.508126e-18 2.508126e-18
5.228000e+00 2.569048e-18 2.569048e-18
5.328000e+00 2.604206e-18 2.604206e-18
5.428000e+00 2.668858e-18 2.668858e-18
5.528000e+00 2.748066e-18 2.748066e-18
5.628000e+00 2.758553e-18 2.758553e-18
5.728000e+00 2.659675e-18 2.659675e-18
5.828000e+00 2.384279e-18 2.384279e-18
5.928000e+00 1.815866e-18 1.815866e-18
6.028000e+00 1.061775e-18 1.061775e-18
6.128000e+00 5.799425e-19 5.799425e-19
6.228000e+00 4.021704e-19 4.021704e-19
6.328000e+00 3.465000e-19 3.465000e-19
6.428000e+00 3.539769e-19 3.539769e-19
6.528000e+00 3.646835e-19 3.646835e-19
6.628000e+00 3.791099e-19 3.791099e-19
6.728000e+00 3.852674e-19 3.852674e-19
6.828000e+00 3.876646e-19 3.876646e-19
6.928000e+00 3.906701e-19 3.906701e-19
7.028000e+00 3.972522e-19 3.972522e-19
7.128000e+00 4.083360e-19 4.083360e-19
7.228000e+00 4.266706e-19 4.266706e-19
7.328000e+00 4.363046e-19 4.363046e-19
7.428000e+00 4.358371e-19 4.358371e-19
7.528000e+00 4.463473e-19 4.463473e-19
7.628000e+00 4.485118e-19 4.485118e-19
7.728000e+00 4.622156e-19 4.622156e-19
7.828000e+00 4.683378e-19 4.683378e-19
7.928000e+00 4.729099e-19 4.729099e-19
8.028000e+00 5.032592e-19 5.032592e-19
8.128000e+00 5.053075e-19 5.053075e-19
8.228000e+00 5.152761e-19 5.152761e-19
8.328000e+00 5.256982e-19 5.256982e-19
8.428000e+00 5.359730e-19 5.359730e-19
8.528000e+00 5.486390e-19 5.486390e-19
8.628000e+00 5.561496e-19 5.561496e-19
8.728000e+00 5.530917e-19 5.530917e-19
8.828000e+00 5.701496e-19 5.701496e-19
8.928000e+00 5.834812e-19 5.834812e-19
9.028000e+00 5.960333e-19 5.960333e-19
9.128000e+00 6.076270e-19 6.076270e-19
9.228000e+00 6.036854e-19 6.036854e-19
9.328000e+00 6.119679e-19 6.119679e-19
9.428000e+00 6.258090e-19 6.258090e-19
9.528000e+00 6.424062e-19 6.424062e-19
9.628000e+00 6.468926e-19 6.468926e-19
9.728000e+00 6.528909e-19 6.528909e-19
9.828000e+00 6.626312e-19 6.626312e-19
9.928000e+00 6.825623e-19 6.825623e-19
1.002800e+01 6.981067e-19 6.981067e-19
1.012800e+01 6.995091e-19 6.995091e-19
1.022800e+01 7.058462e-19 7.058462e-19
1.032800e+01 7.148402e-19 7.148402e-19
1.042800e+01 7.176686e-19 7.176686e-19
1.052800e+01 7.234707e-19 7.234707e-19
1.062800e+01 7.414265e-19 7.414265e-19
1.072800e+01 7.544979e-19 7.544979e-19
1.082800e+01 7.602426e-19 7.602426e-19
1.092800e+01 7.681196e-19 7.681196e-19
1.102800e+01 7.779649e-19 7.779649e-19
1.112800e+01 7.854473e-19 7.854473e-19
1.122800e+01 7.912184e-19 7.912184e-19
1.132800e+01 7.988818e-19 7.988818e-19
1.142800e+01 8.079727e-19 8.079727e-19
1.152800e+01 8.161728e-19 8.161728e-19
1.162800e+01 8.234078e-19 8.234078e-19
1.172800e+01 8.297916e-19 8.297916e-19
1.182800e+01 8.342804e-19 8.342804e-19
1.192800e+01 8.392236e-19 8.392236e-19
1.202800e+01 8.512837e-19 8.512837e-19
1.212800e+01 8.633438e-19 8.633438e-19
1.222800e+01 8.754021e-19 8.754021e-19
1.232800e+01 8.874597e-19 8.874597e-19
1.242800e+01 8.971332e-19 8.971332e-19
1.252800e+01 9.012439e-19 9.012439e-19
1.262800e+01 9.053545e-19 9.053545e-19
1.272800e+01 9.127750e-19 9.127750e-19
1.282800e+01 9.211841e-19 9.211841e-19
1.292800e+01 9.299418e-19 9.299418e-19
1.302800e+01 9.410327e-19 9.410327e-19
1.312800e+01 9.521236e-19 9.521236e-19
1.322800e+01 9.608139e-19 9.608139e-19
1.332800e+01 9.655875e-19 9.655875e-19
1.342800e+01 9.703610e-19 9.703610e-19
1.352800e+01 9.768448e-19 9.768448e-19
1.362800e+01 9.849719e-19 9.849719e-19
1.372800e+01 9.930990e-19 9.930990e-19
1.382800e+01 9.989936e-19 9.989936e-19
1.392800e+01 1.002827e-18 1.002827e-18
1.402800e+01 1.006661e-18 1.006661e-18
1.412800e+01 1.011854e-18 1.011854e-18
1.422800e+01 1.019171e-18 1.019171e-18
1.432800e+01 1.026488e-18 1.026488e-18
1.442800e+01 1.033898e-18 1.033898e-18
1.452800e+01 1.042061e-18 1.042061e-18
1.462800e+01 1.050224e-18 1.050224e-18
1.472800e+01 1.058388e-18 1.058388e-18
1.482800e+01 1.065911e-18 1.065911e-18
1.492800e+01 1.073133e-18 1.073133e-18
1.502800e+01 1.080356e-18 1.080356e-18
1.512800e+01 1.087339e-18 1.087339e-18
1.522800e+01 1.091571e-18 1.091571e-18
1.532800e+01 1.095804e-18 1.095804e-18
1.542800e+01 1.100037e-18 1.100037e-18
1.552800e+01 1.104837e-18 1.104837e-18
1.562800e+01 1.110959e-18 1.110959e-18
1.572800e+01 1.111448e-18 1.111448e-18
1.582800e+01 1.101000e-18 1.101000e-18
