# HNC cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-06-19
# References: aguado2017 10.3847/1538-4357/aa63ee, ma_dongxia2008 10.1002/qua.21427
# no info on lines
# wavelength: (nm)
# photoabsorption:   Photoabsorption cross section (cm2)
# photodissociation: Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
9.117770e+01 1.306054e-17 1.460250e-18
9.127770e+01 1.363627e-17 2.035980e-18
9.137770e+01 1.421200e-17 2.611710e-18
9.147770e+01 1.478773e-17 3.187440e-18
9.157770e+01 1.532110e-17 3.720815e-18
9.167770e+01 1.557351e-17 3.973217e-18
9.177770e+01 1.582591e-17 4.225619e-18
9.187770e+01 1.566447e-17 4.064177e-18
9.197770e+01 1.498897e-17 3.388678e-18
9.207770e+01 1.431347e-17 2.713178e-18
9.217770e+01 1.435039e-17 2.750101e-18
9.227770e+01 1.463245e-17 3.032158e-18
9.237770e+01 1.492316e-17 3.322874e-18
9.247770e+01 1.552591e-17 3.925617e-18
9.257770e+01 1.612865e-17 4.528361e-18
9.267770e+01 1.646772e-17 4.867431e-18
9.277770e+01 1.617056e-17 4.570267e-18
9.287770e+01 1.587339e-17 4.273104e-18
9.297770e+01 1.621163e-17 4.611335e-18
9.307770e+01 1.708462e-17 5.484329e-18
9.317770e+01 1.795761e-17 6.357322e-18
9.327770e+01 1.943631e-17 7.836018e-18
9.337770e+01 2.108884e-17 9.488552e-18
9.347770e+01 2.274137e-17 1.114108e-17
9.357770e+01 2.171734e-17 1.011705e-17
9.367770e+01 2.067715e-17 9.076855e-18
9.377770e+01 1.951468e-17 7.914395e-18
9.387770e+01 1.784748e-17 6.247190e-18
9.397770e+01 1.618027e-17 4.579984e-18
9.407770e+01 1.543168e-17 3.831388e-18
9.417770e+01 1.618824e-17 4.587954e-18
9.427770e+01 1.694481e-17 5.344519e-18
9.437770e+01 1.715639e-17 5.556098e-18
9.447770e+01 1.691481e-17 5.314519e-18
9.457770e+01 1.667323e-17 5.072940e-18
9.467770e+01 2.309967e-17 1.149938e-17
9.477770e+01 3.243858e-17 2.083829e-17
9.487770e+01 4.177750e-17 3.017721e-17
9.497770e+01 3.732791e-17 2.572762e-17
9.507770e+01 3.001405e-17 1.841376e-17
9.517770e+01 2.270018e-17 1.109989e-17
9.527770e+01 1.985593e-17 8.255636e-18
9.537770e+01 1.728184e-17 5.681549e-18
9.547770e+01 1.492004e-17 3.319746e-18
9.557770e+01 1.752360e-17 5.923306e-18
9.567770e+01 2.012716e-17 8.526867e-18
9.577770e+01 2.235910e-17 1.075882e-17
9.587770e+01 2.186589e-17 1.026562e-17
9.597770e+01 2.137267e-17 9.772432e-18
9.607770e+01 2.099662e-17 9.396429e-18
9.617770e+01 2.114722e-17 9.547140e-18
9.627770e+01 2.129782e-17 9.697850e-18
9.637770e+01 2.613493e-17 1.453509e-17
9.647770e+01 4.702229e-17 3.542265e-17
9.657770e+01 6.790965e-17 5.631022e-17
9.667770e+01 7.838672e-17 6.678828e-17
9.677770e+01 5.779881e-17 4.620375e-17
9.687770e+01 3.721090e-17 2.561922e-17
9.697770e+01 2.413825e-17 1.255067e-17
9.707770e+01 3.267923e-17 2.109783e-17
9.717770e+01 4.122022e-17 2.964499e-17
9.727770e+01 4.542858e-17 3.385873e-17
9.737770e+01 3.642858e-17 2.486170e-17
9.747770e+01 2.742857e-17 1.586467e-17
9.757770e+01 2.089729e-17 9.336371e-18
9.767770e+01 2.332657e-17 1.176864e-17
9.777770e+01 2.575584e-17 1.420092e-17
9.787770e+01 3.498257e-17 2.343435e-17
9.797770e+01 7.811515e-17 6.659210e-17
9.807770e+01 1.212477e-16 1.097499e-16
9.817770e+01 1.569232e-16 1.454510e-16
9.827770e+01 1.247310e-16 1.132894e-16
9.837770e+01 9.253886e-17 8.112782e-17
9.847770e+01 6.064426e-17 4.926351e-17
9.857770e+01 5.550146e-17 4.412768e-17
9.867770e+01 5.035867e-17 3.899186e-17
9.877770e+01 4.521587e-17 3.385604e-17
9.887770e+01 4.735406e-17 3.600779e-17
9.897770e+01 5.026545e-17 3.893343e-17
9.907770e+01 5.317685e-17 4.185908e-17
9.917770e+01 4.615815e-17 3.487186e-17
9.927770e+01 3.628951e-17 2.503964e-17
9.937770e+01 2.642086e-17 1.520742e-17
9.947770e+01 2.251841e-17 1.133318e-17
9.957770e+01 2.211992e-17 1.095806e-17
9.967770e+01 2.172142e-17 1.058294e-17
9.977770e+01 5.390015e-17 4.277675e-17
9.987770e+01 1.238628e-16 1.127449e-16
9.997770e+01 1.938255e-16 1.827131e-16
1.000777e+02 2.261591e-16 2.150711e-16
1.001777e+02 1.597844e-16 1.487708e-16
1.002777e+02 9.340969e-17 8.247056e-17
1.003777e+02 3.340559e-17 2.254375e-17
1.004777e+02 5.935865e-17 4.861252e-17
1.005777e+02 8.531170e-17 7.468129e-17
1.006777e+02 1.112648e-16 1.007501e-16
1.007777e+02 9.423597e-17 8.377448e-17
1.008777e+02 6.908100e-17 5.866091e-17
1.009777e+02 4.392603e-17 3.354734e-17
1.010777e+02 4.308571e-17 3.275290e-17
1.011777e+02 5.900278e-17 4.871896e-17
1.012777e+02 7.491985e-17 6.468501e-17
1.013777e+02 7.981236e-17 6.968230e-17
1.014777e+02 6.149168e-17 5.158385e-17
1.015777e+02 4.317100e-17 3.348540e-17
1.016777e+02 2.556253e-17 1.609807e-17
1.017777e+02 3.021653e-17 2.093900e-17
1.018777e+02 3.487053e-17 2.577993e-17
1.019777e+02 3.952452e-17 3.062086e-17
1.020777e+02 6.334432e-17 5.450997e-17
1.021777e+02 9.469163e-17 8.588039e-17
1.022777e+02 1.260389e-16 1.172508e-16
1.023777e+02 1.813621e-16 1.725922e-16
1.024777e+02 2.751463e-16 2.663869e-16
1.025777e+02 3.689306e-16 3.601816e-16
1.026777e+02 4.564196e-16 4.476810e-16
1.027777e+02 3.253726e-16 3.166455e-16
1.028777e+02 1.943255e-16 1.856100e-16
1.029777e+02 6.327841e-17 5.457443e-17
1.030777e+02 1.878955e-17 1.009151e-17
1.031777e+02 2.090896e-17 1.221382e-17
1.032777e+02 2.302838e-17 1.433614e-17
1.033777e+02 2.446832e-17 1.580888e-17
1.034777e+02 2.385896e-17 1.532247e-17
1.035777e+02 2.324960e-17 1.483605e-17
1.036777e+02 2.264024e-17 1.434964e-17
1.037777e+02 2.365512e-17 1.622597e-17
1.038777e+02 2.501216e-17 1.860003e-17
1.039777e+02 2.636919e-17 2.097408e-17
1.040777e+02 2.799468e-17 2.375327e-17
1.041777e+02 3.005817e-17 2.719345e-17
1.042777e+02 3.212166e-17 3.063364e-17
1.043777e+02 3.418515e-17 3.407382e-17
1.044777e+02 2.657445e-17 2.658273e-171
1.045777e+02 1.801864e-17 1.802371e-171
1.046777e+02 9.462827e-18 9.464691e-181
1.047777e+02 4.369383e-18 4.369383e-18
1.048777e+02 4.076979e-18 4.076979e-18
1.049777e+02 3.784575e-18 3.784575e-18
1.050777e+02 3.492171e-18 3.492171e-18
1.051777e+02 3.917224e-18 3.917224e-18
1.052777e+02 4.418467e-18 4.418467e-18
