# HNC cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-06-19
# References: aguado2017 10.3847/1538-4357/aa63ee, ma_dongxia2008 10.1002/qua.21427
# no info on lines
# wavelength: (nm)
# photoabsorption:   Photoabsorption cross section (cm2)
# photoionisation:   Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
9.117770e+01 1.306054e-17 1.160029e-17
9.127770e+01 1.363627e-17 1.160029e-17
9.137770e+01 1.421200e-17 1.160029e-17
9.147770e+01 1.478773e-17 1.160029e-17
9.157770e+01 1.532110e-17 1.160029e-17
9.167770e+01 1.557351e-17 1.160029e-17
9.177770e+01 1.582591e-17 1.160029e-17
9.187770e+01 1.566447e-17 1.160029e-17
9.197770e+01 1.498897e-17 1.160029e-17
9.207770e+01 1.431347e-17 1.160029e-17
9.217770e+01 1.435039e-17 1.160029e-17
9.227770e+01 1.463245e-17 1.160029e-17
9.237770e+01 1.492316e-17 1.160029e-17
9.247770e+01 1.552591e-17 1.160029e-17
9.257770e+01 1.612865e-17 1.160029e-17
9.267770e+01 1.646772e-17 1.160029e-17
9.277770e+01 1.617056e-17 1.160029e-17
9.287770e+01 1.587339e-17 1.160029e-17
9.297770e+01 1.621163e-17 1.160029e-17
9.307770e+01 1.708462e-17 1.160029e-17
9.317770e+01 1.795761e-17 1.160029e-17
9.327770e+01 1.943631e-17 1.160029e-17
9.337770e+01 2.108884e-17 1.160029e-17
9.347770e+01 2.274137e-17 1.160029e-17
9.357770e+01 2.171734e-17 1.160029e-17
9.367770e+01 2.067715e-17 1.160029e-17
9.377770e+01 1.951468e-17 1.160029e-17
9.387770e+01 1.784748e-17 1.160029e-17
9.397770e+01 1.618027e-17 1.160029e-17
9.407770e+01 1.543168e-17 1.160029e-17
9.417770e+01 1.618824e-17 1.160029e-17
9.427770e+01 1.694481e-17 1.160029e-17
9.437770e+01 1.715639e-17 1.160029e-17
9.447770e+01 1.691481e-17 1.160029e-17
9.457770e+01 1.667323e-17 1.160029e-17
9.467770e+01 2.309967e-17 1.160029e-17
9.477770e+01 3.243858e-17 1.160029e-17
9.487770e+01 4.177750e-17 1.160029e-17
9.497770e+01 3.732791e-17 1.160029e-17
9.507770e+01 3.001405e-17 1.160029e-17
9.517770e+01 2.270018e-17 1.160029e-17
9.527770e+01 1.985593e-17 1.160029e-17
9.537770e+01 1.728184e-17 1.160029e-17
9.547770e+01 1.492004e-17 1.160029e-17
9.557770e+01 1.752360e-17 1.160029e-17
9.567770e+01 2.012716e-17 1.160029e-17
9.577770e+01 2.235910e-17 1.160029e-17
9.587770e+01 2.186589e-17 1.160026e-17
9.597770e+01 2.137267e-17 1.160024e-17
9.607770e+01 2.099662e-17 1.160019e-17
9.617770e+01 2.114722e-17 1.160008e-17
9.627770e+01 2.129782e-17 1.159997e-17
9.637770e+01 2.613493e-17 1.159984e-17
9.647770e+01 4.702229e-17 1.159964e-17
9.657770e+01 6.790965e-17 1.159944e-17
9.667770e+01 7.838672e-17 1.159844e-17
9.677770e+01 5.779881e-17 1.159506e-17
9.687770e+01 3.721090e-17 1.159168e-17
9.697770e+01 2.413825e-17 1.158758e-17
9.707770e+01 3.267923e-17 1.158141e-17
9.717770e+01 4.122022e-17 1.157523e-17
9.727770e+01 4.542858e-17 1.156985e-17
9.737770e+01 3.642858e-17 1.156687e-17
9.747770e+01 2.742857e-17 1.156390e-17
9.757770e+01 2.089729e-17 1.156092e-17
9.767770e+01 2.332657e-17 1.155793e-17
9.777770e+01 2.575584e-17 1.155493e-17
9.787770e+01 3.498257e-17 1.154823e-17
9.797770e+01 7.811515e-17 1.152304e-17
9.807770e+01 1.212477e-16 1.149786e-17
9.817770e+01 1.569232e-16 1.147215e-17
9.827770e+01 1.247310e-16 1.144160e-17
9.837770e+01 9.253886e-17 1.141105e-17
9.847770e+01 6.064426e-17 1.138075e-17
9.857770e+01 5.550146e-17 1.137378e-17
9.867770e+01 5.035867e-17 1.136681e-17
9.877770e+01 4.521587e-17 1.135983e-17
9.887770e+01 4.735406e-17 1.134628e-17
9.897770e+01 5.026545e-17 1.133202e-17
9.907770e+01 5.317685e-17 1.131777e-17
9.917770e+01 4.615815e-17 1.128629e-17
9.927770e+01 3.628951e-17 1.124986e-17
9.937770e+01 2.642086e-17 1.121344e-17
9.947770e+01 2.251841e-17 1.118524e-17
9.957770e+01 2.211992e-17 1.116186e-17
9.967770e+01 2.172142e-17 1.113848e-17
9.977770e+01 5.390015e-17 1.112340e-17
9.987770e+01 1.238628e-16 1.111794e-17
9.997770e+01 1.938255e-16 1.111248e-17
1.000777e+02 2.261591e-16 1.108798e-17
1.001777e+02 1.597844e-16 1.101355e-17
1.002777e+02 9.340969e-17 1.093913e-17
1.003777e+02 3.340559e-17 1.086185e-17
1.004777e+02 5.935865e-17 1.074613e-17
1.005777e+02 8.531170e-17 1.063041e-17
1.006777e+02 1.112648e-16 1.051469e-17
1.007777e+02 9.423597e-17 1.046148e-17
1.008777e+02 6.908100e-17 1.042009e-17
1.009777e+02 4.392603e-17 1.037869e-17
1.010777e+02 4.308571e-17 1.033280e-17
1.011777e+02 5.900278e-17 1.028382e-17
1.012777e+02 7.491985e-17 1.023483e-17
1.013777e+02 7.981236e-17 1.013006e-17
1.014777e+02 6.149168e-17 9.907831e-18
1.015777e+02 4.317100e-17 9.685597e-18
1.016777e+02 2.556253e-17 9.464457e-18
1.017777e+02 3.021653e-17 9.277527e-18
1.018777e+02 3.487053e-17 9.090597e-18
1.019777e+02 3.952452e-17 8.903667e-18
1.020777e+02 6.334432e-17 8.834355e-18
1.021777e+02 9.469163e-17 8.811239e-18
1.022777e+02 1.260389e-16 8.788123e-18
1.023777e+02 1.813621e-16 8.769887e-18
1.024777e+02 2.751463e-16 8.759480e-18
1.025777e+02 3.689306e-16 8.749073e-18
1.026777e+02 4.564196e-16 8.738633e-18
1.027777e+02 3.253726e-16 8.727081e-18
1.028777e+02 1.943255e-16 8.715528e-18
1.029777e+02 6.327841e-17 8.703975e-18
1.030777e+02 1.878955e-17 8.698044e-18
1.031777e+02 2.090896e-17 8.695141e-18
1.032777e+02 2.302838e-17 8.692237e-18
1.033777e+02 2.446832e-17 8.659442e-18
1.034777e+02 2.385896e-17 8.536495e-18
1.035777e+02 2.324960e-17 8.413548e-18
1.036777e+02 2.264024e-17 8.290601e-18
1.037777e+02 2.365512e-17 7.429149e-18
1.038777e+02 2.501216e-17 6.412127e-18
1.039777e+02 2.636919e-17 5.395106e-18
1.040777e+02 2.799468e-17 4.241409e-18
1.041777e+02 3.005817e-17 2.864714e-18
1.042777e+02 3.212166e-17 1.488020e-18
1.043777e+02 3.418515e-17 1.113254e-19
