# Mg photoionisation cross section
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: yih1998, mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, TOPbase_database,
# no info on lines
# wavelength: (nm)
# photoabsorption -- Photoabsorption cross section (cm2)
# photoionisation -- Photoionisation cross section (cm2)
# Mg+: Mg + hnu -> Mg+ + e- cross section (cm2)
# wavelength   photoabsorption   photoionisation
   8.0881000       3.05065e-21       3.05065e-21
   8.2515000       3.23861e-21       3.23861e-21
   8.4182000       3.43910e-21       3.43910e-21
   8.5883000       3.65212e-21       3.65212e-21
   8.7618000       3.87767e-21       3.87767e-21
   8.9388000       4.11689e-21       4.11689e-21
   9.1194000       4.37206e-21       4.37206e-21
   9.3036000       4.64204e-21       4.64204e-21
   9.4915000       4.92911e-21       4.92911e-21
   9.6833000       5.23440e-21       5.23440e-21
   9.8789000       5.55792e-21       5.55792e-21
  10.0785000       5.90194e-21       5.90194e-21
  10.2820000       6.26647e-21       6.26647e-21
  10.4898000       6.65378e-21       6.65378e-21
  10.7017000       7.06501e-21       7.06501e-21
  10.9179000       7.50245e-21       7.50245e-21
  11.1384000       7.96608e-21       7.96608e-21
  11.3634000       8.45933e-21       8.45933e-21
  11.5930000       8.98220e-21       8.98220e-21
  11.8272000       9.53697e-21       9.53697e-21
  12.0661000       1.01271e-20       1.01271e-20
  12.3098000       1.07536e-20       1.07536e-20
  12.5585000       1.14143e-20       1.14143e-20
  12.8122000       1.21206e-20       1.21206e-20
  13.0710000       1.28724e-20       1.28724e-20
  13.3351000       1.36698e-20       1.36698e-20
  13.6045000       1.45128e-20       1.45128e-20
  13.8793000       1.54127e-20       1.54127e-20
  14.1597000       1.63696e-20       1.63696e-20
  14.4457000       1.73834e-20       1.73834e-20
  14.7376000       1.84542e-20       1.84542e-20
  15.0353000       1.95934e-20       1.95934e-20
  15.3390000       2.08009e-20       2.08009e-20
  15.6489000       2.20881e-20       2.20881e-20
  15.9650000       2.34551e-20       2.34551e-20
  16.2875000       2.49132e-20       2.49132e-20
  16.6165000       2.64511e-20       2.64511e-20
  16.9522000       2.80801e-20       2.80801e-20
  17.2947000       2.98230e-20       2.98230e-20
  17.6441000       3.16684e-20       3.16684e-20
  18.0005000       3.36277e-20       3.36277e-20
  18.3641000       3.57010e-20       3.57010e-20
  18.7351000       3.79109e-20       3.79109e-20
  19.1136000       4.02576e-20       4.02576e-20
  19.4997000       4.27409e-20       4.27409e-20
  19.8936000       4.53838e-20       4.53838e-20
  20.2955000       4.81975e-20       4.81975e-20
  20.7055000       5.11707e-20       5.11707e-20
  21.1238000       5.43375e-20       5.43375e-20
  21.5505000       5.76980e-20       5.76980e-20
  21.9858000       6.12635e-20       6.12635e-20
  22.4300000       6.50569e-20       6.50569e-20
  22.8831000       6.90781e-20       6.90781e-20
  23.3454000       7.33499e-20       7.33499e-20
  23.8170000       7.78837e-20       7.78837e-20
  24.2981000       8.27024e-20       8.27024e-20
  24.7890000       8.78171e-20       8.78171e-20
  25.2897000       9.32509e-20       9.32509e-20
  25.8006000       9.90150e-20       9.90150e-20
  26.3219000       1.05132e-19       1.05132e-19
  26.8536000       1.11637e-19       1.11637e-19
  27.3961000       1.18586e-19       1.18586e-19
  27.9495000       1.25876e-19       1.25876e-19
  28.5141000       1.33622e-19       1.33622e-19
  29.0901000       1.41938e-19       1.41938e-19
  29.6778000       1.50710e-19       1.50710e-19
  30.2773000       1.60051e-19       1.60051e-19
  30.8890000       1.69847e-19       1.69847e-19
  31.5130000       1.80441e-19       1.80441e-19
  32.1496000       1.91605e-19       1.91605e-19
  32.7990000       2.03452e-19       2.03452e-19
  33.4616000       2.15983e-19       2.15983e-19
  34.1376000       2.29311e-19       2.29311e-19
  34.8272000       2.43550e-19       2.43550e-19
  35.5308000       2.58587e-19       2.58587e-19
  38.3876000       2.75447e-19       2.75447e-19
  43.6524000       2.82623e-19       2.82623e-19
  50.5908000       3.09735e-19       3.09735e-19
  64.4000000       2.73624e-19       2.73624e-19
  64.4035000       2.76244e-19       2.76244e-19
  64.4105000       2.65878e-19       2.65878e-19
  64.4174000       2.66561e-19       2.66561e-19
  64.4314000       2.75902e-19       2.75902e-19
  64.4362000       2.71232e-19       2.71232e-19
  64.4521000       2.66561e-19       2.66561e-19
  64.4699000       2.76130e-19       2.76130e-19
  64.4755000       2.71460e-19       2.71460e-19
  64.4950000       2.66903e-19       2.66903e-19
  64.5181000       2.75333e-19       2.75333e-19
  64.5254000       2.71801e-19       2.71801e-19
  64.5509000       2.66447e-19       2.66447e-19
  64.5811000       2.75219e-19       2.75219e-19
  64.5913000       2.69865e-19       2.69865e-19
  64.6144000       2.70093e-19       2.70093e-19
  64.6180000       2.90711e-19       2.90711e-19
  64.6198000       2.69523e-19       2.69523e-19
  64.6288000       2.61435e-19       2.61435e-19
  64.6473000       2.69979e-19       2.69979e-19
  64.6576000       2.69295e-19       2.69295e-19
  64.6664000       2.77497e-19       2.77497e-19
  64.6736000       2.67814e-19       2.67814e-19
  64.6902000       2.71346e-19       2.71346e-19
  64.6940000       2.94015e-19       2.94015e-19
  64.6954000       2.70434e-19       2.70434e-19
  64.7173000       2.63827e-19       2.63827e-19
  64.7478000       2.76472e-19       2.76472e-19
  64.7710000       2.62916e-19       2.62916e-19
  64.7786000       2.77497e-19       2.77497e-19
  64.7893000       2.68726e-19       2.68726e-19
  64.8145000       2.72257e-19       2.72257e-19
  64.8193000       2.92648e-19       2.92648e-19
