# Mg photoionisation cross section - reduced to   101points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: yih1998, mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, TOPbase_database,                                                                                                                                                                                                                                                                                                                                                                                                              
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
# photoionisation -- Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
# Mg+: Mg + hnu -> Mg+ + e- cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# wavelength   photoabsorption   photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9.878900E+00 5.557920E-21 5.557920E-21
1.230980E+01 1.075360E-20 1.075360E-20
1.533900E+01 2.080090E-20 2.080090E-20
1.911360E+01 4.025760E-20 4.025760E-20
2.381700E+01 7.788370E-20 7.788370E-20
2.967780E+01 1.507100E-19 1.507100E-19
4.365240E+01 2.826230E-19 2.826230E-19
6.449500E+01 2.669030E-19 2.669030E-19
6.465760E+01 2.692950E-19 2.692950E-19
6.481450E+01 2.722570E-19 2.722570E-19
6.510780E+01 2.573340E-19 2.573340E-19
6.541030E+01 2.622330E-19 2.622330E-19
6.602340E+01 2.669030E-19 2.669030E-19
6.901400E+01 2.533470E-19 2.533470E-19
7.097380E+01 2.317030E-19 2.317030E-19
7.162080E+01 2.420700E-19 2.420700E-19
7.346250E+01 2.482210E-19 2.482210E-19
7.558340E+01 2.266910E-19 2.266910E-19
7.577130E+01 2.452590E-19 2.452590E-19
7.606650E+01 2.528910E-19 2.528910E-19
7.637310E+01 2.851290E-19 2.851290E-19
7.677160E+01 1.872760E-19 1.872760E-19
7.680860E+01 1.674550E-19 1.674550E-19
7.704650E+01 2.705480E-19 2.705480E-19
7.770480E+01 1.651770E-19 1.651770E-19
7.806300E+01 2.001490E-19 2.001490E-19
7.967570E+01 1.984400E-19 1.984400E-19
8.244960E+01 1.575450E-19 1.575450E-19
8.772090E+01 2.121100E-19 2.121100E-19
1.035230E+02 3.207850E-22 3.207850E-22
1.035496E+02 4.056520E-21 4.056520E-21
1.036243E+02 2.453730E-19 2.453730E-19
1.036974E+02 1.276990E-19 1.276990E-19
1.037612E+02 4.786710E-21 4.786710E-21
1.037964E+02 8.654130E-22 8.654130E-22
1.038330E+02 2.970910E-21 2.970910E-21
1.039364E+02 1.905800E-19 1.905800E-19
1.040386E+02 1.683660E-19 1.683660E-19
1.041376E+02 8.122150E-21 8.122150E-21
1.041880E+02 5.094280E-22 5.094280E-22
1.042456E+02 4.924550E-21 4.924550E-21
1.044019E+02 2.600680E-19 2.600680E-19
1.045599E+02 1.065680E-19 1.065680E-19
1.046824E+02 4.401680E-22 4.401680E-22
1.047580E+02 4.727480E-22 4.727480E-22
1.048598E+02 8.130120E-21 8.130120E-21
1.051097E+02 3.574660E-19 3.574660E-19
1.053594E+02 7.600410E-20 7.600410E-20
1.055346E+02 2.815980E-21 2.815980E-21
1.056564E+02 4.432440E-23 4.432440E-23
1.058966E+02 2.581320E-20 2.581320E-20
1.064012E+02 9.060810E-19 9.060810E-19
1.068188E+02 1.090850E-20 1.090850E-20
1.070430E+02 1.490010E-20 1.490010E-20
1.072638E+02 3.101910E-21 3.101910E-21
1.081357E+02 2.688400E-19 2.688400E-19
1.090293E+02 9.020940E-20 9.020940E-20
1.094835E+02 1.048020E-23 1.048020E-23
1.099060E+02 1.171050E-21 1.171050E-21
1.110219E+02 6.602520E-20 6.602520E-20
1.134212E+02 5.698030E-19 5.698030E-19
1.144271E+02 2.949260E-20 2.949260E-20
1.153937E+02 6.777950E-21 6.777950E-21
1.165928E+02 1.183580E-20 1.183580E-20
1.218460E+02 1.058140E-19 1.058140E-19
1.242580E+02 3.841380E-19 3.841380E-19
1.255430E+02 7.019010E-19 7.019010E-19
1.268290E+02 1.019660E-18 1.019660E-18
1.283120E+02 8.863540E-19 8.863540E-19
1.291260E+02 5.563220E-19 5.563220E-19
1.302470E+02 2.323220E-19 2.323220E-19
1.331630E+02 2.031080E-21 2.031080E-21
1.376200E+02 1.106750E-19 1.106750E-19
1.411570E+02 2.617690E-19 2.617690E-19
1.443870E+02 4.522410E-19 4.522410E-19
1.474630E+02 6.548340E-19 6.548340E-19
1.500270E+02 8.514110E-19 8.514110E-19
1.520800E+02 1.087380E-18 1.087380E-18
1.541840E+02 1.308210E-18 1.308210E-18
1.563390E+02 1.547200E-18 1.547200E-18
1.581860E+02 1.737780E-18 1.737780E-18
1.600340E+02 1.973760E-18 1.973760E-18
1.615230E+02 2.233990E-18 2.233990E-18
1.631770E+02 0.000000E+00 0.000000E+00
1.648660E+02 0.000000E+00 0.000000E+00
1.659940E+02 0.000000E+00 0.000000E+00
1.670180E+02 0.000000E+00 0.000000E+00
1.683030E+02 0.000000E+00 0.000000E+00
1.705010E+02 0.000000E+00 0.000000E+00
1.717800E+02 0.000000E+00 0.000000E+00
1.743930E+02 0.000000E+00 0.000000E+00
1.761850E+02 0.000000E+00 0.000000E+00
1.788990E+02 0.000000E+00 0.000000E+00
1.809990E+02 0.000000E+00 0.000000E+00
1.823860E+02 0.000000E+00 0.000000E+00
1.829580E+02 0.000000E+00 0.000000E+00
1.837140E+02 0.000000E+00 0.000000E+00
1.849430E+02 0.000000E+00 0.000000E+00
1.871450E+02 0.000000E+00 0.000000E+00
1.899110E+02 0.000000E+00 0.000000E+00
1.953390E+02 0.000000E+00 0.000000E+00
