# Mg photoionisation cross section - reduced to    56points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: yih1998, mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, TOPbase_database,                                                                                                                                                                                                                                                                                                                                                                                                              
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
# photoionisation -- Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
# Mg+: Mg + hnu -> Mg+ + e- cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# wavelength   photoabsorption   photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1.182720E+01 9.536970E-21 9.536970E-21
1.764410E+01 3.166840E-20 3.166840E-20
2.632190E+01 1.051320E-19 1.051320E-19
6.440350E+01 2.762440E-19 2.762440E-19
6.466640E+01 2.774970E-19 2.774970E-19
6.509970E+01 2.723710E-19 2.723710E-19
6.578440E+01 3.066590E-19 3.066590E-19
7.079150E+01 2.334120E-19 2.334120E-19
7.199850E+01 2.235010E-19 2.235010E-19
7.563690E+01 2.335260E-19 2.335260E-19
7.606650E+01 2.528910E-19 2.528910E-19
7.669280E+01 2.790920E-19 2.790920E-19
7.703390E+01 2.092620E-19 2.092620E-19
7.797560E+01 2.088060E-19 2.088060E-19
8.070560E+01 1.965040E-19 1.965040E-19
8.794440E+01 1.871620E-19 1.871620E-19
1.035471E+02 3.160000E-21 3.160000E-21
1.036800E+02 3.111020E-19 3.111020E-19
1.037802E+02 7.003500E-21 7.003500E-21
1.038674E+02 1.836310E-20 1.836310E-20
1.040594E+02 8.238340E-20 8.238340E-20
1.041880E+02 5.094280E-22 5.094280E-22
1.043745E+02 1.357870E-19 1.357870E-19
1.046492E+02 9.330780E-21 9.330780E-21
1.047937E+02 4.368640E-22 4.368640E-22
1.051893E+02 9.395720E-19 9.395720E-19
1.055454E+02 3.726160E-20 3.726160E-20
1.058465E+02 1.587980E-20 1.587980E-20
1.067128E+02 4.251310E-20 4.251310E-20
1.071615E+02 3.001660E-23 3.001660E-23
1.085284E+02 9.972130E-19 9.972130E-19
1.095576E+02 4.275230E-21 4.275230E-21
1.110219E+02 6.602520E-20 6.602520E-20
1.142633E+02 5.208200E-20 5.208200E-20
1.160731E+02 4.558880E-21 4.558880E-21
1.232300E+02 2.116630E-19 2.116630E-19
1.259030E+02 7.896640E-19 7.896640E-19
1.283630E+02 8.560770E-19 8.560770E-19
1.301450E+02 2.626030E-19 2.626030E-19
1.365950E+02 5.928900E-20 5.928900E-20
1.429000E+02 3.585090E-19 3.585090E-19
1.483860E+02 7.183360E-19 7.183360E-19
1.524390E+02 1.111570E-18 1.111570E-18
1.563390E+02 1.547200E-18 1.547200E-18
1.598280E+02 1.916260E-18 1.916260E-18
1.624620E+02 2.026390E-19 2.026390E-19
1.653280E+02 0.000000E+00 0.000000E+00
1.671200E+02 0.000000E+00 0.000000E+00
1.705530E+02 0.000000E+00 0.000000E+00
1.742390E+02 0.000000E+00 0.000000E+00
1.780800E+02 0.000000E+00 0.000000E+00
1.820750E+02 0.000000E+00 0.000000E+00
1.831520E+02 0.000000E+00 0.000000E+00
1.850480E+02 0.000000E+00 0.000000E+00
1.899110E+02 0.000000E+00 0.000000E+00
1.998460E+02 0.000000E+00 0.000000E+00
