# N2 cross sections - reduced to    60points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: heays2014a 10.1051/0004-6361/201322832, shaw_etal1992 DOI: 10.1016/0301-0104(92)80097-F, samson1987,                                                                                                                                                                                                                                                                                                                                                                                                  
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photodissociation -- Photodissociation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
6.378000E+01 2.476141E-17 0.000000E+00
6.438000E+01 2.460024E-17 0.000000E+00
6.538000E+01 2.516375E-17 0.000000E+00
6.598000E+01 2.480257E-17 1.232245E-19
6.658000E+01 2.474722E-17 2.735924E-19
6.718000E+01 2.685847E-17 6.361978E-19
6.778000E+01 2.331847E-17 5.979167E-19
6.838000E+01 2.509411E-17 7.392303E-19
6.898000E+01 2.176739E-17 6.015430E-19
6.958000E+01 3.193241E-17 9.342585E-19
7.018000E+01 2.354683E-17 6.418583E-19
7.078000E+01 2.484552E-17 6.873010E-19
7.138000E+01 2.468128E-17 7.340564E-19
7.198000E+01 2.725680E-17 2.103455E-18
7.258000E+01 3.236755E-17 3.274783E-18
7.318000E+01 2.141092E-17 2.854970E-18
7.378000E+01 2.470063E-17 4.475841E-18
7.438000E+01 2.910580E-17 6.947873E-18
7.498000E+01 2.986813E-17 1.503525E-17
7.558000E+01 2.283311E-17 8.255476E-18
7.618000E+01 2.537532E-17 1.341574E-17
7.678000E+01 2.451217E-17 1.082520E-17
7.738000E+01 2.107716E-17 1.022729E-17
7.798000E+01 1.895202E-17 8.782431E-18
7.858000E+01 2.229058E-17 9.616829E-18
7.918000E+01 6.419717E-17 2.595326E-17
7.978000E+01 1.092375E-17 1.074898E-17
8.038000E+01 1.622772E-17 1.622772E-17
8.098000E+01 9.624440E-18 9.624440E-18
8.158000E+01 1.194681E-17 1.194681E-17
8.218000E+01 1.392524E-17 1.392524E-17
8.278000E+01 5.840915E-18 5.840915E-18
8.338000E+01 1.447959E-17 1.447959E-17
8.398000E+01 1.832593E-17 1.833572E-17
8.458000E+01 3.726249E-19 3.726249E-19
8.518000E+01 2.044624E-19 2.044624E-19
8.578000E+01 2.815369E-17 2.815369E-17
8.638000E+01 2.019126E-17 2.019126E-17
8.698000E+01 1.983828E-18 1.983828E-18
8.758000E+01 7.684694E-17 7.684694E-17
8.818000E+01 6.197995E-17 6.197995E-17
8.878000E+01 3.450722E-17 3.450722E-17
8.938000E+01 4.542551E-18 4.542551E-18
8.998000E+01 9.609103E-18 9.609103E-18
9.058000E+01 7.319266E-18 7.319266E-18
9.118000E+01 3.726182E-17 3.726182E-17
9.178000E+01 5.003701E-18 5.003701E-18
9.238000E+01 2.463507E-17 2.463507E-17
9.298000E+01 6.804213E-17 6.804213E-17
9.358000E+01 1.372898E-18 1.372898E-18
9.418000E+01 6.061121E-17 6.061121E-17
9.478000E+01 1.826713E-20 1.826713E-20
9.538000E+01 1.234178E-20 1.234178E-20
9.598000E+01 3.087963E-16 2.056632E-16
9.658000E+01 2.446802E-16 2.420566E-16
9.718000E+01 1.522765E-16 1.522956E-16
9.778000E+01 2.134555E-19 2.134555E-19
9.838000E+01 4.923255E-23 4.923255E-23
9.898000E+01 7.484303E-20 1.364819E-21
9.958000E+01 9.900165E-23 9.900165E-23
