# Cross sections for NH+
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: NH+ P.D. CF. van Dishoeck (unpub)
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
9.120000e+01 2.000000e-18 2.000000e-18
9.130000e+01 1.977273e-18 1.977273e-18
9.140000e+01 1.954545e-18 1.954545e-18
9.150000e+01 1.931818e-18 1.931818e-18
9.160000e+01 1.909091e-18 1.909091e-18
9.170000e+01 1.886364e-18 1.886364e-18
9.180000e+01 1.863636e-18 1.863636e-18
9.190000e+01 1.840909e-18 1.840909e-18
9.200000e+01 1.818182e-18 1.818182e-18
9.210000e+01 1.799281e-18 1.799281e-18
9.220000e+01 1.795683e-18 1.795683e-18
9.230000e+01 1.792086e-18 1.792086e-18
9.240000e+01 1.788489e-18 1.788489e-18
9.250000e+01 1.784892e-18 1.784892e-18
9.260000e+01 1.781295e-18 1.781295e-18
9.270000e+01 1.777698e-18 1.777698e-18
9.280000e+01 1.774101e-18 1.774101e-18
9.290000e+01 1.770504e-18 1.770504e-18
9.300000e+01 1.766906e-18 1.766906e-18
9.310000e+01 1.763309e-18 1.763309e-18
9.320000e+01 1.759712e-18 1.759712e-18
9.330000e+01 1.756115e-18 1.756115e-18
9.340000e+01 1.752518e-18 1.752518e-18
9.350000e+01 1.747902e-18 1.747902e-18
9.360000e+01 1.740909e-18 1.740909e-18
9.370000e+01 1.733916e-18 1.733916e-18
9.380000e+01 1.726923e-18 1.726923e-18
9.390000e+01 1.719930e-18 1.719930e-18
9.400000e+01 1.712937e-18 1.712937e-18
9.410000e+01 1.705944e-18 1.705944e-18
9.420000e+01 1.698951e-18 1.698951e-18
9.430000e+01 1.691958e-18 1.691958e-18
9.440000e+01 1.684965e-18 1.684965e-18
9.450000e+01 1.677972e-18 1.677972e-18
9.460000e+01 1.670979e-18 1.670979e-18
9.470000e+01 1.663986e-18 1.663986e-18
9.480000e+01 1.656993e-18 1.656993e-18
9.490000e+01 1.650000e-18 1.650000e-18
