# NH2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: koch1997 10.1021/jp963020p, saxon1983 10.1063/1.444503, gibson1986 http://stacks.iop.org/0022-3700/19/i=18/a=013,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.000000e+02 1.307854e-17 3.727789e-47
1.001000e+02 1.290942e-17 1.842147e-46
1.002000e+02 1.305346e-17 7.181468e-46
1.003000e+02 1.319750e-17 2.761222e-45
1.004000e+02 1.334153e-17 1.047102e-44
1.005000e+02 1.348557e-17 3.916299e-44
1.006000e+02 1.361295e-17 1.444649e-43
1.007000e+02 1.363754e-17 5.255919e-43
1.008000e+02 1.356392e-17 1.885970e-42
1.009000e+02 1.347825e-17 6.674535e-42
1.010000e+02 1.339257e-17 2.329739e-41
1.011000e+02 1.330690e-17 8.020357e-41
1.012000e+02 1.330136e-17 2.723206e-40
1.013000e+02 1.364523e-17 9.119430e-40
1.014000e+02 1.432572e-17 3.012004e-39
1.015000e+02 1.387981e-17 9.811696e-39
1.016000e+02 1.206116e-17 3.152343e-38
1.017000e+02 1.122136e-17 9.989039e-38
1.018000e+02 1.161720e-17 3.121872e-37
1.019000e+02 1.262597e-17 9.622936e-37
1.020000e+02 1.419964e-17 2.925509e-36
1.021000e+02 1.290303e-17 8.771961e-36
1.022000e+02 1.046998e-17 2.594140e-35
1.023000e+02 9.998429e-18 7.566445e-35
1.024000e+02 9.724737e-18 2.176667e-34
1.025000e+02 9.568597e-18 6.175813e-34
1.026000e+02 9.735727e-18 1.728217e-33
1.027000e+02 1.018283e-17 4.769847e-33
1.028000e+02 1.233699e-17 1.298413e-32
1.029000e+02 1.516240e-17 3.485970e-32
1.030000e+02 1.345517e-17 9.230747e-32
1.031000e+02 1.013683e-17 2.410753e-31
1.032000e+02 8.976679e-18 6.209707e-31
1.033000e+02 8.106733e-18 1.577584e-30
1.034000e+02 7.632976e-18 3.952907e-30
1.035000e+02 7.423125e-18 9.768857e-30
1.036000e+02 7.285900e-18 2.381080e-29
1.037000e+02 7.465578e-18 5.724105e-29
