# NH2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: koch1997 10.1021/jp963020p, saxon1983 10.1063/1.444503, gibson1986 http://stacks.iop.org/0022-3700/19/i=18/a=013,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
7.500000e+01 2.626537e-17 2.626537e-17
7.510000e+01 2.666491e-17 2.666491e-17
7.520000e+01 2.674474e-17 2.674474e-17
7.530000e+01 2.682877e-17 2.682877e-17
7.540000e+01 2.691280e-17 2.691280e-17
7.550000e+01 2.699683e-17 2.699683e-17
7.560000e+01 2.706488e-17 2.706488e-17
7.570000e+01 2.703800e-17 2.703800e-17
7.580000e+01 2.692179e-17 2.692179e-17
7.590000e+01 2.679517e-17 2.679517e-17
7.600000e+01 2.666877e-17 2.666877e-17
7.610000e+01 2.671981e-17 2.671981e-17
7.620000e+01 2.693418e-17 2.693418e-17
7.630000e+01 2.690249e-17 2.690249e-17
7.640000e+01 2.663641e-17 2.663641e-17
7.650000e+01 2.636810e-17 2.636810e-17
7.660000e+01 2.609980e-17 2.609980e-17
7.670000e+01 2.583150e-17 2.583150e-17
7.680000e+01 2.558144e-17 2.558144e-17
7.690000e+01 2.545263e-17 2.545263e-17
7.700000e+01 2.546972e-17 2.546972e-17
7.710000e+01 2.554231e-17 2.554231e-17
7.720000e+01 2.562751e-17 2.562751e-17
7.730000e+01 2.571270e-17 2.571270e-17
7.740000e+01 2.579790e-17 2.579790e-17
7.750000e+01 2.588310e-17 2.588310e-17
7.760000e+01 2.596829e-17 2.596829e-17
7.770000e+01 2.593272e-17 2.593272e-17
7.780000e+01 2.563052e-17 2.563052e-17
7.790000e+01 2.518250e-17 2.518250e-17
7.800000e+01 2.473447e-17 2.473447e-17
7.810000e+01 2.428644e-17 2.428644e-17
7.820000e+01 2.383841e-17 2.383841e-17
7.830000e+01 2.339038e-17 2.339038e-17
7.840000e+01 2.294876e-17 2.294876e-17
7.850000e+01 2.262653e-17 2.262653e-17
7.860000e+01 2.211442e-17 2.211442e-17
7.870000e+01 2.124177e-17 2.124177e-17
7.880000e+01 2.068040e-17 2.068040e-17
7.890000e+01 2.048797e-17 2.048797e-17
7.900000e+01 2.030271e-17 2.030271e-17
7.910000e+01 2.035514e-17 2.035514e-17
7.920000e+01 2.043425e-17 2.043425e-17
7.930000e+01 2.016987e-17 2.016987e-17
7.940000e+01 1.996852e-17 1.996852e-17
7.950000e+01 1.997197e-17 1.997197e-17
7.960000e+01 1.997753e-17 1.997753e-17
7.970000e+01 1.998308e-17 1.998308e-17
7.980000e+01 1.998863e-17 1.998863e-17
7.990000e+01 1.999417e-17 1.999417e-17
8.000000e+01 1.999972e-17 1.999972e-17
8.010000e+01 1.992412e-17 1.992412e-17
8.020000e+01 1.967970e-17 1.967970e-17
8.030000e+01 1.933592e-17 1.933592e-17
8.040000e+01 1.925212e-17 1.925212e-17
8.050000e+01 1.923772e-17 1.923772e-17
8.060000e+01 1.909857e-17 1.909857e-17
8.070000e+01 1.902634e-17 1.902634e-17
8.080000e+01 1.896074e-17 1.896074e-17
8.090000e+01 1.896603e-17 1.896603e-17
8.100000e+01 1.875401e-17 1.875401e-17
8.110000e+01 1.841710e-17 1.841710e-17
8.120000e+01 1.832445e-17 1.832445e-17
8.130000e+01 1.832999e-17 1.832999e-17
8.140000e+01 1.833552e-17 1.833552e-17
8.150000e+01 1.834156e-17 1.834156e-17
8.160000e+01 1.825478e-17 1.825478e-17
8.170000e+01 1.802265e-17 1.802265e-17
8.180000e+01 1.804723e-17 1.804723e-17
8.190000e+01 1.817185e-17 1.817185e-17
8.200000e+01 1.800531e-17 1.800531e-17
8.210000e+01 1.779987e-17 1.779987e-17
8.220000e+01 1.768493e-17 1.768493e-17
8.230000e+01 1.770995e-17 1.770995e-17
8.240000e+01 1.773437e-17 1.773437e-17
8.250000e+01 1.766348e-17 1.766348e-17
8.260000e+01 1.761372e-17 1.761372e-17
8.270000e+01 1.753237e-17 1.753237e-17
8.280000e+01 1.738568e-17 1.738568e-17
8.290000e+01 1.722618e-17 1.722618e-17
8.300000e+01 1.706477e-17 1.706477e-17
8.310000e+01 1.711991e-17 1.711991e-17
8.320000e+01 1.772819e-17 1.772819e-17
8.330000e+01 1.851041e-17 1.851041e-17
8.340000e+01 1.882844e-17 1.882844e-17
8.350000e+01 1.884972e-17 1.884972e-17
8.360000e+01 1.892559e-17 1.892559e-17
8.370000e+01 1.891187e-17 1.891187e-17
8.380000e+01 1.878100e-17 1.878100e-17
8.390000e+01 1.877755e-17 1.877755e-17
8.400000e+01 1.877526e-17 1.877526e-17
8.410000e+01 1.864046e-17 1.864046e-17
8.420000e+01 1.848139e-17 1.848139e-17
8.430000e+01 1.833513e-17 1.833513e-17
8.440000e+01 1.819747e-17 1.819747e-17
8.450000e+01 1.805997e-17 1.805997e-17
8.460000e+01 1.796352e-17 1.796352e-17
8.470000e+01 1.789486e-17 1.789486e-17
8.480000e+01 1.775174e-17 1.775174e-17
8.490000e+01 1.781668e-17 1.781668e-17
8.500000e+01 1.795789e-17 1.795789e-17
8.510000e+01 1.788170e-17 1.788170e-17
8.520000e+01 1.789662e-17 1.789662e-17
8.530000e+01 1.802692e-17 1.802692e-17
8.540000e+01 1.815722e-17 1.815722e-17
8.550000e+01 1.827045e-17 1.827045e-17
8.560000e+01 1.815884e-17 1.815884e-17
8.570000e+01 1.790122e-17 1.790122e-17
8.580000e+01 1.777633e-17 1.777633e-17
8.590000e+01 1.761474e-17 1.761474e-17
8.600000e+01 1.745668e-17 1.745668e-17
8.610000e+01 1.743580e-17 1.743580e-17
8.620000e+01 1.740594e-17 1.740594e-17
8.630000e+01 1.735521e-17 1.735521e-17
8.640000e+01 1.743421e-17 1.743421e-17
8.650000e+01 1.729899e-17 1.729899e-17
8.660000e+01 1.691778e-17 1.691778e-17
8.670000e+01 1.668884e-17 1.668884e-17
8.680000e+01 1.664641e-17 1.664641e-17
8.690000e+01 1.685829e-17 1.685829e-17
8.700000e+01 1.698813e-17 1.698813e-17
8.710000e+01 1.687781e-17 1.687781e-17
8.720000e+01 1.679460e-17 1.679460e-17
8.730000e+01 1.687152e-17 1.687152e-17
8.740000e+01 1.716464e-17 1.716464e-17
8.750000e+01 1.733628e-17 1.733628e-17
8.760000e+01 1.718409e-17 1.718409e-17
8.770000e+01 1.694594e-17 1.694594e-17
8.780000e+01 1.666478e-17 1.666478e-17
8.790000e+01 1.630669e-17 1.630669e-17
8.800000e+01 1.627791e-17 1.627791e-17
8.810000e+01 1.632362e-17 1.632362e-17
8.820000e+01 1.620741e-17 1.620741e-17
8.830000e+01 1.635185e-17 1.635185e-17
8.840000e+01 1.646458e-17 1.646458e-17
8.850000e+01 1.632946e-17 1.632946e-17
8.860000e+01 1.624534e-17 1.624534e-17
8.870000e+01 1.631800e-17 1.631800e-17
8.880000e+01 1.626428e-17 1.626428e-17
8.890000e+01 1.625994e-17 1.625994e-17
8.900000e+01 1.640822e-17 1.640822e-17
8.910000e+01 1.638581e-17 1.638581e-17
8.920000e+01 1.634869e-17 1.634869e-17
8.930000e+01 1.625065e-17 1.625065e-17
8.940000e+01 1.603298e-17 1.603298e-17
8.950000e+01 1.606708e-17 1.606708e-17
8.960000e+01 1.627272e-17 1.627272e-17
8.970000e+01 1.625182e-17 1.625182e-17
8.980000e+01 1.618692e-17 1.618692e-17
8.990000e+01 1.610789e-17 1.610789e-17
9.000000e+01 1.595185e-17 1.595185e-17
9.010000e+01 1.588668e-17 1.588668e-17
9.020000e+01 1.582512e-17 1.582512e-17
9.030000e+01 1.591600e-17 1.591600e-17
9.040000e+01 1.603000e-17 1.603000e-17
9.050000e+01 1.604517e-17 1.604517e-17
9.060000e+01 1.615836e-17 1.615836e-17
9.070000e+01 1.612385e-17 1.612385e-17
9.080000e+01 1.598069e-17 1.598069e-17
9.090000e+01 1.596119e-17 1.596119e-17
9.100000e+01 1.591915e-17 1.591915e-17
9.110000e+01 1.575293e-17 1.575293e-17
9.120000e+01 1.563862e-17 1.563862e-17
9.130000e+01 1.567437e-17 1.567437e-17
9.140000e+01 1.573205e-17 1.573205e-17
9.150000e+01 1.578972e-17 1.578972e-17
9.160000e+01 1.584740e-17 1.584740e-17
9.170000e+01 1.590507e-17 1.590507e-17
9.180000e+01 1.596297e-17 1.596297e-17
9.190000e+01 1.604947e-17 1.604947e-17
9.200000e+01 1.616103e-17 1.616103e-17
9.210000e+01 1.618635e-17 1.618635e-17
9.220000e+01 1.595833e-17 1.595833e-17
9.230000e+01 1.583589e-17 1.583589e-17
9.240000e+01 1.597955e-17 1.597955e-17
9.250000e+01 1.609137e-17 1.609137e-17
9.260000e+01 1.628365e-17 1.628365e-17
9.270000e+01 1.651067e-17 1.651067e-17
9.280000e+01 1.667599e-17 1.667599e-17
9.290000e+01 1.671912e-17 1.671912e-17
9.300000e+01 1.659739e-17 1.659739e-17
9.310000e+01 1.659701e-17 1.659701e-17
9.320000e+01 1.681334e-17 1.681334e-17
9.330000e+01 1.692461e-17 1.692461e-17
9.340000e+01 1.677579e-17 1.677579e-17
9.350000e+01 1.659393e-17 1.659393e-17
9.360000e+01 1.652885e-17 1.652885e-17
9.370000e+01 1.651713e-17 1.651713e-17
9.380000e+01 1.650541e-17 1.650541e-17
9.390000e+01 1.649368e-17 1.649368e-17
9.400000e+01 1.648196e-17 1.648196e-17
9.410000e+01 1.647024e-17 1.647024e-17
9.420000e+01 1.645852e-17 1.645852e-17
9.430000e+01 1.644680e-17 1.644680e-17
9.440000e+01 1.643507e-17 1.643507e-17
9.450000e+01 1.642335e-17 1.642335e-17
