# NH cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: kirby1991 10.1063/1.460036, patel-misra1991 10.1063/1.459912, wang1990 10.1063/1.459369,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
9.199605e+01 7.429530e-18 3.463944e-30
9.209605e+01 1.866799e-20 1.866799e-20
9.219605e+01 2.192841e-20 2.192841e-20
9.229605e+01 2.637036e-20 2.637036e-20
9.239605e+01 3.086092e-20 3.086092e-20
9.249605e+01 3.692239e-20 3.692239e-20
9.259605e+01 4.304849e-20 4.304849e-20
9.269605e+01 5.124114e-20 5.124114e-20
9.279605e+01 5.951881e-20 5.951881e-20
9.289605e+01 7.048602e-20 7.048602e-20
9.299605e+01 8.156388e-20 8.156388e-20
9.309605e+01 9.610422e-20 9.610422e-20
9.319605e+01 1.107870e-19 1.107870e-19
9.329605e+01 1.298785e-19 1.298785e-19
9.339605e+01 1.491513e-19 1.491513e-19
9.349605e+01 1.739751e-19 1.739751e-19
9.359605e+01 1.990273e-19 1.990273e-19
9.369605e+01 2.309896e-19 2.309896e-19
9.379605e+01 2.632362e-19 2.632362e-19
9.389605e+01 3.039856e-19 3.039856e-19
9.399605e+01 3.450848e-19 3.450848e-19
9.409605e+01 3.965234e-19 3.965234e-19
9.419605e+01 4.483873e-19 4.483873e-19
9.429605e+01 5.126723e-19 5.126723e-19
9.439605e+01 5.774684e-19 5.774684e-19
9.449605e+01 6.570014e-19 6.570014e-19
9.459605e+01 7.371407e-19 7.371407e-19
9.469605e+01 8.345416e-19 8.345416e-19
9.479605e+01 9.326527e-19 9.326527e-19
9.489605e+01 1.050715e-18 1.050715e-18
9.499605e+01 1.169599e-18 1.169599e-18
9.509605e+01 1.311225e-18 1.311225e-18
9.519605e+01 1.453788e-18 1.453788e-18
9.529605e+01 1.621904e-18 1.621904e-18
9.539605e+01 1.791070e-18 1.791070e-18
9.549605e+01 1.988511e-18 1.988511e-18
9.559605e+01 2.187115e-18 2.187115e-18
9.569605e+01 2.416497e-18 2.416497e-18
9.579605e+01 2.647146e-18 2.647146e-18
9.589605e+01 2.910717e-18 2.910717e-18
9.599605e+01 3.175642e-18 3.175642e-18
9.609605e+01 3.475113e-18 3.475113e-18
9.619605e+01 3.776006e-18 3.776006e-18
9.629605e+01 4.112381e-18 4.112381e-18
9.639605e+01 4.450216e-18 4.450216e-18
9.649605e+01 4.823619e-18 4.823619e-18
9.659605e+01 5.198486e-18 5.198486e-18
9.669605e+01 5.608001e-18 5.608001e-18
9.679605e+01 6.018941e-18 6.018941e-18
9.689605e+01 6.462469e-18 6.462469e-18
9.699605e+01 6.907337e-18 6.907337e-18
9.709605e+01 7.381493e-18 7.381493e-18
9.719605e+01 7.856853e-18 7.856853e-18
9.729605e+01 8.356902e-18 8.356902e-18
9.739605e+01 8.857966e-18 8.857966e-18
9.749605e+01 9.377817e-18 9.377817e-18
9.759605e+01 9.898441e-18 9.898441e-18
9.769605e+01 1.043070e-17 1.043070e-17
9.779605e+01 1.096344e-17 1.096344e-17
9.789605e+01 1.149955e-17 1.149955e-17
9.799605e+01 1.203579e-17 1.203579e-17
9.809605e+01 1.256618e-17 1.256618e-17
9.819605e+01 1.309633e-17 1.309633e-17
9.829605e+01 1.361072e-17 1.361072e-17
9.839605e+01 1.412447e-17 1.412447e-17
9.849605e+01 1.461216e-17 1.461216e-17
9.859605e+01 1.509879e-17 1.509879e-17
9.869605e+01 1.554902e-17 1.554902e-17
9.879605e+01 1.599777e-17 1.599777e-17
9.889605e+01 1.640012e-17 1.640012e-17
9.899605e+01 1.680057e-17 1.680057e-17
9.909605e+01 1.714536e-17 1.714536e-17
9.919605e+01 1.748785e-17 1.748785e-17
9.929605e+01 1.776647e-17 1.776647e-17
9.939605e+01 1.804247e-17 1.804247e-17
9.949605e+01 1.824783e-17 1.824783e-17
9.959605e+01 1.845029e-17 1.845029e-17
9.969605e+01 1.857705e-17 1.857705e-17
9.979605e+01 1.870069e-17 1.870069e-17
9.989605e+01 1.874552e-17 1.874552e-17
9.999605e+01 1.878710e-17 1.878710e-17
1.000960e+02 1.874881e-17 1.874881e-17
1.001960e+02 1.870722e-17 1.870722e-17
1.002960e+02 1.858682e-17 1.858682e-17
1.003960e+02 1.846317e-17 1.846317e-17
1.004960e+02 1.826383e-17 1.826383e-17
1.005960e+02 1.806138e-17 1.806138e-17
1.006960e+02 1.778829e-17 1.778829e-17
1.007960e+02 1.751229e-17 1.751229e-17
1.008960e+02 1.717242e-17 1.717242e-17
1.009960e+02 1.682993e-17 1.682993e-17
1.010960e+02 1.643177e-17 1.643177e-17
1.011960e+02 1.603132e-17 1.603132e-17
1.012960e+02 1.558449e-17 1.558449e-17
1.013960e+02 1.513575e-17 1.513575e-17
1.014960e+02 1.465062e-17 1.465062e-17
1.015960e+02 1.416400e-17 1.416400e-17
1.016960e+02 1.365133e-17 1.365133e-17
1.017960e+02 1.313758e-17 1.313758e-17
1.018960e+02 1.260808e-17 1.260808e-17
1.019960e+02 1.207793e-17 1.207793e-17
1.020960e+02 1.154193e-17 1.154193e-17
1.021960e+02 1.100569e-17 1.100569e-17
1.022960e+02 1.047281e-17 1.047281e-17
1.023960e+02 9.940068e-18 9.940068e-18
1.024960e+02 9.418965e-18 9.418965e-18
1.025960e+02 8.898341e-18 8.898341e-18
1.026960e+02 8.396504e-18 8.396504e-18
1.027960e+02 7.895439e-18 7.895439e-18
1.028960e+02 7.419063e-18 7.419063e-18
1.029960e+02 6.943702e-18 6.943702e-18
1.030960e+02 6.497629e-18 6.497629e-18
1.031960e+02 6.052760e-18 6.052760e-18
1.032960e+02 5.640479e-18 5.640479e-18
1.033960e+02 5.229539e-18 5.229539e-18
1.034960e+02 4.853247e-18 4.853247e-18
1.035960e+02 4.478380e-18 4.478380e-18
1.036960e+02 4.139082e-18 4.139082e-18
1.037960e+02 3.801247e-18 3.801247e-18
1.038960e+02 3.498895e-18 3.498895e-18
1.039960e+02 3.198002e-18 3.198002e-18
1.040960e+02 2.931656e-18 2.931656e-18
1.041960e+02 2.666730e-18 2.666730e-18
1.042960e+02 2.434727e-18 2.434727e-18
1.043960e+02 2.204078e-18 2.204078e-18
1.044960e+02 2.004208e-18 2.004208e-18
1.045960e+02 1.805604e-18 1.805604e-18
1.046960e+02 1.635274e-18 1.635274e-18
1.047960e+02 1.466107e-18 1.466107e-18
1.048960e+02 1.322493e-18 1.322493e-18
1.049960e+02 1.179930e-18 1.179930e-18
1.050960e+02 1.060111e-18 1.060111e-18
1.051960e+02 9.412278e-19 9.412278e-19
1.052960e+02 8.422959e-19 8.422959e-19
1.053960e+02 7.441848e-19 7.441848e-19
1.054960e+02 6.633352e-19 6.633352e-19
1.055960e+02 5.831959e-19 5.831959e-19
1.056960e+02 5.177935e-19 5.177935e-19
1.057960e+02 4.529975e-19 4.529975e-19
1.058960e+02 4.006224e-19 4.006224e-19
1.059960e+02 3.487585e-19 3.487585e-19
1.060960e+02 3.072338e-19 3.072338e-19
1.061960e+02 2.661346e-19 2.661346e-19
1.062960e+02 2.335382e-19 2.335382e-19
1.063960e+02 2.012916e-19 2.012916e-19
1.064960e+02 1.759551e-19 1.759551e-19
1.065960e+02 1.509029e-19 1.509029e-19
1.066960e+02 1.314017e-19 1.314017e-19
1.067960e+02 1.121289e-19 1.121289e-19
1.068960e+02 9.726468e-20 9.726468e-20
1.069960e+02 8.258189e-20 8.258189e-20
1.070960e+02 7.136156e-20 7.136156e-20
1.071960e+02 6.028370e-20 6.028370e-20
1.072960e+02 5.189537e-20 5.189537e-20
1.073960e+02 4.361769e-20 4.361769e-20
1.074960e+02 3.740657e-20 3.740657e-20
1.075960e+02 3.128046e-20 3.128046e-20
1.076960e+02 2.672527e-20 2.672527e-20
1.077960e+02 2.223471e-20 2.223471e-20
1.078960e+02 1.892567e-20 1.892567e-20
1.079960e+02 1.566525e-20 1.566525e-20
1.080960e+02 1.328421e-20 1.328421e-20
1.081960e+02 1.093934e-20 1.093934e-20
1.082960e+02 9.242188e-21 9.242188e-21
1.083960e+02 7.571686e-21 7.571686e-21
1.084960e+02 6.373368e-21 6.373368e-21
1.085960e+02 5.194477e-21 5.194477e-21
1.086960e+02 4.356303e-21 4.356303e-21
1.087960e+02 3.532147e-21 3.532147e-21
1.088960e+02 2.951359e-21 2.951359e-21
1.089960e+02 2.380584e-21 2.380584e-21
1.090960e+02 1.981896e-21 1.981896e-21
1.091960e+02 1.590289e-21 1.590289e-21
1.092960e+02 1.319152e-21 1.319152e-21
1.093960e+02 1.052971e-21 1.052971e-21
1.094960e+02 8.702888e-22 8.702888e-22
1.095960e+02 6.910421e-22 6.910421e-22
1.096960e+02 5.690978e-22 5.690978e-22
1.097960e+02 4.495111e-22 4.495111e-22
1.098960e+02 3.688631e-22 3.688631e-22
