# NH cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: kirby1991 10.1063/1.460036, patel-misra1991 10.1063/1.459912, wang1990 10.1063/1.459369,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
3.099605e+01 2.320001e-18 2.320001e-18
3.109605e+01 2.334869e-18 2.334869e-18
3.119605e+01 2.349736e-18 2.349736e-18
3.129605e+01 2.364603e-18 2.364603e-18
3.139605e+01 2.379470e-18 2.379470e-18
3.149605e+01 2.394338e-18 2.394338e-18
3.159605e+01 2.409205e-18 2.409205e-18
3.169605e+01 2.424072e-18 2.424072e-18
3.179605e+01 2.438939e-18 2.438939e-18
3.189605e+01 2.453807e-18 2.453807e-18
3.199605e+01 2.468674e-18 2.468674e-18
3.209605e+01 2.490310e-18 2.490310e-18
3.219605e+01 2.511946e-18 2.511946e-18
3.229605e+01 2.533582e-18 2.533582e-18
3.239605e+01 2.555218e-18 2.555218e-18
3.249605e+01 2.576854e-18 2.576854e-18
3.259605e+01 2.598490e-18 2.598490e-18
3.269605e+01 2.620126e-18 2.620126e-18
3.279605e+01 2.641762e-18 2.641762e-18
3.289605e+01 2.663399e-18 2.663399e-18
3.299605e+01 2.685035e-18 2.685035e-18
3.309605e+01 2.704333e-18 2.704333e-18
3.319605e+01 2.723631e-18 2.723631e-18
3.329605e+01 2.742929e-18 2.742929e-18
3.339605e+01 2.762227e-18 2.762227e-18
3.349605e+01 2.781525e-18 2.781525e-18
3.359605e+01 2.800823e-18 2.800823e-18
3.369605e+01 2.820121e-18 2.820121e-18
3.379605e+01 2.839419e-18 2.839419e-18
3.389605e+01 2.858717e-18 2.858717e-18
3.399605e+01 2.878015e-18 2.878015e-18
3.409605e+01 2.899426e-18 2.899426e-18
3.419605e+01 2.920837e-18 2.920837e-18
3.429605e+01 2.942249e-18 2.942249e-18
3.439605e+01 2.963660e-18 2.963660e-18
3.449605e+01 2.985071e-18 2.985071e-18
3.459605e+01 3.006483e-18 3.006483e-18
3.469605e+01 3.027894e-18 3.027894e-18
3.479605e+01 3.049305e-18 3.049305e-18
3.489605e+01 3.070717e-18 3.070717e-18
3.499605e+01 3.092128e-18 3.092128e-18
3.509605e+01 3.112741e-18 3.112741e-18
3.519605e+01 3.133353e-18 3.133353e-18
3.529605e+01 3.153965e-18 3.153965e-18
3.539605e+01 3.174578e-18 3.174578e-18
3.549605e+01 3.195190e-18 3.195190e-18
3.559605e+01 3.215803e-18 3.215803e-18
3.569605e+01 3.236415e-18 3.236415e-18
3.579605e+01 3.257028e-18 3.257028e-18
3.589605e+01 3.277640e-18 3.277640e-18
3.599605e+01 3.298252e-18 3.298252e-18
3.609605e+01 3.318849e-18 3.318849e-18
3.619605e+01 3.339445e-18 3.339445e-18
3.629605e+01 3.360042e-18 3.360042e-18
3.639605e+01 3.380639e-18 3.380639e-18
3.649605e+01 3.401235e-18 3.401235e-18
3.659605e+01 3.421832e-18 3.421832e-18
3.669605e+01 3.442428e-18 3.442428e-18
3.679605e+01 3.463025e-18 3.463025e-18
3.689605e+01 3.483621e-18 3.483621e-18
3.699605e+01 3.504218e-18 3.504218e-18
3.709605e+01 3.527042e-18 3.527042e-18
3.719605e+01 3.549865e-18 3.549865e-18
3.729605e+01 3.572689e-18 3.572689e-18
3.739605e+01 3.595513e-18 3.595513e-18
3.749605e+01 3.618336e-18 3.618336e-18
3.759605e+01 3.641160e-18 3.641160e-18
3.769605e+01 3.663984e-18 3.663984e-18
3.779605e+01 3.686807e-18 3.686807e-18
3.789605e+01 3.709631e-18 3.709631e-18
3.799605e+01 3.732455e-18 3.732455e-18
3.809605e+01 3.756634e-18 3.756634e-18
3.819605e+01 3.780813e-18 3.780813e-18
3.829605e+01 3.804993e-18 3.804993e-18
3.839605e+01 3.829172e-18 3.829172e-18
3.849605e+01 3.853352e-18 3.853352e-18
3.859605e+01 3.877531e-18 3.877531e-18
3.869605e+01 3.901711e-18 3.901711e-18
3.879605e+01 3.925890e-18 3.925890e-18
3.889605e+01 3.950070e-18 3.950070e-18
3.899605e+01 3.974249e-18 3.974249e-18
3.909605e+01 3.995075e-18 3.995075e-18
3.919605e+01 4.015900e-18 4.015900e-18
3.929605e+01 4.036725e-18 4.036725e-18
3.939605e+01 4.057551e-18 4.057551e-18
3.949605e+01 4.078376e-18 4.078376e-18
3.959605e+01 4.099201e-18 4.099201e-18
3.969605e+01 4.120027e-18 4.120027e-18
3.979605e+01 4.140852e-18 4.140852e-18
3.989605e+01 4.161677e-18 4.161677e-18
3.999605e+01 4.182503e-18 4.182503e-18
4.009605e+01 4.206863e-18 4.206863e-18
4.019605e+01 4.231222e-18 4.231222e-18
4.029605e+01 4.255582e-18 4.255582e-18
4.039605e+01 4.279942e-18 4.279942e-18
4.049605e+01 4.304302e-18 4.304302e-18
4.059605e+01 4.328662e-18 4.328662e-18
4.069605e+01 4.353021e-18 4.353021e-18
4.079605e+01 4.377381e-18 4.377381e-18
4.089605e+01 4.401741e-18 4.401741e-18
4.099605e+01 4.426101e-18 4.426101e-18
4.109605e+01 4.450768e-18 4.450768e-18
4.119605e+01 4.475434e-18 4.475434e-18
4.129605e+01 4.500101e-18 4.500101e-18
4.139605e+01 4.524768e-18 4.524768e-18
4.149605e+01 4.549435e-18 4.549435e-18
4.159605e+01 4.574101e-18 4.574101e-18
4.169605e+01 4.598768e-18 4.598768e-18
4.179605e+01 4.623435e-18 4.623435e-18
4.189605e+01 4.648101e-18 4.648101e-18
4.199605e+01 4.672768e-18 4.672768e-18
4.209605e+01 4.697722e-18 4.697722e-18
4.219605e+01 4.722676e-18 4.722676e-18
4.229605e+01 4.747629e-18 4.747629e-18
4.239605e+01 4.772583e-18 4.772583e-18
