# NO cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: chan1993c 10.1016/0301-0104(93)80097-S, watanabe1967 10.1364/AO.6.000391, watanabe1967_erratum 10.1364/AO.6.001220, iida1986 10.1016/0301-0104(86)80070-2, yoshino2006 10.1063/1.2138029,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
5.772500e+01 2.434838e-17 6.293259e-20
5.782500e+01 2.418441e-17 3.146630e-19
5.792500e+01 2.402044e-17 5.663933e-19
5.802500e+01 2.385647e-17 8.181237e-19
5.812500e+01 2.369250e-17 1.069854e-18
5.822500e+01 2.352854e-17 1.321584e-18
5.832500e+01 2.336457e-17 1.573315e-18
5.842500e+01 2.320060e-17 1.825045e-18
5.852500e+01 2.366030e-17 1.957230e-18
5.862500e+01 2.415283e-17 2.083123e-18
5.872500e+01 2.464536e-17 2.209016e-18
5.882500e+01 2.513789e-17 2.334909e-18
5.892500e+01 2.563042e-17 2.460802e-18
5.902500e+01 2.569772e-17 2.435141e-18
5.912500e+01 2.553606e-17 2.327873e-18
5.922500e+01 2.537440e-17 2.220606e-18
5.932500e+01 2.521274e-17 2.113338e-18
5.942500e+01 2.505108e-17 2.006070e-18
5.952500e+01 2.488942e-17 1.898803e-18
5.962500e+01 2.472775e-17 1.791535e-18
5.972500e+01 2.456609e-17 1.684268e-18
5.982500e+01 2.440443e-17 1.577000e-18
5.992500e+01 2.424277e-17 1.469733e-18
6.002500e+01 2.408111e-17 1.362465e-18
6.012500e+01 2.391945e-17 1.255198e-18
6.022500e+01 2.391924e-17 1.240033e-18
6.032500e+01 2.394752e-17 1.241122e-18
6.042500e+01 2.397580e-17 1.242211e-18
6.052500e+01 2.400408e-17 1.243300e-18
6.062500e+01 2.403237e-17 1.244390e-18
6.072500e+01 2.406065e-17 1.245479e-18
6.082500e+01 2.408893e-17 1.246568e-18
6.092500e+01 2.411721e-17 1.247657e-18
6.102500e+01 2.414549e-17 1.248746e-18
6.112500e+01 2.417377e-17 1.249835e-18
6.122500e+01 2.420206e-17 1.250924e-18
6.132500e+01 2.423034e-17 1.252013e-18
6.142500e+01 2.425862e-17 1.253102e-18
6.152500e+01 2.428690e-17 1.254191e-18
6.162500e+01 2.419276e-17 1.180084e-18
6.172500e+01 2.403270e-17 1.065486e-18
6.182500e+01 2.387265e-17 9.508884e-19
6.192500e+01 2.371259e-17 8.362906e-19
6.202500e+01 2.355253e-17 7.216929e-19
6.212500e+01 2.339247e-17 6.070952e-19
6.222500e+01 2.323241e-17 4.924974e-19
6.232500e+01 2.301921e-17 4.603842e-19
6.242500e+01 2.278829e-17 4.557658e-19
6.252500e+01 2.255737e-17 4.511474e-19
6.262500e+01 2.232645e-17 4.465290e-19
6.272500e+01 2.209553e-17 4.419106e-19
6.282500e+01 2.186461e-17 4.372922e-19
6.292500e+01 2.163369e-17 4.326738e-19
6.302500e+01 2.140277e-17 4.280554e-19
6.312500e+01 2.117185e-17 4.234370e-19
6.322500e+01 2.094093e-17 4.188186e-19
6.332500e+01 2.094344e-17 4.839280e-19
6.342500e+01 2.102376e-17 5.722800e-19
6.352500e+01 2.110408e-17 6.606320e-19
6.362500e+01 2.118440e-17 7.489840e-19
6.372500e+01 2.126472e-17 8.373360e-19
6.382500e+01 2.134504e-17 9.256880e-19
6.392500e+01 2.142536e-17 1.014040e-18
6.402500e+01 2.150568e-17 1.102392e-18
6.412500e+01 2.158600e-17 1.190744e-18
6.422500e+01 2.166632e-17 1.279096e-18
6.432500e+01 2.168640e-17 1.268654e-18
6.442500e+01 2.168640e-17 1.225282e-18
6.452500e+01 2.168640e-17 1.181909e-18
6.462500e+01 2.168640e-17 1.138536e-18
6.472500e+01 2.168640e-17 1.095163e-18
6.482500e+01 2.168640e-17 1.051790e-18
6.492500e+01 2.168640e-17 1.008418e-18
6.502500e+01 2.168640e-17 9.650448e-19
6.512500e+01 2.168640e-17 9.216720e-19
6.522500e+01 2.168640e-17 8.782992e-19
6.532500e+01 2.150216e-17 8.291651e-19
6.542500e+01 2.125650e-17 7.781107e-19
6.552500e+01 2.101084e-17 7.270562e-19
6.562500e+01 2.076518e-17 6.760017e-19
6.572500e+01 2.051952e-17 6.249473e-19
6.582500e+01 2.027386e-17 5.738928e-19
6.592500e+01 2.002820e-17 5.228383e-19
6.602500e+01 1.978254e-17 4.717839e-19
6.612500e+01 1.953688e-17 4.207294e-19
6.622500e+01 1.933893e-17 3.931107e-19
6.632500e+01 1.922958e-17 4.090157e-19
6.642500e+01 1.912024e-17 4.249206e-19
6.652500e+01 1.901089e-17 4.408256e-19
6.662500e+01 1.890154e-17 4.567305e-19
6.672500e+01 1.879220e-17 4.726355e-19
6.682500e+01 1.868285e-17 4.885404e-19
6.692500e+01 1.857350e-17 5.044454e-19
6.702500e+01 1.846416e-17 5.203503e-19
6.712500e+01 1.835481e-17 5.362553e-19
6.722500e+01 1.828383e-17 5.639060e-19
6.732500e+01 1.832796e-17 6.267939e-19
6.742500e+01 1.837210e-17 6.896818e-19
6.752500e+01 1.841623e-17 7.525697e-19
6.762500e+01 1.846036e-17 8.154576e-19
6.772500e+01 1.850449e-17 8.783455e-19
6.782500e+01 1.854862e-17 9.412335e-19
6.792500e+01 1.859276e-17 1.004121e-18
6.802500e+01 1.863689e-17 1.067009e-18
6.812500e+01 1.889451e-17 1.181167e-18
6.822500e+01 2.036189e-17 1.585857e-18
6.832500e+01 1.887520e-17 9.224829e-19
