# NO cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: chan1993c 10.1016/0301-0104(93)80097-S, watanabe1967 10.1364/AO.6.000391, watanabe1967_erratum 10.1364/AO.6.001220, iida1986 10.1016/0301-0104(86)80070-2, yoshino2006 10.1063/1.2138029,
# Tex = 100K # excitation temperature
# b   = 1km.s-1 # Doppler width
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
6.525000e+00 6.308235e-19 6.308235e-19
6.625000e+00 6.252053e-19 6.252053e-19
6.725000e+00 6.195871e-19 6.195871e-19
6.825000e+00 6.139690e-19 6.139690e-19
6.925000e+00 6.076432e-19 6.076432e-19
7.025000e+00 6.001128e-19 6.001128e-19
7.125000e+00 5.925823e-19 5.925823e-19
7.225000e+00 5.850519e-19 5.850519e-19
7.325000e+00 6.034933e-19 6.034933e-19
7.425000e+00 6.771247e-19 6.771247e-19
7.525000e+00 7.507562e-19 7.507562e-19
7.625000e+00 8.243876e-19 8.243876e-19
7.725000e+00 8.980191e-19 8.980191e-19
7.825000e+00 9.022270e-19 9.022270e-19
7.925000e+00 8.845118e-19 8.845118e-19
8.025000e+00 8.667966e-19 8.667966e-19
8.125000e+00 8.490814e-19 8.490814e-19
8.225000e+00 8.313662e-19 8.313662e-19
8.325000e+00 8.617392e-19 8.617392e-19
8.425000e+00 9.255294e-19 9.255294e-19
8.525000e+00 9.893195e-19 9.893195e-19
8.625000e+00 1.053110e-18 1.053110e-18
8.725000e+00 1.116900e-18 1.116900e-18
8.825000e+00 1.180690e-18 1.180690e-18
8.925000e+00 1.220095e-18 1.220095e-18
9.025000e+00 1.248545e-18 1.248545e-18
9.125000e+00 1.276995e-18 1.276995e-18
9.225000e+00 1.305445e-18 1.305445e-18
9.325000e+00 1.333894e-18 1.333894e-18
9.425000e+00 1.362344e-18 1.362344e-18
9.525000e+00 1.390794e-18 1.390794e-18
