# N photoionisation cross section
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: samson1990 10.1103/PhysRevA.42.1307, dehmer1974 10.1063/1.1681426,
# no info on lines
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
2.500000e+01 4.700000e-18 4.700000e-18
2.510000e+01 4.730000e-18 4.730000e-18
2.520000e+01 4.760000e-18 4.760000e-18
2.530000e+01 4.790000e-18 4.790000e-18
2.540000e+01 4.820000e-18 4.820000e-18
2.550000e+01 4.850000e-18 4.850000e-18
2.560000e+01 4.880000e-18 4.880000e-18
2.570000e+01 4.910000e-18 4.910000e-18
2.580000e+01 4.940000e-18 4.940000e-18
2.590000e+01 4.970000e-18 4.970000e-18
2.600000e+01 5.000000e-18 5.000000e-18
2.610000e+01 5.030000e-18 5.030000e-18
2.620000e+01 5.060000e-18 5.060000e-18
2.630000e+01 5.090000e-18 5.090000e-18
2.640000e+01 5.120000e-18 5.120000e-18
2.650000e+01 5.150000e-18 5.150000e-18
2.660000e+01 5.180000e-18 5.180000e-18
2.670000e+01 5.210000e-18 5.210000e-18
2.680000e+01 5.240000e-18 5.240000e-18
2.690000e+01 5.270000e-18 5.270000e-18
2.700000e+01 5.300000e-18 5.300000e-18
2.710000e+01 5.330000e-18 5.330000e-18
2.720000e+01 5.360000e-18 5.360000e-18
2.730000e+01 5.390000e-18 5.390000e-18
2.740000e+01 5.420000e-18 5.420000e-18
2.750000e+01 5.450000e-18 5.450000e-18
2.760000e+01 5.480000e-18 5.480000e-18
2.770000e+01 5.510000e-18 5.510000e-18
2.780000e+01 5.540000e-18 5.540000e-18
2.790000e+01 5.570000e-18 5.570000e-18
2.800000e+01 5.600000e-18 5.600000e-18
2.810000e+01 5.630000e-18 5.630000e-18
2.820000e+01 5.660000e-18 5.660000e-18
2.830000e+01 5.690000e-18 5.690000e-18
2.840000e+01 5.720000e-18 5.720000e-18
2.850000e+01 5.750000e-18 5.750000e-18
2.860000e+01 5.780000e-18 5.780000e-18
2.870000e+01 5.810000e-18 5.810000e-18
2.880000e+01 5.840000e-18 5.840000e-18
2.890000e+01 5.870000e-18 5.870000e-18
2.900000e+01 5.900000e-18 5.900000e-18
2.910000e+01 5.940000e-18 5.940000e-18
2.920000e+01 5.980000e-18 5.980000e-18
2.930000e+01 6.020000e-18 6.020000e-18
2.940000e+01 6.060000e-18 6.060000e-18
2.950000e+01 6.100000e-18 6.100000e-18
2.960000e+01 6.140000e-18 6.140000e-18
2.970000e+01 6.180000e-18 6.180000e-18
2.980000e+01 6.220000e-18 6.220000e-18
2.990000e+01 6.260000e-18 6.260000e-18
3.000000e+01 6.300000e-18 6.300000e-18
3.010000e+01 6.330000e-18 6.330000e-18
3.020000e+01 6.360000e-18 6.360000e-18
3.030000e+01 6.390000e-18 6.390000e-18
3.040000e+01 6.420000e-18 6.420000e-18
3.050000e+01 6.450000e-18 6.450000e-18
3.060000e+01 6.480000e-18 6.480000e-18
3.070000e+01 6.510000e-18 6.510000e-18
3.080000e+01 6.540000e-18 6.540000e-18
3.090000e+01 6.570000e-18 6.570000e-18
3.100000e+01 6.600000e-18 6.600000e-18
3.110000e+01 6.630000e-18 6.630000e-18
3.120000e+01 6.660000e-18 6.660000e-18
3.130000e+01 6.690000e-18 6.690000e-18
3.140000e+01 6.720000e-18 6.720000e-18
3.150000e+01 6.750000e-18 6.750000e-18
3.160000e+01 6.780000e-18 6.780000e-18
3.170000e+01 6.810000e-18 6.810000e-18
3.180000e+01 6.840000e-18 6.840000e-18
3.190000e+01 6.870000e-18 6.870000e-18
3.200000e+01 6.900000e-18 6.900000e-18
3.210000e+01 6.930000e-18 6.930000e-18
3.220000e+01 6.960000e-18 6.960000e-18
3.230000e+01 6.990000e-18 6.990000e-18
3.240000e+01 7.020000e-18 7.020000e-18
3.250000e+01 7.050000e-18 7.050000e-18
3.260000e+01 7.080000e-18 7.080000e-18
3.270000e+01 7.110000e-18 7.110000e-18
3.280000e+01 7.140000e-18 7.140000e-18
3.290000e+01 7.170000e-18 7.170000e-18
3.300000e+01 7.200000e-18 7.200000e-18
3.310000e+01 7.230000e-18 7.230000e-18
3.320000e+01 7.260000e-18 7.260000e-18
3.330000e+01 7.290000e-18 7.290000e-18
3.340000e+01 7.320000e-18 7.320000e-18
3.350000e+01 7.350000e-18 7.350000e-18
3.360000e+01 7.380000e-18 7.380000e-18
3.370000e+01 7.410000e-18 7.410000e-18
3.380000e+01 7.440000e-18 7.440000e-18
3.390000e+01 7.470000e-18 7.470000e-18
3.400000e+01 7.500000e-18 7.500000e-18
3.410000e+01 7.530000e-18 7.530000e-18
3.420000e+01 7.560000e-18 7.560000e-18
3.430000e+01 7.590000e-18 7.590000e-18
3.440000e+01 7.620000e-18 7.620000e-18
3.450000e+01 7.650000e-18 7.650000e-18
3.460000e+01 7.680000e-18 7.680000e-18
3.470000e+01 7.710000e-18 7.710000e-18
3.480000e+01 7.740000e-18 7.740000e-18
3.490000e+01 7.770000e-18 7.770000e-18
3.500000e+01 7.800000e-18 7.800000e-18
3.510000e+01 7.830000e-18 7.830000e-18
3.520000e+01 7.860000e-18 7.860000e-18
3.530000e+01 7.890000e-18 7.890000e-18
3.540000e+01 7.920000e-18 7.920000e-18
3.550000e+01 7.950000e-18 7.950000e-18
3.560000e+01 7.980000e-18 7.980000e-18
3.570000e+01 8.010000e-18 8.010000e-18
3.580000e+01 8.040000e-18 8.040000e-18
3.590000e+01 8.070000e-18 8.070000e-18
3.600000e+01 8.100000e-18 8.100000e-18
3.610000e+01 8.125000e-18 8.125000e-18
3.620000e+01 8.150000e-18 8.150000e-18
3.630000e+01 8.175000e-18 8.175000e-18
3.640000e+01 8.200000e-18 8.200000e-18
3.650000e+01 8.225000e-18 8.225000e-18
3.660000e+01 8.250000e-18 8.250000e-18
3.670000e+01 8.275000e-18 8.275000e-18
3.680000e+01 8.300000e-18 8.300000e-18
3.690000e+01 8.325000e-18 8.325000e-18
3.700000e+01 8.350000e-18 8.350000e-18
3.710000e+01 8.375000e-18 8.375000e-18
3.720000e+01 8.400000e-18 8.400000e-18
3.730000e+01 8.425000e-18 8.425000e-18
3.740000e+01 8.450000e-18 8.450000e-18
3.750000e+01 8.475000e-18 8.475000e-18
3.760000e+01 8.500000e-18 8.500000e-18
3.770000e+01 8.525000e-18 8.525000e-18
3.780000e+01 8.550000e-18 8.550000e-18
3.790000e+01 8.575000e-18 8.575000e-18
3.800000e+01 8.600000e-18 8.600000e-18
3.810000e+01 8.625000e-18 8.625000e-18
3.820000e+01 8.650000e-18 8.650000e-18
3.830000e+01 8.675000e-18 8.675000e-18
3.840000e+01 8.700000e-18 8.700000e-18
3.850000e+01 8.725000e-18 8.725000e-18
3.860000e+01 8.750000e-18 8.750000e-18
3.870000e+01 8.775000e-18 8.775000e-18
3.880000e+01 8.800000e-18 8.800000e-18
3.890000e+01 8.825000e-18 8.825000e-18
3.900000e+01 8.850000e-18 8.850000e-18
3.910000e+01 8.875000e-18 8.875000e-18
3.920000e+01 8.900000e-18 8.900000e-18
3.930000e+01 8.925000e-18 8.925000e-18
3.940000e+01 8.950000e-18 8.950000e-18
3.950000e+01 8.975000e-18 8.975000e-18
3.960000e+01 9.000000e-18 9.000000e-18
3.970000e+01 9.025000e-18 9.025000e-18
3.980000e+01 9.050000e-18 9.050000e-18
3.990000e+01 9.075000e-18 9.075000e-18
4.000000e+01 9.100000e-18 9.100000e-18
4.010000e+01 9.125000e-18 9.125000e-18
4.020000e+01 9.150000e-18 9.150000e-18
4.030000e+01 9.175000e-18 9.175000e-18
4.040000e+01 9.200000e-18 9.200000e-18
4.050000e+01 9.225000e-18 9.225000e-18
4.060000e+01 9.250000e-18 9.250000e-18
4.070000e+01 9.275000e-18 9.275000e-18
4.080000e+01 9.300000e-18 9.300000e-18
4.090000e+01 9.325000e-18 9.325000e-18
4.100000e+01 9.350000e-18 9.350000e-18
4.110000e+01 9.375000e-18 9.375000e-18
4.120000e+01 9.400000e-18 9.400000e-18
4.130000e+01 9.425000e-18 9.425000e-18
4.140000e+01 9.450000e-18 9.450000e-18
4.150000e+01 9.475000e-18 9.475000e-18
4.160000e+01 9.500000e-18 9.500000e-18
4.170000e+01 9.525000e-18 9.525000e-18
4.180000e+01 9.550000e-18 9.550000e-18
4.190000e+01 9.575000e-18 9.575000e-18
4.200000e+01 9.600000e-18 9.600000e-18
4.210000e+01 9.620000e-18 9.620000e-18
4.220000e+01 9.640000e-18 9.640000e-18
4.230000e+01 9.660000e-18 9.660000e-18
4.240000e+01 9.680000e-18 9.680000e-18
4.250000e+01 9.700000e-18 9.700000e-18
4.260000e+01 9.720000e-18 9.720000e-18
4.270000e+01 9.740000e-18 9.740000e-18
4.280000e+01 9.760000e-18 9.760000e-18
4.290000e+01 9.780000e-18 9.780000e-18
4.300000e+01 9.800000e-18 9.800000e-18
4.310000e+01 9.820000e-18 9.820000e-18
4.320000e+01 9.840000e-18 9.840000e-18
4.330000e+01 9.860000e-18 9.860000e-18
4.340000e+01 9.880000e-18 9.880000e-18
4.350000e+01 9.900000e-18 9.900000e-18
4.360000e+01 9.920000e-18 9.920000e-18
4.370000e+01 9.940000e-18 9.940000e-18
4.380000e+01 9.960000e-18 9.960000e-18
4.390000e+01 9.980000e-18 9.980000e-18
4.400000e+01 1.000000e-17 1.000000e-17
4.410000e+01 1.002500e-17 1.002500e-17
4.420000e+01 1.005000e-17 1.005000e-17
4.430000e+01 1.007500e-17 1.007500e-17
4.440000e+01 1.010000e-17 1.010000e-17
4.450000e+01 1.012500e-17 1.012500e-17
4.460000e+01 1.015000e-17 1.015000e-17
4.470000e+01 1.017500e-17 1.017500e-17
4.480000e+01 1.020000e-17 1.020000e-17
4.490000e+01 1.022500e-17 1.022500e-17
4.500000e+01 1.025000e-17 1.025000e-17
4.510000e+01 1.027500e-17 1.027500e-17
4.520000e+01 1.030000e-17 1.030000e-17
4.530000e+01 1.032500e-17 1.032500e-17
4.540000e+01 1.035000e-17 1.035000e-17
4.550000e+01 1.037500e-17 1.037500e-17
4.560000e+01 1.040000e-17 1.040000e-17
4.570000e+01 1.042500e-17 1.042500e-17
4.580000e+01 1.045000e-17 1.045000e-17
4.590000e+01 1.047500e-17 1.047500e-17
4.600000e+01 1.050000e-17 1.050000e-17
4.610000e+01 1.051500e-17 1.051500e-17
4.620000e+01 1.053000e-17 1.053000e-17
4.630000e+01 1.054500e-17 1.054500e-17
4.640000e+01 1.056000e-17 1.056000e-17
4.650000e+01 1.057500e-17 1.057500e-17
4.660000e+01 1.059000e-17 1.059000e-17
4.670000e+01 1.060500e-17 1.060500e-17
4.680000e+01 1.062000e-17 1.062000e-17
4.690000e+01 1.063500e-17 1.063500e-17
4.700000e+01 1.065000e-17 1.065000e-17
4.710000e+01 1.066500e-17 1.066500e-17
4.720000e+01 1.068000e-17 1.068000e-17
4.730000e+01 1.069500e-17 1.069500e-17
4.740000e+01 1.071000e-17 1.071000e-17
4.750000e+01 1.072500e-17 1.072500e-17
4.760000e+01 1.074000e-17 1.074000e-17
4.770000e+01 1.075500e-17 1.075500e-17
4.780000e+01 1.077000e-17 1.077000e-17
4.790000e+01 1.078500e-17 1.078500e-17
4.800000e+01 1.080000e-17 1.080000e-17
4.810000e+01 1.082000e-17 1.082000e-17
4.820000e+01 1.084000e-17 1.084000e-17
4.830000e+01 1.086000e-17 1.086000e-17
4.840000e+01 1.088000e-17 1.088000e-17
4.850000e+01 1.090000e-17 1.090000e-17
4.860000e+01 1.092000e-17 1.092000e-17
4.870000e+01 1.094000e-17 1.094000e-17
4.880000e+01 1.096000e-17 1.096000e-17
4.890000e+01 1.098000e-17 1.098000e-17
4.900000e+01 1.100000e-17 1.100000e-17
4.910000e+01 1.102000e-17 1.102000e-17
4.920000e+01 1.104000e-17 1.104000e-17
4.930000e+01 1.106000e-17 1.106000e-17
4.940000e+01 1.108000e-17 1.108000e-17
4.950000e+01 1.110000e-17 1.110000e-17
4.960000e+01 1.112000e-17 1.112000e-17
4.970000e+01 1.114000e-17 1.114000e-17
4.980000e+01 1.116000e-17 1.116000e-17
4.990000e+01 1.118000e-17 1.118000e-17
5.000000e+01 1.120000e-17 1.120000e-17
5.010000e+01 1.121500e-17 1.121500e-17
5.020000e+01 1.123000e-17 1.123000e-17
5.030000e+01 1.124500e-17 1.124500e-17
5.040000e+01 1.126000e-17 1.126000e-17
5.050000e+01 1.127500e-17 1.127500e-17
5.060000e+01 1.129000e-17 1.129000e-17
5.070000e+01 1.130500e-17 1.130500e-17
5.080000e+01 1.132000e-17 1.132000e-17
5.090000e+01 1.133500e-17 1.133500e-17
5.100000e+01 1.135000e-17 1.135000e-17
5.110000e+01 1.136500e-17 1.136500e-17
5.120000e+01 1.138000e-17 1.138000e-17
5.130000e+01 1.139500e-17 1.139500e-17
5.140000e+01 1.141000e-17 1.141000e-17
5.150000e+01 1.142500e-17 1.142500e-17
5.160000e+01 1.144000e-17 1.144000e-17
5.170000e+01 1.145500e-17 1.145500e-17
5.180000e+01 1.147000e-17 1.147000e-17
5.190000e+01 1.148500e-17 1.148500e-17
5.200000e+01 1.150000e-17 1.150000e-17
5.210000e+01 1.151000e-17 1.151000e-17
5.220000e+01 1.152000e-17 1.152000e-17
5.230000e+01 1.153000e-17 1.153000e-17
5.240000e+01 1.154000e-17 1.154000e-17
5.250000e+01 1.155000e-17 1.155000e-17
5.260000e+01 1.156000e-17 1.156000e-17
5.270000e+01 1.157000e-17 1.157000e-17
5.280000e+01 1.158000e-17 1.158000e-17
5.290000e+01 1.159000e-17 1.159000e-17
5.300000e+01 1.160000e-17 1.160000e-17
5.310000e+01 1.161000e-17 1.161000e-17
5.320000e+01 1.162000e-17 1.162000e-17
5.330000e+01 1.163000e-17 1.163000e-17
5.340000e+01 1.164000e-17 1.164000e-17
5.350000e+01 1.165000e-17 1.165000e-17
5.360000e+01 1.166000e-17 1.166000e-17
5.370000e+01 1.167000e-17 1.167000e-17
5.380000e+01 1.168000e-17 1.168000e-17
5.390000e+01 1.169000e-17 1.169000e-17
5.400000e+01 1.170000e-17 1.170000e-17
5.410000e+01 1.170500e-17 1.170500e-17
5.420000e+01 1.171000e-17 1.171000e-17
5.430000e+01 1.171500e-17 1.171500e-17
5.440000e+01 1.172000e-17 1.172000e-17
5.450000e+01 1.172500e-17 1.172500e-17
5.460000e+01 1.173000e-17 1.173000e-17
5.470000e+01 1.173500e-17 1.173500e-17
5.480000e+01 1.174000e-17 1.174000e-17
5.490000e+01 1.174500e-17 1.174500e-17
5.500000e+01 1.175000e-17 1.175000e-17
5.510000e+01 1.175500e-17 1.175500e-17
5.520000e+01 1.176000e-17 1.176000e-17
5.530000e+01 1.176500e-17 1.176500e-17
5.540000e+01 1.177000e-17 1.177000e-17
5.550000e+01 1.177500e-17 1.177500e-17
5.560000e+01 1.178000e-17 1.178000e-17
5.570000e+01 1.178500e-17 1.178500e-17
5.580000e+01 1.179000e-17 1.179000e-17
5.590000e+01 1.179500e-17 1.179500e-17
5.600000e+01 1.180000e-17 1.180000e-17
5.610000e+01 1.180000e-17 1.180000e-17
5.620000e+01 1.180000e-17 1.180000e-17
5.630000e+01 1.180000e-17 1.180000e-17
5.640000e+01 1.180000e-17 1.180000e-17
5.650000e+01 1.180000e-17 1.180000e-17
5.660000e+01 1.180000e-17 1.180000e-17
5.670000e+01 1.180000e-17 1.180000e-17
5.680000e+01 1.180000e-17 1.180000e-17
5.690000e+01 1.180000e-17 1.180000e-17
