# Cross sections for O2+
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: O2+ photodissociation based on Honjou et al. '78, plus osc str. van Hemert
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.179000e+02 0.000000e+00 0.000000e+00
1.180000e+02 8.885898e-29 8.885898e-29
1.181000e+02 4.561756e-28 4.561756e-28
1.182000e+02 2.215545e-27 2.215545e-27
1.183000e+02 1.017997e-26 1.017997e-26
1.184000e+02 4.425171e-26 4.425171e-26
1.185000e+02 1.819832e-25 1.819832e-25
1.186000e+02 7.080274e-25 7.080274e-25
1.187000e+02 2.606072e-24 2.606072e-24
1.188000e+02 9.074870e-24 9.074870e-24
1.189000e+02 2.989593e-23 2.989593e-23
1.190000e+02 9.317539e-23 9.317539e-23
1.191000e+02 2.747312e-22 2.747312e-22
1.192000e+02 7.663592e-22 7.663592e-22
1.193000e+02 2.022434e-21 2.022434e-21
1.194000e+02 5.049333e-21 5.049333e-21
1.195000e+02 1.192645e-20 1.192645e-20
1.196000e+02 2.665054e-20 2.665054e-20
1.197000e+02 5.634020e-20 5.634020e-20
1.198000e+02 1.126804e-19 1.126804e-19
1.199000e+02 2.132043e-19 2.132043e-19
1.200000e+02 3.816464e-19 3.816464e-19
1.201000e+02 6.463146e-19 6.463146e-19
1.202000e+02 1.035486e-18 1.035486e-18
1.203000e+02 1.569504e-18 1.569504e-18
1.204000e+02 2.250598e-18 2.250598e-18
1.205000e+02 3.053171e-18 3.053171e-18
1.206000e+02 3.918519e-18 3.918519e-18
1.207000e+02 4.757846e-18 4.757846e-18
1.208000e+02 5.465329e-18 5.465329e-18
1.209000e+02 5.939364e-18 5.939364e-18
1.210000e+02 6.106342e-18 6.106342e-18
1.211000e+02 5.939364e-18 5.939364e-18
1.212000e+02 5.465329e-18 5.465329e-18
1.213000e+02 4.757846e-18 4.757846e-18
1.214000e+02 3.918519e-18 3.918519e-18
1.215000e+02 3.053171e-18 3.053171e-18
1.216000e+02 2.250598e-18 2.250598e-18
1.217000e+02 1.569504e-18 1.569504e-18
1.218000e+02 1.035486e-18 1.035486e-18
