# O2 cross sections - reduced to   103points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: matsunaga1967, holland1993 10.1016/0301-0104(93)80148-3, ogawa1975, lu2010 10.1051/0004-6361/201013998, yoshino1992 10.1016/0032-0633(92)90056-T, yoshino1988 10.1016/0032-0633(88)90012-8,                                                                                                                                                                                                                                                                                                           
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photodissociation -- Photodissociation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
5.210000E+01 2.476454E-17 4.360040E-19
5.990000E+01 2.905987E-17 1.645569E-20
6.900000E+01 2.168878E-17 4.422603E-19
7.220000E+01 2.569164E-17 3.354034E-18
7.540000E+01 2.098252E-17 8.086447E-18
7.860000E+01 2.277904E-17 1.267030E-17
8.180000E+01 2.383349E-17 1.556865E-17
8.500000E+01 9.225981E-18 5.134915E-18
8.820000E+01 6.683904E-18 2.784464E-18
9.140000E+01 7.393493E-18 2.364081E-18
9.460000E+01 2.188297E-17 7.291527E-18
9.780000E+01 3.589050E-18 5.141660E-19
1.010000E+02 2.161802E-18 2.934511E-19
1.042000E+02 9.711138E-19 9.711138E-19
1.074000E+02 1.893259E-18 1.893259E-18
1.106000E+02 7.068044E-19 7.068044E-19
1.138000E+02 1.637749E-18 1.637749E-18
1.170000E+02 1.879417E-19 1.879417E-19
1.202000E+02 4.151787E-18 4.151787E-18
1.234000E+02 6.295619E-19 6.295619E-19
1.266000E+02 1.746280E-19 1.746280E-19
1.298000E+02 5.568118E-19 5.568118E-19
1.330000E+02 2.340775E-18 2.340775E-18
1.362000E+02 8.475594E-18 8.475594E-18
1.394000E+02 1.506878E-17 1.506878E-17
1.426000E+02 1.547895E-17 1.547895E-17
1.458000E+02 1.474624E-17 1.474624E-17
1.490000E+02 1.308378E-17 1.308378E-17
1.522000E+02 1.074878E-17 1.074878E-17
1.554000E+02 8.272614E-18 8.272614E-18
1.586000E+02 6.013863E-18 6.013863E-18
1.618000E+02 4.079931E-18 4.079931E-18
1.650000E+02 2.706267E-18 2.706267E-18
1.682000E+02 1.663758E-18 1.663758E-18
1.714000E+02 1.025007E-18 1.025007E-18
1.746000E+02 5.379655E-19 5.379655E-19
1.778000E+02 1.324984E-19 1.324984E-19
1.810000E+02 3.680674E-20 3.680674E-20
