# O2 cross sections - reduced to    51points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: matsunaga1967, holland1993 10.1016/0301-0104(93)80148-3, ogawa1975, lu2010 10.1051/0004-6361/201013998, yoshino1992 10.1016/0032-0633(92)90056-T, yoshino1988 10.1016/0032-0633(88)90012-8,                                                                                                                                                                                                                                                                                                           
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photodissociation -- Photodissociation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
5.990000E+01 2.905987E-17 1.645569E-20
7.220000E+01 2.569164E-17 3.354034E-18
7.860000E+01 2.277904E-17 1.267030E-17
8.500000E+01 9.225981E-18 5.134915E-18
9.140000E+01 7.393493E-18 2.364081E-18
9.780000E+01 3.589050E-18 5.141660E-19
1.042000E+02 9.711138E-19 9.711138E-19
1.106000E+02 7.068044E-19 7.068044E-19
1.170000E+02 1.879417E-19 1.879417E-19
1.234000E+02 6.295619E-19 6.295619E-19
1.298000E+02 5.568118E-19 5.568118E-19
1.362000E+02 8.475594E-18 8.475594E-18
1.426000E+02 1.547895E-17 1.547895E-17
1.490000E+02 1.308378E-17 1.308378E-17
1.554000E+02 8.272614E-18 8.272614E-18
1.618000E+02 4.079931E-18 4.079931E-18
1.682000E+02 1.663758E-18 1.663758E-18
1.746000E+02 5.379655E-19 5.379655E-19
1.810000E+02 3.680674E-20 3.680674E-20
1.874000E+02 1.799093E-21 1.799093E-21
1.938000E+02 5.789638E-23 5.789638E-23
2.002000E+02 1.680544E-23 1.680544E-23
2.066000E+02 7.707599E-23 7.707599E-23
2.130000E+02 1.293105E-22 1.293105E-22
2.194000E+02 1.429296E-22 1.429296E-22
2.258000E+02 1.054626E-22 1.054626E-22
2.322000E+02 6.986158E-23 6.986158E-23
2.386000E+02 4.033524E-24 4.033524E-24
2.450000E+02 2.709344E-24 2.709344E-24
2.514000E+02 1.742072E-24 1.742072E-24
2.578000E+02 1.288073E-24 1.288073E-24
2.642000E+02 1.241170E-24 1.241170E-24
2.706000E+02 7.938776E-25 7.938776E-25
2.770000E+02 6.181144E-25 6.181144E-25
2.834000E+02 4.678594E-25 4.678594E-25
2.898000E+02 3.771249E-25 3.771249E-25
2.962000E+02 3.165403E-25 3.165403E-25
3.026000E+02 2.984929E-25 2.984929E-25
3.090000E+02 3.578191E-25 3.578191E-25
3.154000E+02 2.497940E-25 2.497940E-25
3.218000E+02 2.586146E-25 2.586146E-25
3.282000E+02 2.342545E-25 2.342545E-25
3.346000E+02 2.500552E-25 2.500552E-25
3.410000E+02 1.985142E-25 1.985142E-25
3.474000E+02 1.820616E-25 1.820616E-25
3.538000E+02 1.442817E-25 1.442817E-25
3.602000E+02 1.516506E-25 1.516506E-25
3.666000E+02 1.054482E-25 1.054482E-25
3.730000E+02 6.067292E-26 6.067292E-26
3.794000E+02 3.091900E-26 3.091900E-26
3.858000E+02 4.653219E-26 4.653219E-26
