# O2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: matsunaga1967, holland1993 10.1016/0301-0104(93)80148-3, ogawa1975, lu2010 10.1051/0004-6361/201013998, yoshino1992 10.1016/0032-0633(92)90056-T, yoshino1988 10.1016/0032-0633(88)90012-8,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
5.000000e+00 4.748520e-19 4.748520e-19
5.100000e+00 6.081597e-19 6.081597e-19
5.200000e+00 6.418676e-19 6.418676e-19
5.300000e+00 6.732875e-19 6.732875e-19
5.400000e+00 7.012995e-19 7.012995e-19
5.500000e+00 7.282518e-19 7.282518e-19
5.600000e+00 7.552040e-19 7.552040e-19
5.700000e+00 7.818882e-19 7.818882e-19
5.800000e+00 8.047815e-19 8.047815e-19
5.900000e+00 8.228135e-19 8.228135e-19
6.000000e+00 8.395764e-19 8.395764e-19
6.100000e+00 8.563645e-19 8.563645e-19
6.200000e+00 8.731525e-19 8.731525e-19
6.300000e+00 8.906863e-19 8.906863e-19
6.400000e+00 9.161650e-19 9.161650e-19
6.500000e+00 9.505555e-19 9.505555e-19
6.600000e+00 9.866305e-19 9.866305e-19
6.700000e+00 1.022760e-18 1.022760e-18
6.800000e+00 1.058889e-18 1.058889e-18
6.900000e+00 1.094964e-18 1.094964e-18
7.000000e+00 1.131037e-18 1.131037e-18
7.100000e+00 1.165178e-18 1.165178e-18
7.200000e+00 1.196491e-18 1.196491e-18
7.300000e+00 1.226941e-18 1.226941e-18
7.400000e+00 1.257391e-18 1.257391e-18
7.500000e+00 1.287796e-18 1.287796e-18
7.600000e+00 1.318246e-18 1.318246e-18
7.700000e+00 1.348696e-18 1.348696e-18
7.800000e+00 1.379100e-18 1.379100e-18
7.900000e+00 1.409550e-18 1.409550e-18
8.000000e+00 1.444894e-18 1.444894e-18
8.100000e+00 1.489950e-18 1.489950e-18
8.200000e+00 1.539975e-18 1.539975e-18
8.300000e+00 1.590000e-18 1.590000e-18
8.400000e+00 1.639950e-18 1.639950e-18
8.500000e+00 1.689975e-18 1.689975e-18
8.600000e+00 1.740000e-18 1.740000e-18
8.700000e+00 1.789950e-18 1.789950e-18
8.800000e+00 1.839975e-18 1.839975e-18
8.900000e+00 1.890000e-18 1.890000e-18
9.000000e+00 1.939950e-18 1.939950e-18
9.100000e+00 1.989963e-18 1.989963e-18
9.200000e+00 2.039555e-18 2.039555e-18
9.300000e+00 2.088470e-18 2.088470e-18
9.400000e+00 2.137259e-18 2.137259e-18
9.500000e+00 2.186049e-18 2.186049e-18
9.600000e+00 2.234766e-18 2.234766e-18
9.700000e+00 2.283556e-18 2.283556e-18
9.800000e+00 2.332346e-18 2.332346e-18
9.900000e+00 2.381062e-18 2.381062e-18
1.000000e+01 2.429852e-18 2.429852e-18
1.010000e+01 2.478642e-18 2.478642e-18
1.020000e+01 2.527359e-18 2.527359e-18
1.030000e+01 2.576148e-18 2.576148e-18
1.040000e+01 2.624938e-18 2.624938e-18
1.050000e+01 2.673655e-18 2.673655e-18
1.060000e+01 2.722445e-18 2.722445e-18
1.070000e+01 2.771235e-18 2.771235e-18
1.080000e+01 2.822321e-18 2.822321e-18
1.090000e+01 2.878232e-18 2.878232e-18
1.100000e+01 2.936522e-18 2.936522e-18
1.110000e+01 2.994724e-18 2.994724e-18
1.120000e+01 3.053014e-18 3.053014e-18
1.130000e+01 3.111304e-18 3.111304e-18
