# OCS cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: limao-vieira2015, feng2000b 10.1016/S0301-0104(00)00083-5, feng2000c 10.1016/S0301-0104(99)00363-8,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
3.440000e+00 2.249342e-18 2.249342e-18
3.540000e+00 2.279000e-18 2.279000e-18
3.640000e+00 2.388205e-18 2.388205e-18
3.740000e+00 2.571750e-18 2.571750e-18
3.840000e+00 2.813659e-18 2.813659e-18
3.940000e+00 3.049000e-18 3.049000e-18
4.040000e+00 3.152750e-18 3.152750e-18
4.140000e+00 3.108500e-18 3.108500e-18
4.240000e+00 3.563500e-18 3.563500e-18
4.340000e+00 3.278293e-18 3.278293e-18
4.440000e+00 2.556098e-18 2.556098e-18
4.540000e+00 2.644750e-18 2.644750e-18
4.640000e+00 2.740789e-18 2.740789e-18
4.740000e+00 2.854250e-18 2.854250e-18
4.840000e+00 2.953333e-18 2.953333e-18
4.940000e+00 3.045000e-18 3.045000e-18
5.040000e+00 3.120976e-18 3.120976e-18
5.140000e+00 3.183684e-18 3.183684e-18
5.240000e+00 3.249500e-18 3.249500e-18
5.340000e+00 3.385714e-18 3.385714e-18
5.440000e+00 3.397179e-18 3.397179e-18
5.540000e+00 3.320250e-18 3.320250e-18
5.640000e+00 3.392439e-18 3.392439e-18
5.740000e+00 3.438378e-18 3.438378e-18
5.840000e+00 3.521053e-18 3.521053e-18
5.940000e+00 3.627568e-18 3.627568e-18
6.040000e+00 3.768571e-18 3.768571e-18
6.140000e+00 3.838000e-18 3.838000e-18
6.240000e+00 3.869737e-18 3.869737e-18
6.340000e+00 3.772308e-18 3.772308e-18
6.440000e+00 3.618293e-18 3.618293e-18
6.540000e+00 3.546750e-18 3.546750e-18
6.640000e+00 3.605500e-18 3.605500e-18
6.740000e+00 3.728000e-18 3.728000e-18
6.840000e+00 3.892368e-18 3.892368e-18
6.940000e+00 3.995476e-18 3.995476e-18
7.040000e+00 3.761000e-18 3.761000e-18
7.140000e+00 2.894474e-18 2.894474e-18
7.240000e+00 2.160714e-18 2.160714e-18
7.340000e+00 2.044103e-18 2.044103e-18
7.440000e+00 1.898000e-18 1.898000e-18
7.540000e+00 1.410488e-18 1.410488e-18
7.640000e+00 1.066486e-18 1.066486e-18
7.740000e+00 1.089744e-18 1.089744e-18
7.840000e+00 1.120000e-18 1.120000e-18
7.940000e+00 1.143939e-18 1.143939e-18
8.040000e+00 1.168000e-18 1.168000e-18
8.140000e+00 1.186364e-18 1.186364e-18
8.240000e+00 1.226364e-18 1.226364e-18
8.340000e+00 1.252727e-18 1.252727e-18
8.440000e+00 1.281818e-18 1.281818e-18
8.540000e+00 1.316667e-18 1.316667e-18
8.640000e+00 1.347500e-18 1.347500e-18
8.740000e+00 1.373846e-18 1.373846e-18
8.840000e+00 1.412308e-18 1.412308e-18
8.940000e+00 1.440000e-18 1.440000e-18
9.040000e+00 1.471429e-18 1.471429e-18
9.140000e+00 1.509231e-18 1.509231e-18
9.240000e+00 1.555385e-18 1.555385e-18
9.340000e+00 1.585714e-18 1.585714e-18
9.440000e+00 1.620000e-18 1.620000e-18
9.540000e+00 1.660000e-18 1.660000e-18
9.640000e+00 1.693333e-18 1.693333e-18
9.740000e+00 1.733333e-18 1.733333e-18
9.840000e+00 1.780000e-18 1.780000e-18
9.940000e+00 1.817500e-18 1.817500e-18
1.004000e+01 1.857500e-18 1.857500e-18
1.014000e+01 1.901250e-18 1.901250e-18
1.024000e+01 1.947647e-18 1.947647e-18
1.034000e+01 1.993333e-18 1.993333e-18
1.044000e+01 2.026667e-18 2.026667e-18
1.054000e+01 2.060000e-18 2.060000e-18
1.064000e+01 2.093333e-18 2.093333e-18
1.074000e+01 2.133684e-18 2.133684e-18
1.084000e+01 2.181053e-18 2.181053e-18
1.094000e+01 2.225263e-18 2.225263e-18
1.104000e+01 2.267368e-18 2.267368e-18
1.114000e+01 2.311500e-18 2.311500e-18
1.124000e+01 2.356500e-18 2.356500e-18
1.134000e+01 2.403333e-18 2.403333e-18
1.144000e+01 2.450952e-18 2.450952e-18
1.154000e+01 2.497273e-18 2.497273e-18
1.164000e+01 2.542727e-18 2.542727e-18
