# Cross sections for OH+
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: OH+ P.D. CF. Saxon & Liu '86
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
9.115000e+01 2.800000e-18 2.800000e-18
9.125000e+01 2.766234e-18 2.766234e-18
9.135000e+01 2.732468e-18 2.732468e-18
9.145000e+01 2.698701e-18 2.698701e-18
9.155000e+01 2.664935e-18 2.664935e-18
9.165000e+01 2.631169e-18 2.631169e-18
9.175000e+01 2.597403e-18 2.597403e-18
9.185000e+01 2.563636e-18 2.563636e-18
9.195000e+01 2.529870e-18 2.529870e-18
9.205000e+01 2.496104e-18 2.496104e-18
9.215000e+01 2.462338e-18 2.462338e-18
9.225000e+01 2.428571e-18 2.428571e-18
9.235000e+01 2.394805e-18 2.394805e-18
9.245000e+01 2.361039e-18 2.361039e-18
9.255000e+01 2.327273e-18 2.327273e-18
9.265000e+01 2.293506e-18 2.293506e-18
9.275000e+01 2.259740e-18 2.259740e-18
9.285000e+01 2.225974e-18 2.225974e-18
9.295000e+01 2.192208e-18 2.192208e-18
9.305000e+01 2.158442e-18 2.158442e-18
9.315000e+01 2.124675e-18 2.124675e-18
9.325000e+01 2.090909e-18 2.090909e-18
9.335000e+01 2.057143e-18 2.057143e-18
9.345000e+01 2.023377e-18 2.023377e-18
9.355000e+01 1.989610e-18 1.989610e-18
9.365000e+01 1.955844e-18 1.955844e-18
9.375000e+01 1.922078e-18 1.922078e-18
9.385000e+01 1.888312e-18 1.888312e-18
9.395000e+01 1.854545e-18 1.854545e-18
9.405000e+01 1.820779e-18 1.820779e-18
9.415000e+01 1.787013e-18 1.787013e-18
9.425000e+01 1.753247e-18 1.753247e-18
9.435000e+01 1.719481e-18 1.719481e-18
9.445000e+01 1.685714e-18 1.685714e-18
9.455000e+01 1.651948e-18 1.651948e-18
9.465000e+01 1.618182e-18 1.618182e-18
9.475000e+01 1.584416e-18 1.584416e-18
9.485000e+01 1.550649e-18 1.550649e-18
9.495000e+01 1.516883e-18 1.516883e-18
9.505000e+01 1.492000e-18 1.492000e-18
9.515000e+01 1.476000e-18 1.476000e-18
9.525000e+01 1.460000e-18 1.460000e-18
9.535000e+01 1.444000e-18 1.444000e-18
9.545000e+01 1.428000e-18 1.428000e-18
9.555000e+01 1.412000e-18 1.412000e-18
9.565000e+01 1.396000e-18 1.396000e-18
