# Cross sections for OH - reduced to   110points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Photodissociation source: OH P.D. cf. van Dishoeck & Dalgarno '84                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# Lines represented with gaussian of width 1.0 nm FWHM                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# photodissociation:  cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
9.220000E+01 1.786885E-20 1.786885E-20
9.320000E+01 3.573770E-20 3.573770E-20
9.420000E+01 5.360656E-20 5.360656E-20
9.520000E+01 7.147541E-20 7.147541E-20
9.620000E+01 8.934426E-20 8.934426E-20
9.720000E+01 1.072131E-19 1.072131E-19
9.820000E+01 2.672196E-19 2.672196E-19
9.920000E+01 2.000557E-18 2.000557E-18
1.002000E+02 1.111606E-17 1.111606E-17
1.012000E+02 1.989412E-18 1.989412E-18
1.022000E+02 3.462887E-18 3.462887E-18
1.032000E+02 3.279282E-18 3.279282E-18
1.042000E+02 5.948928E-18 5.948928E-18
1.052000E+02 5.478891E-18 5.478891E-18
1.062000E+02 6.652635E-18 6.652635E-18
1.072000E+02 7.642106E-18 7.642106E-18
1.082000E+02 8.122810E-18 8.122810E-18
1.092000E+02 8.570679E-18 8.570679E-18
1.102000E+02 7.683084E-18 7.683084E-18
1.112000E+02 7.562752E-18 7.562752E-18
1.122000E+02 7.178571E-18 7.178571E-18
1.132000E+02 6.335714E-18 6.335714E-18
1.142000E+02 5.506190E-18 5.506190E-18
1.152000E+02 4.696667E-18 4.696667E-18
1.162000E+02 3.975909E-18 3.975909E-18
1.172000E+02 3.465566E-18 3.465566E-18
1.182000E+02 3.138974E-18 3.138974E-18
1.192000E+02 2.800562E-18 2.800562E-18
1.202000E+02 2.561870E-18 2.561870E-18
1.212000E+02 2.862425E-18 2.862425E-18
1.222000E+02 4.872931E-18 4.872931E-18
1.232000E+02 2.128667E-18 2.128667E-18
1.242000E+02 2.034964E-18 2.034964E-18
1.252000E+02 2.010960E-18 2.010960E-18
1.262000E+02 1.936154E-18 1.936154E-18
1.272000E+02 1.842969E-18 1.842969E-18
1.282000E+02 1.740000E-18 1.740000E-18
1.292000E+02 1.633382E-18 1.633382E-18
1.302000E+02 1.501029E-18 1.501029E-18
1.312000E+02 1.347046E-18 1.347046E-18
1.322000E+02 1.183345E-18 1.183345E-18
1.332000E+02 1.019644E-18 1.019644E-18
1.342000E+02 9.249147E-19 9.249147E-19
1.352000E+02 8.395904E-19 8.395904E-19
1.362000E+02 7.542662E-19 7.542662E-19
1.372000E+02 7.657312E-19 7.657312E-19
1.382000E+02 7.822903E-19 7.822903E-19
1.392000E+02 7.988495E-19 7.988495E-19
1.402000E+02 8.154086E-19 8.154086E-19
1.412000E+02 8.645455E-19 8.645455E-19
1.422000E+02 9.896970E-19 9.896970E-19
1.432000E+02 1.114848E-18 1.114848E-18
1.442000E+02 1.240000E-18 1.240000E-18
1.452000E+02 1.431176E-18 1.431176E-18
1.462000E+02 1.622353E-18 1.622353E-18
1.472000E+02 1.813529E-18 1.813529E-18
1.482000E+02 2.000000E-18 2.000000E-18
1.492000E+02 2.183333E-18 2.183333E-18
1.502000E+02 2.366667E-18 2.366667E-18
1.512000E+02 2.550000E-18 2.550000E-18
1.522000E+02 2.660526E-18 2.660526E-18
1.532000E+02 2.771053E-18 2.771053E-18
1.542000E+02 2.881579E-18 2.881579E-18
1.552000E+02 2.974211E-18 2.974211E-18
1.562000E+02 2.995263E-18 2.995263E-18
1.572000E+02 2.994286E-18 2.994286E-18
1.582000E+02 2.941905E-18 2.941905E-18
1.592000E+02 2.869756E-18 2.869756E-18
1.602000E+02 2.718537E-18 2.718537E-18
1.612000E+02 2.567317E-18 2.567317E-18
1.622000E+02 2.416098E-18 2.416098E-18
1.632000E+02 2.260455E-18 2.260455E-18
1.642000E+02 2.065000E-18 2.065000E-18
1.652000E+02 1.869545E-18 1.869545E-18
1.662000E+02 1.674091E-18 1.674091E-18
1.672000E+02 1.478636E-18 1.478636E-18
1.682000E+02 1.312766E-18 1.312766E-18
1.692000E+02 1.159574E-18 1.159574E-18
1.702000E+02 1.006383E-18 1.006383E-18
1.712000E+02 8.531915E-19 8.531915E-19
1.722000E+02 7.000000E-19 7.000000E-19
1.732000E+02 6.142857E-19 6.142857E-19
1.742000E+02 5.285714E-19 5.285714E-19
1.752000E+02 4.428571E-19 4.428571E-19
1.762000E+02 3.571429E-19 3.571429E-19
1.772000E+02 2.780147E-19 2.780147E-19
1.782000E+02 2.581618E-19 2.581618E-19
1.792000E+02 2.383088E-19 2.383088E-19
1.802000E+02 2.184559E-19 2.184559E-19
1.812000E+02 1.986029E-19 1.986029E-19
1.822000E+02 1.787500E-19 1.787500E-19
1.832000E+02 1.588971E-19 1.588971E-19
1.842000E+02 1.390441E-19 1.390441E-19
1.852000E+02 1.191912E-19 1.191912E-19
1.862000E+02 9.933824E-20 9.933824E-20
1.872000E+02 7.948529E-20 7.948529E-20
1.882000E+02 5.963235E-20 5.963235E-20
1.892000E+02 3.977941E-20 3.977941E-20
1.902000E+02 1.992647E-20 1.992647E-20
1.912000E+02 8.837209E-21 8.837209E-21
1.922000E+02 6.511628E-21 6.511628E-21
1.932000E+02 4.186047E-21 4.186047E-21
1.942000E+02 1.860465E-21 1.860465E-21
2.587000E+02 0.000000E+00 0.000000E+00
2.597000E+02 1.421206E-24 1.421206E-24
2.607000E+02 1.013540E-20 1.013540E-20
2.617000E+02 2.823482E-19 2.823482E-19
2.627000E+02 3.072480E-20 3.072480E-20
2.637000E+02 1.306030E-23 1.306030E-23
2.647000E+02 2.168589E-29 2.168589E-29
