# S2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-09-27
# references: pradhan1996 10.1016/0009-2614(96)00363-6, liao1986 10.1063/1.450576, smith1971 10.1016/0022-4073(71)90160-9, wheeler1998 10.1063/1.476074,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
6.176330e+01 2.562140e-18 2.562140e-18
6.186330e+01 2.585372e-18 2.585372e-18
6.196330e+01 2.600380e-18 2.600380e-18
6.206330e+01 2.607215e-18 2.607215e-18
6.216330e+01 2.625641e-18 2.625641e-18
6.226330e+01 2.666824e-18 2.666824e-18
6.236330e+01 2.682523e-18 2.682523e-18
6.246330e+01 2.701334e-18 2.701334e-18
6.256330e+01 2.759162e-18 2.759162e-18
6.266330e+01 2.797965e-18 2.797965e-18
6.276330e+01 2.817089e-18 2.817089e-18
6.286330e+01 2.857011e-18 2.857011e-18
6.296330e+01 2.868070e-18 2.868070e-18
6.306330e+01 2.879935e-18 2.879935e-18
6.316330e+01 2.925430e-18 2.925430e-18
6.326330e+01 2.938667e-18 2.938667e-18
6.336330e+01 2.950382e-18 2.950382e-18
6.346330e+01 2.990583e-18 2.990583e-18
6.356330e+01 3.015097e-18 3.015097e-18
6.366330e+01 3.040150e-18 3.040150e-18
6.376330e+01 3.053379e-18 3.053379e-18
6.386330e+01 3.081223e-18 3.081223e-18
6.396330e+01 3.123069e-18 3.123069e-18
6.406330e+01 3.146307e-18 3.146307e-18
6.416330e+01 3.174003e-18 3.174003e-18
6.426330e+01 3.215491e-18 3.215491e-18
6.436330e+01 3.234755e-18 3.234755e-18
6.446330e+01 3.277522e-18 3.277522e-18
6.456330e+01 3.288720e-18 3.288720e-18
6.466330e+01 3.306421e-18 3.306421e-18
6.476330e+01 3.320344e-18 3.320344e-18
6.486330e+01 3.333335e-18 3.333335e-18
6.496330e+01 3.339938e-18 3.339938e-18
6.506330e+01 3.346080e-18 3.346080e-18
