# SH+ cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: mcmillan2016 http://stacks.iop.org/0953-4075/49/i=8/a=084001,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
7.000000e+01 1.371265e-24 1.371265e-24
7.010000e+01 1.734364e-24 1.734364e-24
7.020000e+01 2.097464e-24 2.097464e-24
7.030000e+01 2.460563e-24 2.460563e-24
7.040000e+01 2.823662e-24 2.823662e-24
7.050000e+01 3.186761e-24 3.186761e-24
7.060000e+01 3.549861e-24 3.549861e-24
7.070000e+01 3.912960e-24 3.912960e-24
7.080000e+01 4.276059e-24 4.276059e-24
7.090000e+01 4.639158e-24 4.639158e-24
7.100000e+01 5.002257e-24 5.002257e-24
7.110000e+01 4.989799e-24 4.989799e-24
7.120000e+01 4.977341e-24 4.977341e-24
7.130000e+01 4.964882e-24 4.964882e-24
7.140000e+01 4.952424e-24 4.952424e-24
7.150000e+01 4.939965e-24 4.939965e-24
7.160000e+01 4.927507e-24 4.927507e-24
7.170000e+01 4.915048e-24 4.915048e-24
7.180000e+01 4.902590e-24 4.902590e-24
7.190000e+01 4.890132e-24 4.890132e-24
7.200000e+01 4.877673e-24 4.877673e-24
7.210000e+01 4.872118e-24 4.872118e-24
7.220000e+01 4.866562e-24 4.866562e-24
7.230000e+01 4.861006e-24 4.861006e-24
7.240000e+01 4.855451e-24 4.855451e-24
7.250000e+01 4.849895e-24 4.849895e-24
7.260000e+01 4.844339e-24 4.844339e-24
7.270000e+01 4.838784e-24 4.838784e-24
7.280000e+01 4.833228e-24 4.833228e-24
7.290000e+01 4.827673e-24 4.827673e-24
7.300000e+01 4.822117e-24 4.822117e-24
7.310000e+01 5.756540e-24 5.756540e-24
7.320000e+01 6.690963e-24 6.690963e-24
7.330000e+01 7.625387e-24 7.625387e-24
7.340000e+01 8.559810e-24 8.559810e-24
7.350000e+01 9.494233e-24 9.494233e-24
7.360000e+01 1.042866e-23 1.042866e-23
7.370000e+01 1.136308e-23 1.136308e-23
7.380000e+01 1.229750e-23 1.229750e-23
