# SH cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: johns1961 10.1139/p61-016, friedl1983, bruna1987 10.1080/00268978700101851, resende2001 10.1063/1.1381577, sun_lee2001,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.182000e+02 4.822930e-22 2.245788e-28
1.183000e+02 4.358745e-22 1.090730e-27
1.184000e+02 3.937084e-22 5.011677e-27
1.185000e+02 3.554379e-22 2.178546e-26
1.186000e+02 3.207640e-22 8.959172e-26
1.187000e+02 2.895168e-22 3.485673e-25
1.188000e+02 2.618960e-22 1.282989e-24
1.189000e+02 2.392150e-22 4.467628e-24
1.190000e+02 1.471799e-23 1.471799e-23
1.191000e+02 4.587096e-23 4.587096e-23
1.192000e+02 1.352523e-22 1.352523e-22
1.193000e+02 3.772846e-22 3.772846e-22
1.194000e+02 9.956620e-22 9.956620e-22
1.195000e+02 2.485836e-21 2.485836e-21
1.196000e+02 5.871530e-21 5.871530e-21
1.197000e+02 1.312047e-20 1.312047e-20
1.198000e+02 2.773755e-20 2.773755e-20
1.199000e+02 5.547669e-20 5.547669e-20
1.200000e+02 1.049741e-19 1.049741e-19
1.201000e+02 1.879293e-19 1.879293e-19
1.202000e+02 3.183236e-19 3.183236e-19
1.203000e+02 5.102079e-19 5.102079e-19
1.204000e+02 7.739468e-19 7.739468e-19
1.205000e+02 1.111524e-18 1.111524e-18
1.206000e+02 1.512434e-18 1.512434e-18
1.207000e+02 1.952422e-18 1.952422e-18
1.208000e+02 2.397369e-18 2.397369e-18
1.209000e+02 2.813626e-18 2.813626e-18
1.210000e+02 3.184026e-18 3.184026e-18
1.211000e+02 3.526263e-18 3.526263e-18
1.212000e+02 3.908014e-18 3.908014e-18
1.213000e+02 4.452069e-18 4.452069e-18
1.214000e+02 5.325314e-18 5.325314e-18
1.215000e+02 6.708285e-18 6.708285e-18
1.216000e+02 8.746963e-18 8.746963e-18
1.217000e+02 1.149536e-17 1.149536e-17
1.218000e+02 1.486424e-17 1.486424e-17
1.219000e+02 1.859526e-17 1.859526e-17
1.220000e+02 2.227749e-17 2.227749e-17
1.221000e+02 2.541254e-17 2.541254e-17
1.222000e+02 2.751760e-17 2.751760e-17
1.223000e+02 2.823914e-17 2.823914e-17
1.224000e+02 2.744172e-17 2.744172e-17
1.225000e+02 2.524176e-17 2.524176e-17
1.226000e+02 2.197526e-17 2.197526e-17
1.227000e+02 1.811181e-17 1.811181e-17
1.228000e+02 1.414586e-17 1.414586e-17
1.229000e+02 1.050043e-17 1.050043e-17
1.230000e+02 7.469359e-18 7.469359e-18
1.231000e+02 5.205622e-18 5.205622e-18
1.232000e+02 3.746298e-18 3.746298e-18
1.233000e+02 3.054079e-18 3.054079e-18
1.234000e+02 3.054994e-18 3.054994e-18
1.235000e+02 3.659071e-18 3.659071e-18
1.236000e+02 4.761228e-18 4.761228e-18
1.237000e+02 6.229345e-18 6.229345e-18
1.238000e+02 7.892083e-18 7.892083e-18
1.239000e+02 9.538996e-18 9.538996e-18
1.240000e+02 1.093999e-17 1.093999e-17
1.241000e+02 1.188227e-17 1.188227e-17
1.242000e+02 1.221395e-17 1.221395e-17
1.243000e+02 1.187916e-17 1.187916e-17
1.244000e+02 1.093080e-17 1.093080e-17
1.245000e+02 9.515733e-18 9.515733e-18
1.246000e+02 7.837050e-18 7.837050e-18
1.247000e+02 6.106346e-18 6.106346e-18
1.248000e+02 4.501197e-18 4.501197e-18
1.249000e+02 3.139008e-18 3.139008e-18
1.250000e+02 2.070973e-18 2.070973e-18
1.251000e+02 1.292629e-18 1.292629e-18
1.252000e+02 7.632928e-19 7.632928e-19
1.253000e+02 4.264086e-19 4.264086e-19
1.254000e+02 2.253608e-19 2.253608e-19
1.255000e+02 1.126804e-19 1.126804e-19
1.256000e+02 5.330108e-20 5.330108e-20
1.257000e+02 2.385290e-20 2.385290e-20
1.258000e+02 1.009867e-20 1.009867e-20
1.259000e+02 4.044868e-21 4.044868e-21
1.260000e+02 1.532718e-21 1.532718e-21
1.261000e+02 5.494624e-22 5.494624e-22
1.262000e+02 1.863508e-22 1.863508e-22
1.263000e+02 5.979185e-23 5.979185e-23
1.264000e+02 1.814974e-23 1.814974e-23
1.265000e+02 5.212144e-24 5.212144e-24
1.266000e+02 1.416055e-24 1.416055e-24
1.267000e+02 3.639664e-25 3.639664e-25
1.268000e+02 8.850342e-26 8.850342e-26
1.269000e+02 2.035994e-26 2.035994e-26
1.270000e+02 4.431089e-27 4.431089e-27
1.271000e+02 9.123513e-28 9.123513e-28
1.272000e+02 1.777180e-28 1.777180e-28
1.273000e+02 0.000000e+00 0.000000e+00
1.275000e+02 0.000000e+00 0.000000e+00
1.276000e+02 2.245788e-27 2.245788e-27
1.277000e+02 1.090730e-26 1.090730e-26
1.278000e+02 5.011677e-26 5.011677e-26
1.279000e+02 2.178546e-25 2.178546e-25
1.280000e+02 8.959172e-25 8.959172e-25
1.281000e+02 3.485673e-24 3.485673e-24
1.282000e+02 1.282989e-23 1.282989e-23
1.283000e+02 4.467628e-23 4.467628e-23
1.284000e+02 1.471799e-22 1.471799e-22
1.285000e+02 4.587096e-22 4.587096e-22
1.286000e+02 1.352523e-21 1.352523e-21
1.287000e+02 3.772846e-21 3.772846e-21
1.288000e+02 9.956599e-21 9.956599e-21
1.289000e+02 2.485825e-20 2.485825e-20
1.290000e+02 5.871483e-20 5.871483e-20
1.291000e+02 1.312026e-19 1.312026e-19
1.292000e+02 2.773671e-19 2.773671e-19
1.293000e+02 5.547343e-19 5.547343e-19
1.294000e+02 1.049621e-18 1.049621e-18
1.295000e+02 1.878875e-18 1.878875e-18
1.296000e+02 3.181856e-18 3.181856e-18
1.297000e+02 5.097779e-18 5.097779e-18
1.298000e+02 7.726788e-18 7.726788e-18
1.299000e+02 1.107987e-17 1.107987e-17
1.300000e+02 1.503100e-17 1.503100e-17
1.301000e+02 1.929117e-17 1.929117e-17
1.302000e+02 2.342324e-17 2.342324e-17
1.303000e+02 2.690624e-17 2.690624e-17
1.304000e+02 2.923995e-17 2.923995e-17
1.305000e+02 3.006199e-17 3.006199e-17
1.306000e+02 2.923995e-17 2.923995e-17
1.307000e+02 2.690624e-17 2.690624e-17
1.308000e+02 2.342324e-17 2.342324e-17
1.309000e+02 1.929117e-17 1.929117e-17
1.310000e+02 1.503100e-17 1.503100e-17
1.311000e+02 1.107987e-17 1.107987e-17
1.312000e+02 7.726788e-18 7.726788e-18
1.313000e+02 5.097779e-18 5.097779e-18
1.314000e+02 3.181856e-18 3.181856e-18
1.315000e+02 1.878875e-18 1.878875e-18
1.316000e+02 1.049621e-18 1.049621e-18
1.317000e+02 5.547343e-19 5.547343e-19
1.318000e+02 2.773671e-19 2.773671e-19
1.319000e+02 1.312027e-19 1.312027e-19
1.320000e+02 5.871493e-20 5.871493e-20
1.321000e+02 2.485865e-20 2.485865e-20
1.322000e+02 9.958042e-21 9.958042e-21
1.323000e+02 3.777872e-21 3.777872e-21
1.324000e+02 1.369081e-21 1.369081e-21
1.325000e+02 5.103144e-22 5.103144e-22
1.326000e+02 2.993388e-22 2.993388e-22
1.327000e+02 4.691214e-22 4.691214e-22
1.328000e+02 1.132947e-21 1.132947e-21
1.329000e+02 2.800042e-21 2.800042e-21
1.330000e+02 6.606326e-21 6.606326e-21
1.331000e+02 1.476057e-20 1.476057e-20
1.332000e+02 3.120408e-20 3.120408e-20
1.333000e+02 6.240854e-20 6.240854e-20
1.334000e+02 1.180860e-19 1.180860e-19
1.335000e+02 2.113866e-19 2.113866e-19
1.336000e+02 3.580049e-19 3.580049e-19
