# SO2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-09-27
# references: manatt1993 10.1016/0022-4073(93)90077-U, holland1995 10.1016/0301-0104(95)00266-7, katagiri1997 10.1016/S0022-2860(97)00199-3, wu2000 10.1006/icar.1999.6322,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
6.984986e+01 6.317746e-17 4.570452e-20
6.994986e+01 6.299513e-17 5.924094e-19
7.004986e+01 6.281280e-17 1.139114e-18
7.014986e+01 6.263047e-17 1.395409e-18
7.024986e+01 6.244815e-17 8.487046e-19
7.034986e+01 6.228945e-17 7.620591e-19
7.044986e+01 6.152756e-17 0.000000e+00
7.264986e+01 5.574319e-17 0.000000e+00
7.274986e+01 5.510498e-17 5.274317e-20
7.284986e+01 5.494322e-17 5.938042e-20
7.294986e+01 5.476089e-17 9.721198e-20
7.304986e+01 5.457856e-17 2.257542e-19
7.314986e+01 5.439623e-17 3.842759e-19
7.324986e+01 5.421391e-17 5.427975e-19
7.334986e+01 5.407347e-17 9.423749e-19
7.344986e+01 5.393601e-17 1.359097e-18
7.354986e+01 5.380447e-17 1.731621e-18
7.364986e+01 5.371234e-17 1.809928e-18
7.374986e+01 5.362021e-17 1.888234e-18
7.384986e+01 5.352809e-17 1.966540e-18
7.394986e+01 5.343596e-17 2.044846e-18
7.404986e+01 5.334383e-17 2.123152e-18
7.414986e+01 5.319887e-17 2.337222e-18
7.424986e+01 5.284270e-17 3.169100e-18
7.434986e+01 5.277902e-17 3.944774e-18
7.444986e+01 5.285349e-17 5.136945e-18
7.454986e+01 5.278398e-17 5.896485e-18
7.464986e+01 5.252053e-17 6.478763e-18
7.474986e+01 5.240593e-17 6.849708e-18
7.484986e+01 5.235281e-17 7.442625e-18
7.494986e+01 5.235257e-17 7.964193e-18
7.504986e+01 5.242554e-17 8.614268e-18
7.514986e+01 5.235998e-17 9.004804e-18
7.524986e+01 5.204421e-17 9.121484e-18
7.534986e+01 5.186946e-17 9.182446e-18
7.544986e+01 5.195043e-17 9.449374e-18
7.554986e+01 5.214780e-17 9.709005e-18
7.564986e+01 5.236278e-17 9.705964e-18
7.574986e+01 5.153161e-17 9.093351e-18
7.584986e+01 5.109544e-17 8.519213e-18
7.594986e+01 5.150727e-17 8.401299e-18
7.604986e+01 5.208766e-17 8.340022e-18
7.614986e+01 5.257267e-17 8.340255e-18
7.624986e+01 5.084021e-17 7.361188e-18
7.634986e+01 5.011840e-17 6.897452e-18
7.644986e+01 5.099499e-17 7.046175e-18
7.654986e+01 5.112245e-17 6.659516e-18
7.664986e+01 5.176157e-17 6.422295e-18
7.674986e+01 5.065403e-17 5.991917e-18
7.684986e+01 4.850184e-17 5.139992e-18
7.694986e+01 4.996629e-17 5.334954e-18
7.704986e+01 5.044786e-17 5.307653e-18
7.714986e+01 5.038077e-17 4.652052e-18
7.724986e+01 4.973432e-17 4.044246e-18
7.734986e+01 4.846657e-17 3.714126e-18
7.744986e+01 4.875277e-17 3.785201e-18
7.754986e+01 4.946072e-17 3.995196e-18
7.764986e+01 4.894080e-17 3.050912e-18
7.774986e+01 4.784478e-17 2.287126e-18
7.784986e+01 4.668771e-17 2.166167e-18
7.794986e+01 4.859384e-17 2.592314e-18
7.804986e+01 4.952088e-17 2.857413e-18
7.814986e+01 4.830666e-17 2.516980e-18
7.824986e+01 4.631370e-17 1.710708e-18
7.834986e+01 4.654651e-17 1.116449e-18
7.844986e+01 4.807950e-17 1.562434e-18
7.854986e+01 4.794843e-17 1.962651e-18
7.864986e+01 4.734822e-17 1.750487e-18
7.874986e+01 4.682077e-17 1.090191e-18
7.884986e+01 4.658729e-17 3.125666e-19
7.894986e+01 4.696761e-17 3.880530e-19
7.904986e+01 4.701084e-17 6.513882e-19
7.914986e+01 4.550782e-17 2.924740e-19
7.924986e+01 4.371950e-17 6.462472e-21
7.934986e+01 4.368309e-17 0.000000e+00
8.054986e+01 4.196877e-17 0.000000e+00
8.064986e+01 4.415783e-17 9.487702e-20
8.074986e+01 4.481996e-17 1.641954e-19
