# SO2 cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Alan Heays 2017-09-27
# references: manatt1993 10.1016/0022-4073(93)90077-U, holland1995 10.1016/0301-0104(95)00266-7, katagiri1997 10.1016/S0022-2860(97)00199-3, wu2000 10.1006/icar.1999.6322,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
1.649860e+00 3.853210e-19 3.853210e-19
1.749860e+00 4.164894e-19 4.164894e-19
1.849860e+00 4.476579e-19 4.476579e-19
1.949860e+00 4.788263e-19 4.788263e-19
2.049860e+00 5.099948e-19 5.099948e-19
2.149860e+00 5.411632e-19 5.411632e-19
2.249860e+00 5.723317e-19 5.723317e-19
2.349860e+00 6.035001e-19 6.035001e-19
2.449860e+00 6.346686e-19 6.346686e-19
2.549860e+00 6.956260e-19 6.956260e-19
2.649860e+00 7.660784e-19 7.660784e-19
2.749860e+00 8.365307e-19 8.365307e-19
2.849860e+00 9.069831e-19 9.069831e-19
2.949860e+00 9.774354e-19 9.774354e-19
3.049860e+00 1.082600e-18 1.082600e-18
3.149860e+00 1.273121e-18 1.273121e-18
3.249860e+00 1.463643e-18 1.463643e-18
3.349860e+00 1.548189e-18 1.548189e-18
3.449860e+00 1.559851e-18 1.559851e-18
3.549860e+00 1.571512e-18 1.571512e-18
3.649860e+00 1.583173e-18 1.583173e-18
3.749860e+00 1.594835e-18 1.594835e-18
3.849860e+00 1.606496e-18 1.606496e-18
3.949860e+00 1.618157e-18 1.618157e-18
4.049860e+00 1.629818e-18 1.629818e-18
4.149860e+00 1.641480e-18 1.641480e-18
4.249860e+00 1.653141e-18 1.653141e-18
4.349860e+00 1.664802e-18 1.664802e-18
4.449860e+00 1.710464e-18 1.710464e-18
4.549860e+00 1.780918e-18 1.780918e-18
4.649860e+00 1.851373e-18 1.851373e-18
4.749860e+00 1.921828e-18 1.921828e-18
4.849860e+00 1.992282e-18 1.992282e-18
4.949860e+00 2.065327e-18 2.065327e-18
5.049860e+00 2.159526e-18 2.159526e-18
5.149860e+00 2.253725e-18 2.253725e-18
5.249860e+00 2.347923e-18 2.347923e-18
5.349860e+00 2.442122e-18 2.442122e-18
5.449860e+00 2.536321e-18 2.536321e-18
