# SO cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: phillips1981 10.1021/j150626a009, nee1986b 10.1063/1.449940, norwood1989 10.1016/S0009-2614(89)87110-6,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.159670e+02 5.146670e-17 4.337631e-17
1.160670e+02 9.919427e-17 8.926060e-17
1.161670e+02 9.791255e-17 8.951080e-17
1.162670e+02 9.674668e-17 9.176364e-17
1.163670e+02 9.558082e-17 9.083755e-17
1.164670e+02 9.467668e-17 9.008002e-17
1.165670e+02 9.391347e-17 8.941324e-17
1.166670e+02 9.458757e-17 9.026468e-17
1.167670e+02 9.694893e-17 9.289837e-17
1.168670e+02 9.931030e-17 9.467100e-17
1.169670e+02 1.013120e-16 9.635945e-17
1.170670e+02 1.031939e-16 9.799504e-17
1.171670e+02 1.044365e-16 9.883433e-17
1.172670e+02 1.056790e-16 9.991464e-17
1.173670e+02 1.063717e-16 1.009628e-16
1.174670e+02 1.054086e-16 1.006725e-16
1.175670e+02 1.038196e-16 9.956935e-17
1.176670e+02 1.010136e-16 9.679787e-17
1.177670e+02 9.820750e-17 9.353122e-17
1.178670e+02 9.690183e-17 9.126307e-17
1.179670e+02 9.554273e-17 8.879787e-17
1.180670e+02 9.641986e-17 9.006253e-17
1.181670e+02 9.904869e-17 9.440846e-17
1.182670e+02 1.016775e-16 9.737744e-17
1.183670e+02 1.039456e-16 1.001576e-16
1.184670e+02 1.045372e-16 1.013106e-16
1.185670e+02 1.033597e-16 1.006576e-16
1.186670e+02 1.021822e-16 9.982254e-17
1.187670e+02 1.010048e-16 9.890534e-17
1.188670e+02 9.982730e-17 9.793991e-17
1.189670e+02 1.003972e-16 9.864672e-17
1.190670e+02 1.019080e-16 1.002540e-16
1.191670e+02 1.036952e-16 1.019845e-16
1.192670e+02 1.058068e-16 1.038597e-16
1.193670e+02 1.076463e-16 1.056662e-16
1.194670e+02 1.093693e-16 1.074433e-16
1.195670e+02 1.103014e-16 1.083522e-16
1.196670e+02 1.109409e-16 1.089400e-16
1.197670e+02 1.115804e-16 1.092706e-16
1.198670e+02 1.122199e-16 1.095643e-16
1.199670e+02 1.134844e-16 1.108711e-16
1.200670e+02 1.187358e-16 1.165448e-16
1.201670e+02 1.243159e-16 1.223925e-16
1.202670e+02 1.298959e-16 1.282036e-16
1.203670e+02 1.354759e-16 1.338377e-16
1.204670e+02 1.406249e-16 1.390656e-16
1.205670e+02 1.400463e-16 1.388977e-16
1.206670e+02 1.379931e-16 1.374479e-16
1.207670e+02 1.346839e-16 1.345822e-16
1.208670e+02 1.313746e-16 1.313204e-16
1.209670e+02 1.280653e-16 1.280586e-16
1.210670e+02 1.234248e-16 1.234248e-16
1.211670e+02 1.185676e-16 1.185676e-16
1.212670e+02 1.137104e-16 1.137104e-16
1.213670e+02 1.088532e-16 1.088532e-16
1.214670e+02 1.048868e-16 1.048868e-16
1.215670e+02 1.063923e-16 1.063923e-16
1.216670e+02 1.078979e-16 1.078979e-16
1.217670e+02 1.094034e-16 1.094034e-16
1.218670e+02 1.109090e-16 1.109090e-16
1.219670e+02 1.124145e-16 1.124145e-16
1.220670e+02 1.176437e-16 1.176437e-16
1.221670e+02 1.242501e-16 1.242501e-16
1.222670e+02 1.308565e-16 1.308565e-16
1.223670e+02 1.374629e-16 1.374629e-16
1.224670e+02 1.440693e-16 1.440693e-16
1.225670e+02 1.445710e-16 1.445710e-16
1.226670e+02 1.443182e-16 1.443182e-16
1.227670e+02 1.440653e-16 1.440653e-16
1.228670e+02 1.438125e-16 1.438125e-16
1.229670e+02 1.432321e-16 1.432321e-16
1.230670e+02 1.402492e-16 1.402492e-16
1.231670e+02 1.372664e-16 1.372664e-16
1.232670e+02 1.342836e-16 1.342836e-16
1.233670e+02 1.313007e-16 1.313007e-16
1.234670e+02 1.283179e-16 1.283179e-16
1.235670e+02 1.298495e-16 1.298495e-16
1.236670e+02 1.328068e-16 1.328068e-16
1.237670e+02 1.357641e-16 1.357641e-16
1.238670e+02 1.387214e-16 1.387214e-16
1.239670e+02 1.420258e-16 1.420258e-16
1.240670e+02 1.470249e-16 1.470249e-16
1.241670e+02 1.520239e-16 1.520239e-16
1.242670e+02 1.570230e-16 1.570230e-16
1.243670e+02 1.620220e-16 1.620220e-16
1.244670e+02 1.670211e-16 1.670211e-16
1.245670e+02 1.664881e-16 1.664881e-16
1.246670e+02 1.654740e-16 1.654740e-16
1.247670e+02 1.644599e-16 1.644599e-16
1.248670e+02 1.634458e-16 1.634458e-16
1.249670e+02 1.617307e-16 1.617307e-16
1.250670e+02 1.563352e-16 1.563352e-16
1.251670e+02 1.509397e-16 1.509397e-16
1.252670e+02 1.455441e-16 1.455441e-16
1.253670e+02 1.401486e-16 1.401486e-16
1.254670e+02 1.374558e-16 1.374558e-16
1.255670e+02 1.433214e-16 1.433214e-16
1.256670e+02 1.491871e-16 1.491871e-16
1.257670e+02 1.550528e-16 1.550528e-16
1.258670e+02 1.609185e-16 1.609185e-16
1.259670e+02 1.658613e-16 1.658613e-16
1.260670e+02 1.671126e-16 1.671126e-16
1.261670e+02 1.683639e-16 1.683639e-16
1.262670e+02 1.696152e-16 1.696152e-16
1.263670e+02 1.708665e-16 1.708665e-16
1.264670e+02 1.697638e-16 1.697638e-16
1.265670e+02 1.672184e-16 1.672184e-16
1.266670e+02 1.646730e-16 1.646730e-16
1.267670e+02 1.621276e-16 1.621276e-16
1.268670e+02 1.595822e-16 1.595822e-16
1.269670e+02 1.571514e-16 1.571514e-16
1.270670e+02 1.568985e-16 1.568985e-16
1.271670e+02 1.566457e-16 1.566457e-16
1.272670e+02 1.563929e-16 1.563929e-16
1.273670e+02 1.561400e-16 1.561400e-16
1.274670e+02 1.539219e-16 1.539219e-16
1.275670e+02 1.466502e-16 1.466502e-16
1.276670e+02 1.393784e-16 1.393784e-16
1.277670e+02 1.321067e-16 1.321067e-16
1.278670e+02 1.248349e-16 1.248349e-16
1.279670e+02 1.175632e-16 1.175632e-16
1.280670e+02 1.116412e-16 1.116412e-16
1.281670e+02 1.057610e-16 1.057610e-16
1.282670e+02 9.988076e-17 9.988076e-17
1.283670e+02 9.400055e-17 9.400055e-17
1.284670e+02 8.812033e-17 8.812033e-17
1.285670e+02 8.497829e-17 8.497829e-17
1.286670e+02 8.235781e-17 8.235781e-17
1.287670e+02 7.973732e-17 7.973732e-17
1.288670e+02 7.711684e-17 7.711684e-17
1.289670e+02 7.449635e-17 7.449635e-17
1.290670e+02 7.092383e-17 7.092383e-17
1.291670e+02 6.723363e-17 6.723363e-17
1.292670e+02 6.354344e-17 6.354344e-17
1.293670e+02 5.985324e-17 5.985324e-17
1.294670e+02 5.616305e-17 5.616305e-17
1.295670e+02 5.488920e-17 5.488920e-17
1.296670e+02 5.446433e-17 5.446433e-17
1.297670e+02 5.403946e-17 5.403946e-17
1.298670e+02 5.361459e-17 5.361459e-17
1.299670e+02 5.318972e-17 5.318972e-17
1.300670e+02 5.318528e-17 5.318528e-17
1.301670e+02 5.330643e-17 5.330643e-17
1.302670e+02 5.342757e-17 5.342757e-17
1.303670e+02 5.354872e-17 5.354872e-17
1.304670e+02 5.366986e-17 5.366986e-17
1.305670e+02 5.274406e-17 5.274406e-17
1.306670e+02 5.153997e-17 5.153997e-17
1.307670e+02 5.033587e-17 5.033587e-17
1.308670e+02 4.913177e-17 4.913177e-17
1.309670e+02 4.793061e-17 4.793061e-17
1.310670e+02 4.682414e-17 4.682414e-17
1.311670e+02 4.571767e-17 4.571767e-17
1.312670e+02 4.461120e-17 4.461120e-17
1.313670e+02 4.350474e-17 4.350474e-17
1.314670e+02 4.239827e-17 4.239827e-17
1.315670e+02 4.468833e-17 4.468833e-17
1.316670e+02 4.757777e-17 4.757777e-17
1.317670e+02 5.046722e-17 5.046722e-17
1.318670e+02 5.335666e-17 5.335666e-17
1.319670e+02 5.624611e-17 5.624611e-17
1.320670e+02 5.368376e-17 5.368376e-17
1.321670e+02 4.791958e-17 4.791958e-17
1.322670e+02 4.215540e-17 4.215540e-17
1.323670e+02 3.639122e-17 3.639122e-17
1.324670e+02 3.062703e-17 3.062703e-17
1.325670e+02 2.859923e-17 2.859923e-17
1.326670e+02 2.689633e-17 2.689633e-17
1.327670e+02 2.519342e-17 2.519342e-17
1.328670e+02 2.349052e-17 2.349052e-17
1.329670e+02 2.178762e-17 2.178762e-17
1.330670e+02 2.069866e-17 2.069866e-17
1.331670e+02 1.963528e-17 1.963528e-17
1.332670e+02 1.857191e-17 1.857191e-17
1.333670e+02 1.750853e-17 1.750853e-17
1.334670e+02 1.644515e-17 1.644515e-17
1.335670e+02 1.584748e-17 1.584748e-17
1.336670e+02 1.560114e-17 1.560114e-17
1.337670e+02 1.535479e-17 1.535479e-17
1.338670e+02 1.510844e-17 1.510844e-17
1.339670e+02 1.486210e-17 1.486210e-17
1.340670e+02 1.461575e-17 1.461575e-17
1.341670e+02 1.436940e-17 1.436940e-17
1.342670e+02 1.412306e-17 1.412306e-17
1.343670e+02 1.387671e-17 1.387671e-17
1.344670e+02 1.363036e-17 1.363036e-17
1.345670e+02 1.338402e-17 1.338402e-17
1.346670e+02 1.313767e-17 1.313767e-17
1.347670e+02 1.289132e-17 1.289132e-17
1.348670e+02 1.264498e-17 1.264498e-17
1.349670e+02 1.239863e-17 1.239863e-17
1.350670e+02 1.215228e-17 1.215228e-17
1.351670e+02 1.190594e-17 1.190594e-17
1.352670e+02 1.165959e-17 1.165959e-17
1.353670e+02 1.141324e-17 1.141324e-17
1.354670e+02 1.116690e-17 1.116690e-17
1.355670e+02 1.092055e-17 1.092055e-17
1.356670e+02 1.067420e-17 1.067420e-17
1.357670e+02 1.042786e-17 1.042786e-17
1.358670e+02 1.018151e-17 1.018151e-17
1.359670e+02 9.935162e-18 9.935162e-18
1.360670e+02 9.688815e-18 9.688815e-18
1.361670e+02 9.442469e-18 9.442469e-18
1.362670e+02 9.196122e-18 9.196122e-18
1.363670e+02 8.949775e-18 8.949775e-18
1.364670e+02 8.703428e-18 8.703428e-18
1.365670e+02 8.457082e-18 8.457082e-18
1.366670e+02 8.210735e-18 8.210735e-18
1.367670e+02 7.964388e-18 7.964388e-18
1.368670e+02 7.718042e-18 7.718042e-18
1.369670e+02 7.471695e-18 7.471695e-18
1.370670e+02 7.225348e-18 7.225348e-18
1.371670e+02 6.979002e-18 6.979002e-18
1.372670e+02 6.732655e-18 6.732655e-18
1.373670e+02 6.486308e-18 6.486308e-18
1.374670e+02 6.239962e-18 6.239962e-18
1.375670e+02 5.993615e-18 5.993615e-18
1.376670e+02 5.747268e-18 5.747268e-18
1.377670e+02 5.500922e-18 5.500922e-18
1.378670e+02 5.254575e-18 5.254575e-18
1.379670e+02 5.008228e-18 5.008228e-18
1.380670e+02 4.761881e-18 4.761881e-18
1.381670e+02 4.515535e-18 4.515535e-18
1.382670e+02 4.269188e-18 4.269188e-18
1.383670e+02 4.022841e-18 4.022841e-18
1.384670e+02 3.776495e-18 3.776495e-18
1.385670e+02 3.530148e-18 3.530148e-18
1.386670e+02 3.283801e-18 3.283801e-18
1.387670e+02 3.037455e-18 3.037455e-18
1.388670e+02 2.791108e-18 2.791108e-18
1.389670e+02 2.544761e-18 2.544761e-18
1.390670e+02 2.298415e-18 2.298415e-18
1.391670e+02 2.052068e-18 2.052068e-18
1.392670e+02 1.805721e-18 1.805721e-18
1.393670e+02 1.559375e-18 1.559375e-18
