# SO cross sections - reduced to   158points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: phillips1981 10.1021/j150626a009, nee1986b 10.1063/1.449940, norwood1989 10.1016/S0009-2614(89)87110-6,                                                                                                                                                                                                                                                                                                                                                                                               
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photodissociation -- Photodissociation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1.163670E+02 9.558082E-17 9.083755E-17
1.168670E+02 9.931030E-17 9.467100E-17
1.173670E+02 1.063717E-16 1.009628E-16
1.178670E+02 9.690183E-17 9.126307E-17
1.183670E+02 1.039456E-16 1.001576E-16
1.188670E+02 9.982730E-17 9.793991E-17
1.193670E+02 1.076463E-16 1.056662E-16
1.198670E+02 1.122199E-16 1.095643E-16
1.203670E+02 1.354759E-16 1.338377E-16
1.208670E+02 1.313746E-16 1.313204E-16
1.213670E+02 1.088532E-16 1.088532E-16
1.218670E+02 1.109090E-16 1.109090E-16
1.223670E+02 1.374629E-16 1.374629E-16
1.228670E+02 1.438125E-16 1.438125E-16
1.233670E+02 1.313007E-16 1.313007E-16
1.238670E+02 1.387214E-16 1.387214E-16
1.243670E+02 1.620220E-16 1.620220E-16
1.248670E+02 1.634458E-16 1.634458E-16
1.253670E+02 1.401486E-16 1.401486E-16
1.258670E+02 1.609185E-16 1.609185E-16
1.263670E+02 1.708665E-16 1.708665E-16
1.268670E+02 1.595822E-16 1.595822E-16
1.273670E+02 1.561400E-16 1.561400E-16
1.278670E+02 1.248349E-16 1.248349E-16
1.283670E+02 9.400055E-17 9.400055E-17
1.288670E+02 7.711684E-17 7.711684E-17
1.293670E+02 5.985324E-17 5.985324E-17
1.298670E+02 5.361459E-17 5.361459E-17
1.303670E+02 5.354872E-17 5.354872E-17
1.308670E+02 4.913177E-17 4.913177E-17
1.313670E+02 4.350474E-17 4.350474E-17
1.318670E+02 5.335666E-17 5.335666E-17
1.323670E+02 3.639122E-17 3.639122E-17
1.328670E+02 2.349052E-17 2.349052E-17
1.333670E+02 1.750853E-17 1.750853E-17
1.338670E+02 1.510844E-17 1.510844E-17
1.343670E+02 1.387671E-17 1.387671E-17
1.348670E+02 1.264498E-17 1.264498E-17
1.353670E+02 1.141324E-17 1.141324E-17
1.358670E+02 1.018151E-17 1.018151E-17
1.363670E+02 8.949775E-18 8.949775E-18
1.368670E+02 7.718042E-18 7.718042E-18
1.373670E+02 6.486308E-18 6.486308E-18
1.378670E+02 5.254575E-18 5.254575E-18
1.383670E+02 4.022841E-18 4.022841E-18
1.388670E+02 2.791108E-18 2.791108E-18
1.393670E+02 1.559375E-18 1.559375E-18
1.398670E+02 3.276411E-19 3.276411E-19
1.801670E+02 1.960302E-19 1.960302E-19
1.806670E+02 7.829468E-19 7.829468E-19
1.811670E+02 1.369863E-18 1.369863E-18
1.816670E+02 1.956780E-18 1.956780E-18
1.821670E+02 2.543697E-18 2.543697E-18
1.826670E+02 3.130613E-18 3.130613E-18
1.831670E+02 3.717530E-18 3.717530E-18
1.836670E+02 4.304447E-18 4.304447E-18
1.841670E+02 4.891363E-18 4.891363E-18
1.846670E+02 5.478280E-18 5.478280E-18
1.851670E+02 6.065197E-18 6.065197E-18
1.856670E+02 6.652113E-18 6.652113E-18
1.861670E+02 7.239030E-18 7.239030E-18
1.866670E+02 7.825947E-18 7.825947E-18
1.871670E+02 8.412863E-18 8.412863E-18
1.876670E+02 8.999780E-18 8.999780E-18
1.881670E+02 9.586697E-18 9.586697E-18
1.886670E+02 1.017361E-17 1.017361E-17
1.891670E+02 1.076053E-17 1.076053E-17
1.896670E+02 1.134745E-17 1.134745E-17
1.901670E+02 1.193436E-17 1.193436E-17
1.906670E+02 9.076714E-18 9.076714E-18
1.911670E+02 7.741776E-18 7.741776E-18
1.916670E+02 1.135755E-17 1.135755E-17
1.921670E+02 1.038665E-17 1.038665E-17
1.926670E+02 1.030825E-17 1.030825E-17
1.931670E+02 1.172467E-17 1.172467E-17
1.936670E+02 1.114879E-17 1.114879E-17
1.941670E+02 1.268331E-17 1.268331E-17
1.946670E+02 1.366836E-17 1.366836E-17
1.951670E+02 8.068896E-18 8.068896E-18
1.956670E+02 1.096213E-17 1.096213E-17
1.961670E+02 1.517871E-17 1.517871E-17
1.966670E+02 9.194039E-18 9.194039E-18
1.971670E+02 1.194753E-17 1.194753E-17
1.976670E+02 1.383605E-17 1.383605E-17
1.981670E+02 1.074400E-17 1.074400E-17
1.986670E+02 1.595332E-17 1.595332E-17
1.991670E+02 1.415465E-17 1.415465E-17
1.996670E+02 1.135598E-17 1.135598E-17
2.001670E+02 1.738581E-17 1.738581E-17
2.006670E+02 1.221494E-17 1.221494E-17
2.011670E+02 1.014363E-17 1.014363E-17
2.016670E+02 2.158198E-17 2.158198E-17
2.021670E+02 1.862012E-17 1.862012E-17
2.026670E+02 8.979638E-18 8.979638E-18
2.031670E+02 8.901781E-18 8.901781E-18
2.036670E+02 2.692075E-17 2.692075E-17
2.041670E+02 8.797856E-18 8.797856E-18
2.046670E+02 7.038064E-18 7.038064E-18
2.051670E+02 1.201154E-17 1.201154E-17
2.056670E+02 1.622994E-17 1.622994E-17
2.061670E+02 6.608883E-18 6.608883E-18
2.066670E+02 6.754736E-18 6.754736E-18
2.071670E+02 4.063440E-18 4.063440E-18
2.076670E+02 1.713434E-17 1.713434E-17
2.081670E+02 7.852729E-18 7.852729E-18
2.086670E+02 4.936215E-18 4.936215E-18
2.091670E+02 3.268604E-18 3.268604E-18
2.096670E+02 8.894370E-18 8.894370E-18
2.101670E+02 1.091748E-17 1.091748E-17
2.106670E+02 4.305971E-18 4.305971E-18
2.111670E+02 1.879940E-18 1.879940E-18
2.116670E+02 3.860480E-18 3.860480E-18
2.121670E+02 1.326865E-17 1.326865E-17
2.126670E+02 6.174596E-18 6.174596E-18
2.131670E+02 2.889648E-18 2.889648E-18
2.136670E+02 2.659461E-18 2.659461E-18
2.141670E+02 3.070954E-18 3.070954E-18
2.146670E+02 9.267990E-18 9.267990E-18
2.151670E+02 4.328849E-18 4.328849E-18
2.156670E+02 2.007410E-18 2.007410E-18
2.161670E+02 7.619503E-19 7.619503E-19
2.166670E+02 7.600463E-19 7.600463E-19
2.171670E+02 8.430073E-18 8.430073E-18
2.176670E+02 3.239466E-18 3.239466E-18
2.181670E+02 1.035796E-18 1.035796E-18
2.186670E+02 9.091751E-19 9.091751E-19
2.191670E+02 8.123058E-19 8.123058E-19
2.196670E+02 4.783381E-18 4.783381E-18
2.201670E+02 3.212226E-18 3.212226E-18
2.206670E+02 1.719934E-18 1.719934E-18
2.211670E+02 1.046524E-18 1.046524E-18
2.216670E+02 7.070903E-19 7.070903E-19
2.221670E+02 1.228084E-18 1.228084E-18
2.226670E+02 3.619294E-18 3.619294E-18
2.231670E+02 1.129163E-18 1.129163E-18
2.236670E+02 9.292631E-19 9.292631E-19
2.241670E+02 7.773222E-19 7.773222E-19
2.246670E+02 1.414089E-19 1.414089E-19
2.251670E+02 3.169693E-19 3.169693E-19
2.256670E+02 1.583633E-18 1.583633E-18
2.261670E+02 3.870028E-19 3.870028E-19
2.266670E+02 2.730666E-19 2.730666E-19
2.271670E+02 6.348441E-19 6.348441E-19
2.276670E+02 9.270765E-19 9.270765E-19
2.281670E+02 8.200082E-19 8.200082E-19
2.286670E+02 1.141896E-18 1.141896E-18
2.291670E+02 6.562268E-19 6.562268E-19
2.296670E+02 8.620428E-19 8.620428E-19
2.301670E+02 9.545575E-19 9.545575E-19
2.306670E+02 6.994435E-19 6.994435E-19
2.311670E+02 6.579217E-19 6.579217E-19
2.316670E+02 1.336804E-18 1.336804E-18
2.321670E+02 8.353528E-19 8.353528E-19
2.326670E+02 5.162468E-19 5.162468E-19
2.331670E+02 5.045904E-19 5.045904E-19
2.336670E+02 4.519722E-19 4.519722E-19
2.341670E+02 5.419776E-19 5.419776E-19
2.346670E+02 3.906988E-19 3.906988E-19
