# SO cross sections - reduced to    98points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: phillips1981 10.1021/j150626a009, nee1986b 10.1063/1.449940, norwood1989 10.1016/S0009-2614(89)87110-6,                                                                                                                                                                                                                                                                                                                                                                                               
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photodissociation -- Photodissociation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1.166670E+02 9.458757E-17 9.026468E-17
1.174670E+02 1.054086E-16 1.006725E-16
1.182670E+02 1.016775E-16 9.737744E-17
1.190670E+02 1.019080E-16 1.002540E-16
1.198670E+02 1.122199E-16 1.095643E-16
1.206670E+02 1.379931E-16 1.374479E-16
1.214670E+02 1.048868E-16 1.048868E-16
1.222670E+02 1.308565E-16 1.308565E-16
1.230670E+02 1.402492E-16 1.402492E-16
1.238670E+02 1.387214E-16 1.387214E-16
1.246670E+02 1.654740E-16 1.654740E-16
1.254670E+02 1.374558E-16 1.374558E-16
1.262670E+02 1.696152E-16 1.696152E-16
1.270670E+02 1.568985E-16 1.568985E-16
1.278670E+02 1.248349E-16 1.248349E-16
1.286670E+02 8.235781E-17 8.235781E-17
1.294670E+02 5.616305E-17 5.616305E-17
1.302670E+02 5.342757E-17 5.342757E-17
1.310670E+02 4.682414E-17 4.682414E-17
1.318670E+02 5.335666E-17 5.335666E-17
1.326670E+02 2.689633E-17 2.689633E-17
1.334670E+02 1.644515E-17 1.644515E-17
1.342670E+02 1.412306E-17 1.412306E-17
1.350670E+02 1.215228E-17 1.215228E-17
1.358670E+02 1.018151E-17 1.018151E-17
1.366670E+02 8.210735E-18 8.210735E-18
1.374670E+02 6.239962E-18 6.239962E-18
1.382670E+02 4.269188E-18 4.269188E-18
1.390670E+02 2.298415E-18 2.298415E-18
1.398670E+02 3.276411E-19 1.000000E-20
1.804670E+02 5.481802E-19 1.000000E-20
1.812670E+02 1.487247E-18 1.487247E-18
1.820670E+02 2.426313E-18 2.426313E-18
1.828670E+02 3.365380E-18 3.365380E-18
1.836670E+02 4.304447E-18 4.304447E-18
1.844670E+02 5.243513E-18 5.243513E-18
1.852670E+02 6.182580E-18 6.182580E-18
1.860670E+02 7.121647E-18 7.121647E-18
1.868670E+02 8.060713E-18 8.060713E-18
1.876670E+02 8.999780E-18 8.999780E-18
1.884670E+02 9.938847E-18 9.938847E-18
1.892670E+02 1.087791E-17 1.087791E-17
1.900670E+02 1.181698E-17 1.181698E-17
1.908670E+02 1.095655E-17 1.095655E-17
1.916670E+02 1.135755E-17 1.135755E-17
1.924670E+02 9.461421E-18 9.461421E-18
1.932670E+02 1.056267E-17 1.056267E-17
1.940670E+02 1.177952E-17 1.177952E-17
1.948670E+02 1.409502E-17 1.409502E-17
1.956670E+02 1.096213E-17 1.096213E-17
1.964670E+02 1.272597E-17 1.272597E-17
1.972670E+02 1.442387E-17 1.442387E-17
1.980670E+02 1.170942E-17 1.170942E-17
1.988670E+02 1.434154E-17 1.434154E-17
1.996670E+02 1.135598E-17 1.135598E-17
2.004670E+02 1.492988E-17 1.492988E-17
2.012670E+02 1.050012E-17 1.050012E-17
2.020670E+02 1.454949E-17 1.454949E-17
2.028670E+02 8.773057E-18 8.773057E-18
2.036670E+02 2.692075E-17 2.692075E-17
2.044670E+02 7.621140E-18 7.621140E-18
2.052670E+02 1.280065E-17 1.280065E-17
2.060670E+02 7.768925E-18 7.768925E-18
2.068670E+02 6.655382E-18 6.655382E-18
2.076670E+02 1.713434E-17 1.713434E-17
2.084670E+02 7.150557E-18 7.150557E-18
2.092670E+02 3.132248E-18 3.132248E-18
2.100670E+02 1.301937E-17 1.301937E-17
2.108670E+02 3.127860E-18 3.127860E-18
2.116670E+02 3.860480E-18 3.860480E-18
2.124670E+02 8.308845E-18 8.308845E-18
2.132670E+02 2.927086E-18 2.927086E-18
2.140670E+02 1.568072E-18 1.568072E-18
2.148670E+02 6.061073E-18 6.061073E-18
2.156670E+02 2.007410E-18 2.007410E-18
2.164670E+02 1.127709E-18 1.127709E-18
2.172670E+02 7.403290E-18 7.403290E-18
2.180670E+02 1.344946E-18 1.344946E-18
2.188670E+02 1.226963E-18 1.226963E-18
2.196670E+02 4.783381E-18 4.783381E-18
2.204670E+02 2.221890E-18 2.221890E-18
2.212670E+02 9.707449E-19 9.707449E-19
2.220670E+02 7.984908E-19 7.984908E-19
2.228670E+02 1.937627E-18 1.937627E-18
2.236670E+02 9.292631E-19 9.292631E-19
2.244670E+02 1.042191E-19 1.042191E-19
2.252670E+02 7.638338E-19 7.638338E-19
2.260670E+02 5.337157E-19 5.337157E-19
