# SO cross sections
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: phillips1981 10.1021/j150626a009, nee1986b 10.1063/1.449940, norwood1989 10.1016/S0009-2614(89)87110-6,
# no info on lines
# wavelength: (nm)
# photoabsorption   -- Photoabsorption cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
1.025670e+02 4.062907e-17 4.062907e-17
1.026670e+02 3.942286e-17 3.942286e-17
1.027670e+02 3.906024e-17 3.906024e-17
1.028670e+02 4.014803e-17 4.014803e-17
1.029670e+02 4.231580e-17 4.231580e-17
1.030670e+02 4.209393e-17 4.209393e-17
1.031670e+02 4.162548e-17 4.162548e-17
1.032670e+02 4.197956e-17 4.197956e-17
1.033670e+02 4.260520e-17 4.260520e-17
1.034670e+02 4.239931e-17 4.239931e-17
1.035670e+02 4.184725e-17 4.184725e-17
1.036670e+02 4.150209e-17 4.150209e-17
1.037670e+02 4.126234e-17 4.126234e-17
1.038670e+02 4.127505e-17 4.127505e-17
1.039670e+02 4.271944e-17 4.271944e-17
1.040670e+02 4.384043e-17 4.384043e-17
1.041670e+02 4.390029e-17 4.390029e-17
1.042670e+02 4.576215e-17 4.576215e-17
1.043670e+02 4.691165e-17 4.691165e-17
1.044670e+02 4.697026e-17 4.697026e-17
1.045670e+02 4.671387e-17 4.671387e-17
1.046670e+02 4.304514e-17 4.304514e-17
1.047670e+02 3.955578e-17 3.955578e-17
1.048670e+02 3.909131e-17 3.909131e-17
1.049670e+02 4.062823e-17 4.062823e-17
1.050670e+02 4.209955e-17 4.209955e-17
1.051670e+02 4.516717e-17 4.516717e-17
1.052670e+02 4.815459e-17 4.815459e-17
1.053670e+02 4.999159e-17 4.999159e-17
1.054670e+02 4.885568e-17 4.885568e-17
1.055670e+02 4.593251e-17 4.593251e-17
