# SO cross sections - reduced to    61points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: phillips1981 10.1021/j150626a009, nee1986b 10.1063/1.449940, norwood1989 10.1016/S0009-2614(89)87110-6,                                                                                                                                                                                                                                                                                                                                                                                               
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption   -- Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# photoionisation   -- Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1.027670E+02 3.906024E-17 3.906024E-17
1.030670E+02 4.209393E-17 4.209393E-17
1.033670E+02 4.260520E-17 4.260520E-17
1.036670E+02 4.150209E-17 4.150209E-17
1.039670E+02 4.271944E-17 4.271944E-17
1.042670E+02 4.576215E-17 4.576215E-17
1.045670E+02 4.671387E-17 4.671387E-17
1.048670E+02 3.909131E-17 3.909131E-17
1.051670E+02 4.516717E-17 4.516717E-17
1.054670E+02 4.885568E-17 4.885568E-17
1.057670E+02 3.365062E-17 3.365062E-17
1.060670E+02 3.799057E-17 3.799057E-17
1.063670E+02 3.489122E-17 3.489122E-17
1.066670E+02 3.946371E-17 3.946371E-17
1.069670E+02 2.417898E-17 2.417898E-17
1.072670E+02 2.098438E-17 2.098438E-17
1.075670E+02 2.427213E-17 2.427213E-17
1.078670E+02 2.614282E-17 2.614282E-17
1.081670E+02 2.876264E-17 2.876264E-17
1.084670E+02 2.948922E-17 2.948922E-17
1.087670E+02 3.070288E-17 3.070288E-17
1.090670E+02 2.801173E-17 2.801173E-17
1.093670E+02 2.808682E-17 2.808682E-17
1.096670E+02 2.754989E-17 2.754989E-17
1.099670E+02 2.509363E-17 2.509363E-17
1.102670E+02 2.310603E-17 2.310603E-17
1.105670E+02 2.391531E-17 2.391531E-17
1.108670E+02 1.963462E-17 1.963462E-17
1.111670E+02 1.791939E-17 1.791939E-17
1.114670E+02 1.825797E-17 1.825797E-17
1.117670E+02 1.509701E-17 1.509701E-17
1.120670E+02 1.451960E-17 1.451960E-17
1.123670E+02 1.260237E-17 1.260237E-17
1.126670E+02 1.082409E-17 1.082409E-17
1.129670E+02 1.136455E-17 1.136455E-17
1.132670E+02 1.017889E-17 1.017889E-17
1.135670E+02 9.033670E-18 9.033670E-18
1.138670E+02 9.319466E-18 9.319466E-18
1.141670E+02 9.127598E-18 9.127598E-18
1.144670E+02 6.557675E-18 6.557675E-18
1.147670E+02 6.496781E-18 6.496781E-18
1.150670E+02 7.982816E-18 7.982816E-18
1.153670E+02 6.599797E-18 6.599797E-18
1.156670E+02 6.259169E-18 6.259169E-18
1.159670E+02 5.146670E-17 8.090384E-18
1.162670E+02 9.674668E-17 4.983047E-18
1.165670E+02 9.391347E-17 4.500236E-18
1.168670E+02 9.931030E-17 4.639296E-18
1.171670E+02 1.044365E-16 5.602156E-18
1.174670E+02 1.054086E-16 4.736090E-18
1.177670E+02 9.820750E-17 4.676274E-18
1.180670E+02 9.641986E-17 6.357339E-18
1.183670E+02 1.039456E-16 3.787983E-18
1.186670E+02 1.021822E-16 2.359706E-18
1.189670E+02 1.003972E-16 1.750499E-18
1.192670E+02 1.058068E-16 1.947040E-18
1.195670E+02 1.103014E-16 1.949178E-18
1.198670E+02 1.122199E-16 2.655601E-18
1.201670E+02 1.243159E-16 1.923397E-18
1.204670E+02 1.406249E-16 1.559266E-18
1.207670E+02 1.346839E-16 1.016445E-19
