# S photoionisation cross section
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: barthel2015 10.1103/PhysRevA.91.013406, gibson1986 http://stacks.iop.org/0022-3700/19/i=18/a=013,
# no info on lines
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
4.137730e+01 5.050510e-18 5.050510e-18
4.147730e+01 5.459225e-18 5.459225e-18
4.157730e+01 5.796476e-18 5.796476e-18
4.167730e+01 6.048348e-18 6.048348e-18
4.177730e+01 5.529796e-18 5.529796e-18
4.187730e+01 4.684336e-18 4.684336e-18
4.197730e+01 4.546800e-18 4.546800e-18
4.207730e+01 5.050510e-18 5.050510e-18
4.217730e+01 5.050510e-18 5.050510e-18
4.227730e+01 5.674037e-18 5.674037e-18
4.237730e+01 6.796726e-18 6.796726e-18
4.247730e+01 6.451457e-18 6.451457e-18
4.257730e+01 4.843634e-18 4.843634e-18
4.267730e+01 4.613047e-18 4.613047e-18
4.277730e+01 4.836492e-18 4.836492e-18
4.287730e+01 4.692978e-18 4.692978e-18
4.297730e+01 5.306799e-18 5.306799e-18
4.307730e+01 5.858590e-18 5.858590e-18
4.317730e+01 5.384254e-18 5.384254e-18
4.327730e+01 4.242420e-18 4.242420e-18
4.337730e+01 4.242420e-18 4.242420e-18
4.347730e+01 4.485775e-18 4.485775e-18
4.357730e+01 4.980393e-18 4.980393e-18
4.367730e+01 5.334751e-18 5.334751e-18
4.377730e+01 5.675950e-18 5.675950e-18
4.387730e+01 6.360882e-18 6.360882e-18
4.397730e+01 6.733585e-18 6.733585e-18
4.407730e+01 6.854467e-18 6.854467e-18
4.417730e+01 7.464428e-18 7.464428e-18
4.427730e+01 8.034056e-18 8.034056e-18
4.437730e+01 8.435998e-18 8.435998e-18
4.447730e+01 7.235128e-18 7.235128e-18
4.457730e+01 5.451499e-18 5.451499e-18
4.467730e+01 5.363239e-18 5.363239e-18
4.477730e+01 6.019174e-18 6.019174e-18
4.487730e+01 7.272730e-18 7.272730e-18
4.497730e+01 7.272730e-18 7.272730e-18
4.507730e+01 5.523327e-18 5.523327e-18
4.517730e+01 4.117666e-18 4.117666e-18
4.527730e+01 3.747381e-18 3.747381e-18
4.537730e+01 3.650305e-18 3.650305e-18
4.547730e+01 4.160224e-18 4.160224e-18
4.557730e+01 4.059988e-18 4.059988e-18
4.567730e+01 3.253357e-18 3.253357e-18
4.577730e+01 3.700043e-18 3.700043e-18
4.587730e+01 4.318073e-18 4.318073e-18
4.597730e+01 5.480122e-18 5.480122e-18
4.607730e+01 6.474050e-18 6.474050e-18
4.617730e+01 7.548546e-18 7.548546e-18
4.627730e+01 8.218079e-18 8.218079e-18
4.637730e+01 6.556251e-18 6.556251e-18
4.647730e+01 4.359451e-18 4.359451e-18
4.657730e+01 3.284623e-18 3.284623e-18
4.667730e+01 3.392316e-18 3.392316e-18
4.677730e+01 3.629764e-18 3.629764e-18
4.687730e+01 3.950248e-18 3.950248e-18
4.697730e+01 4.314420e-18 4.314420e-18
4.707730e+01 4.695692e-18 4.695692e-18
4.717730e+01 5.202674e-18 5.202674e-18
4.727730e+01 5.793718e-18 5.793718e-18
4.737730e+01 6.137024e-18 6.137024e-18
4.747730e+01 6.449787e-18 6.449787e-18
4.757730e+01 7.129135e-18 7.129135e-18
4.767730e+01 7.577393e-18 7.577393e-18
4.777730e+01 7.115206e-18 7.115206e-18
4.787730e+01 6.815166e-18 6.815166e-18
4.797730e+01 6.700464e-18 6.700464e-18
4.807730e+01 7.631672e-18 7.631672e-18
4.817730e+01 9.030518e-18 9.030518e-18
4.827730e+01 1.069129e-17 1.069129e-17
4.837730e+01 1.311204e-17 1.311204e-17
4.847730e+01 1.339597e-17 1.339597e-17
4.857730e+01 1.203015e-17 1.203015e-17
4.867730e+01 7.747825e-18 7.747825e-18
4.877730e+01 5.344625e-18 5.344625e-18
4.887730e+01 3.770139e-18 3.770139e-18
4.897730e+01 3.329698e-18 3.329698e-18
4.907730e+01 3.300340e-18 3.300340e-18
4.917730e+01 3.387668e-18 3.387668e-18
4.927730e+01 3.568660e-18 3.568660e-18
4.937730e+01 3.857180e-18 3.857180e-18
4.947730e+01 4.071704e-18 4.071704e-18
4.957730e+01 4.157476e-18 4.157476e-18
4.967730e+01 4.244059e-18 4.244059e-18
4.977730e+01 4.413975e-18 4.413975e-18
4.987730e+01 4.583892e-18 4.583892e-18
4.997730e+01 4.764670e-18 4.764670e-18
5.007730e+01 4.951780e-18 4.951780e-18
5.017730e+01 5.129319e-18 5.129319e-18
5.027730e+01 5.296166e-18 5.296166e-18
5.037730e+01 5.459205e-18 5.459205e-18
5.047730e+01 5.550974e-18 5.550974e-18
5.057730e+01 5.642743e-18 5.642743e-18
5.067730e+01 5.795693e-18 5.795693e-18
5.077730e+01 5.959498e-18 5.959498e-18
5.087730e+01 6.091652e-18 6.091652e-18
5.097730e+01 6.172760e-18 6.172760e-18
5.107730e+01 6.253868e-18 6.253868e-18
